"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"TP0003_CD8_LTBI",1646.78571428571,9034,7819.42857142857,32.875,232,19.7142857142857,0,72.3333333333333,1.81818181818182,146.75
"TP0004_CD8_LTBI",2961.71428571429,18170,11225.4285714286,32.25,623.875,25.2857142857143,0,117.8,2.81818181818182,130.125
"TP0005_CD8_LTBI",2355.07142857143,11720,5904.85714285714,133.125,411,46,5,88.2,4.15151515151515,109.875
"TP0008_CD8_LTBI",3021.21428571429,15134,12407.7142857143,28.5,262.375,50.5714285714286,0.4,81,3.12121212121212,69.75
"TP0015_CD8_LTBI",3313.35714285714,14140,7339.14285714286,109.5,452.25,68.4285714285714,4.2,123.133333333333,5.57575757575758,268.375
"TU0084_CD8_HC",2878,13474,9249.71428571429,34.375,377.125,29.4285714285714,2,60.2,3.33333333333333,122.875
"XT0101_CD8_HC",2309,10016,8006.14285714286,19.375,173.875,10.1428571428571,3,57,5.06060606060606,80.125
"TU0079_CD8_HC",2057.21428571429,9141,3466.42857142857,56.25,310.875,13.5714285714286,1.6,66.9333333333333,2.45454545454545,38
"TU0119_CD8_HC",1967.71428571429,10174,4059.85714285714,65.625,247.875,13.7142857142857,1.4,66.9333333333333,3.06060606060606,51.875
"TP0001_CD8_LTBI",3368,14596,20319,35.75,701,100.428571428571,3.4,176,1.87878787878788,157.75
"TP0007_CD8_LTBI",2740.71428571429,21803,9017.42857142857,45.875,446.625,17.2857142857143,0,100.866666666667,1.78787878787879,122
"TU0146_CD8_HC",2806.07142857143,24705,6673.85714285714,55,288.125,10,4.6,63.8666666666667,1.75757575757576,138.875
"XT0103_CD8_HC",2112.28571428571,16392,11073.5714285714,24.75,366.875,53.1428571428571,3.2,71.5333333333333,1.81818181818182,112
"TP0013_CD8_LTBI",3312.07142857143,17360,7369.71428571429,70.125,843.375,58.8571428571429,0,91.4666666666667,4,43.375
"TU0005_CD8_LTBI",4183.07142857143,26390,10465.1428571429,43.375,446.375,66.2857142857143,1.8,97.2666666666667,2.12121212121212,59.875
"TU0010_CD8_LTBI",3889.35714285714,20503,9689,53.375,482.125,75.1428571428571,0.4,110.6,3.54545454545455,88.125
"TU0013_CD8_LTBI",3790.64285714286,17331,9291.28571428571,96.25,1912.375,64.5714285714286,0.6,117.533333333333,4.78787878787879,108.5
"TU0021_CD8_LTBI",3071.5,19398,10634.5714285714,99,707,32.7142857142857,0.2,105.933333333333,6.48484848484848,202.625
"TU0022_CD8_LTBI",3988.28571428571,22870,15421.5714285714,114.875,706.25,43.5714285714286,3,94.4,3.84848484848485,93.875
"TU0024_CD8_LTBI",2617.92857142857,10555,13188.5714285714,13.375,414.625,49.2857142857143,0,61.5333333333333,3.42424242424242,60.75
"TU0033_CD8_LTBI",3636.57142857143,21400,9400.71428571429,74.375,825.75,77.8571428571429,0,129.2,2.06060606060606,114.75
"TU0035_CD8_LTBI",3509,15193,12144.7142857143,85.75,675,90.2857142857143,2,126.933333333333,4.63636363636364,128.625
"TU0046_CD8_LTBI",3249,15545,12636.8571428571,50.125,516.125,61.5714285714286,0,105.666666666667,8.03030303030303,60.375
"TU0050_CD8_HC",3407.07142857143,22273,6068,114.5,362.875,24,0,87.5333333333333,2.78787878787879,69.875
"TU0052_CD8_HC",3675.85714285714,15303,15146,180.875,681,84.1428571428571,3.6,135.533333333333,3.03030303030303,220.125
"TU0053_CD8_HC",3858.64285714286,17915,11398,59.625,344.375,52.5714285714286,0,110.866666666667,4.24242424242424,129.125
