"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"TP0003_CD8_LTBI",1.61291728888994e-07,2.40805881872127e-10,8.57295465127312e-06,0.748505969408093,4.59586421454417e-07,1.71372018824927e-07,0.251483810412326,8.54733954928732e-07
"TP0004_CD8_LTBI",4.0390449496288e-06,4.91930331207596e-06,5.97566080148412e-06,0.80668803205961,1.5709468931395e-06,2.663926798008e-06,0.193292798254975,8.02660800173674e-10
"TP0005_CD8_LTBI",0.000403808113997556,9.82455822946127e-08,0.409786368342361,0.51897239057621,0.000351398421511941,3.24727312364298e-09,0.0704859322294531,8.23610981531726e-10
"TP0008_CD8_LTBI",3.25952133332052e-07,2.81036411091765e-09,2.64348357620218e-06,0.728060791830547,4.29075050724281e-07,1.17404547598575e-08,0.271931385117467,4.40999040771301e-06
"TP0015_CD8_LTBI",1.05067875816534e-07,1.21322099935224e-07,0.233029482253076,0.725005435464126,1.88069474469822e-09,2.40054970044092e-08,0.0419648044067462,2.55998842380795e-08
"TU0084_CD8_HC",5.25814428070379e-05,7.08535711681326e-06,0.291443124216044,0.533409464119728,7.7121876362566e-06,8.14252788290676e-06,0.175071888748463,1.40032242909378e-09
"XT0101_CD8_HC",3.01781966784721e-06,1.24847387659313e-08,0.090976119768789,0.737759691994107,1.55516730429876e-07,2.13027905746615e-09,0.171260995571891,4.71379697178643e-09
"TU0079_CD8_HC",0.000435417734356692,2.63627352480875e-07,0.49415166720628,0.471425107836544,0.000550991255077448,1.13957316939053e-05,0.0334250809495554,7.56591400637548e-08
"TU0119_CD8_HC",6.28328556789002e-11,5.01046179975342e-08,0.598140587587202,0.383389014828716,2.99492970690607e-08,3.15668867670919e-10,0.0184702682490503,4.89026148690548e-08
"TP0001_CD8_LTBI",4.96646866560567e-05,0.000100814265358398,4.99702719111582e-07,0.569968023205442,6.69790940656865e-07,1.71427131010136e-05,0.429863018420885,1.67214897124243e-07
"TP0007_CD8_LTBI",2.85756364493819e-07,1.34637488665377e-05,8.84588197776962e-09,0.835701556036241,1.27898710976418e-08,1.69203930685279e-09,0.164283049893489,1.62123724701477e-06
"TU0146_CD8_HC",1.55657359552986e-08,6.53124256634288e-06,1.80607867539344e-06,0.93027991555007,3.14198591541235e-09,2.94348711278295e-09,0.0697098378122657,1.88766521370757e-06
"XT0103_CD8_HC",8.19504850632992e-07,8.69085415798828e-07,4.65100884151218e-06,0.707639571559808,6.15883685955728e-07,1.73337335531176e-07,0.292353005786447,2.93833615594135e-07
"TP0013_CD8_LTBI",1.33184528309905e-09,2.6355739925584e-07,0.00694689013355925,0.971999077776173,4.2333370858723e-07,7.75333600260939e-10,0.0210533423159919,7.75989500067323e-10
"TU0005_CD8_LTBI",4.84849803967116e-06,3.0527542736045e-05,1.31255356340972e-05,0.939283493212729,3.94426478505879e-06,9.02476120238606e-06,0.0606535171805968,1.51900427656659e-06
"TU0010_CD8_LTBI",1.46205880441453e-07,4.1509255762791e-09,1.27889038719896e-08,0.936569123519404,4.72260084962e-06,7.39164884704247e-13,0.0634250695309537,9.21202343131869e-07
"TU0013_CD8_LTBI",2.97142455584471e-07,2.05133357958445e-09,5.03523096940293e-09,0.941339454592447,1.30378057839086e-06,5.04297434420805e-08,0.0586588859463772,1.02183404214831e-09
"TU0021_CD8_LTBI",5.5308006503308e-09,9.90821708446829e-06,1.62492432117144e-08,0.894153048160372,2.36027897101524e-09,1.9042964937443e-07,0.105836827088016,1.96455490282884e-09
"TU0022_CD8_LTBI",6.51869986514005e-05,3.17211696124968e-07,1.05423325039729e-06,0.814458008263887,7.50231868918962e-05,1.46528164280777e-07,0.185400068805153,1.94772305456322e-07
"TU0024_CD8_LTBI",1.68578343663958e-05,2.51235714702783e-08,0.0559871633266316,0.641968779312538,1.08055966318763e-08,5.99071822502026e-10,0.302027162810809,1.87415632497641e-10
"TU0033_CD8_LTBI",2.95259908477398e-06,5.16600783244177e-06,1.95340036968735e-05,0.943275395506055,1.64179486389787e-06,6.78525875437905e-07,0.0566940995262987,5.32036292842372e-07
"TU0035_CD8_LTBI",1.2091780163936e-07,2.99053424582618e-07,0.072799912706517,0.787321072582287,1.20770094863115e-07,2.08207288083484e-10,0.139878141122588,3.32639079462403e-07
"TU0046_CD8_LTBI",0.00022195184732363,2.67443971768781e-06,2.49371549565839e-05,0.818224876373121,0.000245484741468402,0.000211843706233475,0.18106664635392,1.58538325913023e-06
"TU0050_CD8_HC",1.12016215206182e-09,1.51188016812772e-09,0.000243606454241256,0.982016586209517,5.04754584589127e-08,1.36711102251988e-09,0.0177396867945322,6.60670973639967e-08
"TU0052_CD8_HC",4.05203893842072e-08,7.96487225701151e-11,1.01377675583041e-07,0.83447612431088,6.47481046282736e-08,1.02788762321012e-08,0.165523586872164,7.18122616722448e-08
"TU0053_CD8_HC",1.90891778873759e-07,4.43228251970408e-08,0.0006206717262588,0.881875882788346,3.71327566481527e-06,3.3702290981614e-10,0.117499312050654,1.84607449543407e-07
"TU0056_CD8_HC",2.18559803273238e-08,1.5005586741314e-07,0.0994680898762157,0.883033254707677,1.203265930694e-07,1.27560128396655e-08,0.0174983483517528,2.06990124798384e-09
"TU0057_CD8_HC",1.33037914222148e-08,2.81574149466472e-07,7.59742666842183e-09,0.77013488558642,1.88296378250405e-06,5.6232136079059e-06,0.229857290649067,1.51117554620326e-08
"TU0059_CD8_HC",5.49075551935413e-05,1.96560503514448e-08,1.82983522503066e-06,0.883596903049228,0.000128400427296759,3.14299627253903e-08,0.116217903703112,4.34393157975551e-09
"TU0063_CD8_LTBI",1.98713339401262e-10,1.3603589622309e-08,1.65412151779968e-06,0.945929957723927,1.31683879035867e-09,1.76624490553165e-08,0.054068349913708,5.45925623439505e-09
"TU0070_CD8_LTBI",9.7830428112991e-05,2.39302558874941e-05,4.32907381824249e-05,0.923391484864666,6.05889688800804e-08,2.42603036580786e-05,0.0764191426695735,1.50950166708567e-10
"TU0071_CD8_HC",1.71739398948167e-06,1.35924894909391e-07,0.183692899457032,0.695003877693971,1.50235047572849e-06,1.52355031759549e-08,0.121299836184697,1.57594362833913e-08
"TU0075_CD8_LTBI",8.50180453673119e-10,3.91135957089897e-08,0.00174896414249593,0.962906824100832,3.84566599456841e-09,7.13015912994579e-10,0.0353441613058043,5.92841003906974e-09
"TU0085_CD8_HC",2.30120339818842e-05,1.51267394533422e-06,0.0718924913553004,0.874581496623519,8.58004031683414e-07,7.17999998426552e-06,0.0534931967121962,2.52597041123859e-07
"TU0094_CD8_HC",5.77077569687406e-08,1.17786461577537e-07,0.0708162994876849,0.911957242473171,1.11970597454092e-09,7.98368001014282e-09,0.0172262734059914,3.5548236703468e-11
"TU0110_CD8_HC",4.0447594198448e-08,1.05300412811503e-09,3.36970844860053e-09,0.806123998309681,5.20220974865998e-09,1.24817200641044e-08,0.193875938168578,9.67503958852353e-10
"XT0082_CD8_HC",1.61802757515103e-05,1.58370941451471e-06,5.39122197306297e-05,0.936419243163108,2.67528402595527e-08,3.58839471700032e-09,0.0635083719180172,6.78372743038132e-07
"XT0106_CD8_HC",1.20754516839586e-07,9.81034396727504e-06,2.68194295446642e-05,0.932074530586568,2.93435531360419e-06,2.85121400643082e-08,0.0678857074375723,4.85803774480539e-08
"XT0123_CD8_HC",3.95558455397996e-07,2.31635894233228e-09,1.62931172610834e-07,0.844782329313226,4.64943263899046e-07,1.83308666189817e-08,0.155216415941663,2.10664993139666e-07
"XT0134_CD8_LTBI",3.87339051650176e-09,5.25220866241725e-08,1.42573970583603e-08,0.943072332864195,1.36431445837951e-07,1.62015450684464e-09,0.0569274561222092,2.30912083537435e-09
