"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"TP0003_CD8_LTBI",1.61291728888994e-07,2.40805881872127e-10,8.57295465127312e-06,0.748505969408093,4.59586421454417e-07,1.71372018824927e-07,0.251483810412326,8.54733954928732e-07,1646.78571428571,9034,7819.42857142857,32.875,232,19.7142857142857,0,72.3333333333333,1.81818181818182,146.75,-1935.85885444096,3655.35594127749,1719.49708683653,0.654413645298539,2.16963037012312,0.892683571063454,-0.533256301418725,-0.203754255609678,2.32530338415817,8
"TP0004_CD8_LTBI",4.0390449496288e-06,4.91930331207596e-06,5.97566080148412e-06,0.80668803205961,1.5709468931395e-06,2.663926798008e-06,0.193292798254975,8.02660800173674e-10,2961.71428571429,18170,11225.4285714286,32.25,623.875,25.2857142857143,0,117.8,2.81818181818182,130.125,-1981.70064385547,3653.04724288242,1671.34659902695,0.659741578950351,2.13070747919982,0.909063525713562,-0.528907100244503,-0.149832154184016,2.36103175048486,8
"TP0005_CD8_LTBI",0.000403808113997556,9.82455822946127e-08,0.409786368342361,0.51897239057621,0.000351398421511941,3.24727312364298e-09,0.0704859322294531,8.23610981531726e-10,2355.07142857143,11720,5904.85714285714,133.125,411,46,5,88.2,4.15151515151515,109.875,-1843.01468032232,3756.17945015691,1913.16476983459,0.632656539088672,2.16578971902777,0.92391000130895,-0.640605790081618,-0.189018386250499,2.2600755440046,8
"TP0008_CD8_LTBI",3.25952133332052e-07,2.81036411091765e-09,2.64348357620218e-06,0.728060791830547,4.29075050724281e-07,1.17404547598575e-08,0.271931385117467,4.40999040771301e-06,3021.21428571429,15134,12407.7142857143,28.5,262.375,50.5714285714286,0.4,81,3.12121212121212,69.75,-1758.02041129294,3769.67057769701,2011.65016640407,0.621395226330397,2.21101781674807,0.948815357905904,-0.681606389457317,-0.116050893230363,2.3621758919663,8
"TP0015_CD8_LTBI",1.05067875816534e-07,1.21322099935224e-07,0.233029482253076,0.725005435464126,1.88069474469822e-09,2.40054970044092e-08,0.0419648044067462,2.55998842380795e-08,3313.35714285714,14140,7339.14285714286,109.5,452.25,68.4285714285714,4.2,123.133333333333,5.57575757575758,268.375,-1970.65036058957,3720.43210772174,1749.78174713218,0.651045832003855,2.04998395678552,0.906490454099125,-0.616823607840562,-0.134178328590219,2.20547247445387,7
"TU0084_CD8_HC",5.25814428070379e-05,7.08535711681326e-06,0.291443124216044,0.533409464119728,7.7121876362566e-06,8.14252788290676e-06,0.175071888748463,1.40032242909378e-09,2878,13474,9249.71428571429,34.375,377.125,29.4285714285714,2,60.2,3.33333333333333,122.875,-1896.00661858727,3752.93556384139,1856.92894525412,0.639027671287082,2.13270217808784,0.959739775198324,-0.635836321047401,0.0141813251272252,2.47078695736598,8
"XT0101_CD8_HC",3.01781966784721e-06,1.24847387659313e-08,0.090976119768789,0.737759691994107,1.55516730429876e-07,2.13027905746615e-09,0.171260995571891,4.71379697178643e-09,2309,10016,8006.14285714286,19.375,173.875,10.1428571428571,3,57,5.06060606060606,80.125,-1944.62489892651,3660.58425594155,1715.95935701505,0.65480621711693,2.21969605013942,0.990794770687478,-0.597949159079212,-0.0941023682175633,2.51843929353012,8
"TU0079_CD8_HC",0.000435417734356692,2.63627352480875e-07,0.49415166720628,0.471425107836544,0.000550991255077448,1.13957316939053e-05,0.0334250809495554,7.56591400637548e-08,2057.21428571429,9141,3466.42857142857,56.25,310.875,13.5714285714286,1.6,66.9333333333333,2.45454545454545,38,-1877.76981588275,3602.44679248454,1724.67697660179,0.653838529326186,2.14360621263704,0.96512946668057,-0.486570094535078,-0.0408544985774582,2.58131108620508,9
"TU0119_CD8_HC",6.28328556789002e-11,5.01046179975342e-08,0.598140587587202,0.383389014828716,2.99492970690607e-08,3.15668867670919e-10,0.0184702682490503,4.89026148690548e-08,1967.71428571429,10174,4059.85714285714,65.625,247.875,13.7142857142857,1.4,66.9333333333333,3.06060606060606,51.875,-1835.23782578196,3679.7566586574,1844.51883287544,0.640427801900913,2.16381105221883,0.962696845454831,-0.570071647471841,-0.111685103916192,2.44475114628563,8
"TP0001_CD8_LTBI",4.96646866560567e-05,0.000100814265358398,4.99702719111582e-07,0.569968023205442,6.69790940656865e-07,1.71427131010136e-05,0.429863018420885,1.67214897124243e-07,3368,14596,20319,35.75,701,100.428571428571,3.4,176,1.87878787878788,157.75,-1934.97277305715,3667.31213831428,1732.33936525713,0.652987091889777,2.20398057309657,0.876919177454736,-0.633107625401462,-0.185502983439426,2.26228914171042,8
