"ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"TP0003_CD8_LTBI",-1840.49061597017,3319.00573664234,1478.51512067217,0.680745780115067
"TP0004_CD8_LTBI",-1874.137073083,3304.93451209974,1430.79743901674,0.685859901873043
"TP0005_CD8_LTBI",-1721.86264218134,3421.85638820427,1699.99374602293,0.656575677378124
"TP0008_CD8_LTBI",-1646.25061802868,3417.56046238331,1771.30984435463,0.648643967005207
"TP0015_CD8_LTBI",-1882.53566875629,3392.24077410813,1509.70510535184,0.677384941618829
"TU0084_CD8_HC",-1731.74848514589,3403.27761960501,1671.52913445912,0.659721443159063
"XT0101_CD8_HC",-1812.40946834313,3313.45689032195,1501.04742197882,0.678319266296735
"TU0079_CD8_HC",-1820.90751884703,3288.1690203483,1467.26150150127,0.681954900688202
"TU0119_CD8_HC",-1757.38081978902,3356.49458952983,1599.11376974081,0.667672376619042
"TP0001_CD8_LTBI",-1793.3761237927,3309.79041935362,1516.41429556093,0.676660143036666
"TP0007_CD8_LTBI",-1875.50724070014,3318.13955810137,1442.63231740123,0.684594632115607
"TU0146_CD8_HC",-1888.95623147369,3261.26060707785,1372.30437560416,0.692082939857321
"XT0103_CD8_HC",-1826.49402888496,3348.6542866977,1522.16025781274,0.676038880909868
"TP0013_CD8_LTBI",-1772.42316732206,3335.29232538783,1562.86915806577,0.671623625235644
"TU0005_CD8_LTBI",-1634.9858890811,3366.21747134271,1731.23158226161,0.653110238803023
"TU0010_CD8_LTBI",-1683.86361478108,3398.9892738375,1715.12565905643,0.654898704502842
"TU0013_CD8_LTBI",-1734.90109893176,3463.98225330496,1729.0811543732,0.65334924223701
"TU0021_CD8_LTBI",-1819.70104983655,3254.39792200343,1434.69687216689,0.685443240974491
"TU0022_CD8_LTBI",-1827.4029631048,3346.55540073354,1519.15243762874,0.676364150987772
"TU0024_CD8_LTBI",-1812.04367654176,3319.77045363975,1507.726777098,0.677598536431634
"TU0033_CD8_LTBI",-1870.57102218385,3337.33180089004,1466.76077870619,0.682008656539591
"TU0035_CD8_LTBI",-1565.02876394984,3466.96422400919,1901.93546005935,0.633932201246884
"TU0046_CD8_LTBI",-1787.16179660473,3356.64817780758,1569.48638120284,0.670903656214161
"TU0050_CD8_HC",-1984.04407148074,3224.97349168877,1240.92942020803,0.705873162135306
"TU0052_CD8_HC",-1520.2358941411,3521.96971588012,2001.73382173902,0.622535029675107
"TU0053_CD8_HC",-1884.59094600739,3305.98521244853,1421.39426644114,0.686863721919639
"TU0056_CD8_HC",-1782.26801238728,3342.99724952815,1560.72923714087,0.671856317968724
"TU0057_CD8_HC",-1834.7668355953,3374.71857822945,1539.95174263415,0.674112190652236
"TU0059_CD8_HC",-1877.93846372091,3316.3926285482,1438.45416482729,0.68504155557809
"TU0063_CD8_LTBI",-1842.11951276176,3374.19975840735,1532.08024564559,0.674965185217233
"TU0070_CD8_LTBI",-1808.13218645966,3362.68823944395,1554.55605298429,0.672527211937875
"TU0071_CD8_HC",-1739.66834184221,3434.59062370083,1694.92228185862,0.657136990874157
"TU0075_CD8_LTBI",-1887.37755710887,3257.14094257411,1369.76338546523,0.692352121067774
"TU0085_CD8_HC",-1860.00015607294,3343.63661680817,1483.63646073523,0.680194913662213
"TU0094_CD8_HC",-1706.92813718244,3434.37714137025,1727.44900418781,0.653530599656882
"TU0110_CD8_HC",-1786.51648776739,3373.09713069878,1586.58064293139,0.669040833380154
"XT0082_CD8_HC",-1754.04053730207,3404.87303163581,1650.83249433374,0.662001503284014
"XT0106_CD8_HC",-1686.01888105926,3370.7579971301,1684.73911607083,0.658262971313552
"XT0123_CD8_HC",-1820.17659225503,3394.09721835535,1573.92062610032,0.670420845975457
"XT0134_CD8_LTBI",-1732.84592966602,3430.81792112941,1697.97199146339,0.656799490335842
