"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"TP0003_CD8_LTBI",346.366313722564,482.218621505187,1526.3625744483,2.60047535228756,31.4937424842789,0.953705194477081,0,4.38494833795403,0.130847207884912,11.7734999540515,-1840.49061597017,3319.00573664234,1478.51512067217,0.680745780115067,9.64954195560635e-07,6.01551901981898e-09,0.123817978399666,0.352601731251832,2.37706627345871e-08,4.1188393838769e-10,0.523576881000733,2.41419550784168e-06,2.66929487932798,0.896744881792451,-0.516231974404156,0.00925070843354475,3.05905849514982,10,0,0,0,0.53365511802239,0,0.0889069778777172,0.0576864070224282,0.0197458616229813,0,0.226254382116871,0,0.0578440560706746,0,0,0,0.00287015553943003,0,0,0.00389024103530714,0,0.00522920536534654,0.00391759532685387,0,0.633871597828929,0.785678491526391
"TP0004_CD8_LTBI",365.681601741714,569.978260695621,1222.31061857366,2.03999623988097,48.9106154894041,0.786853965237237,0,4.47817356162117,0.120801617449601,6.17166846977863,-1874.137073083,3304.93451209974,1430.79743901674,0.685859901873043,9.78672088469376e-09,8.72900502610038e-05,6.42254996931799e-07,0.442894816216753,6.29412010455525e-08,2.47345424232514e-05,0.390141972683531,0.166850471524113,2.73019844824679,0.917473214110744,-0.518060884760992,0.0879883733328192,3.21759915092936,10,0,0,0,0.676147924138264,0,0,0.0375363048737046,0.0120908977380762,0,0.197914147929412,0,0.0504120298082591,0,0.00206479395424259,0,0.000162170785695455,0.00310442408684234,0,0.0189193828758069,0,0.000897840763469282,0.000750083046227591,0,0.651738318590245,0.772506288578281
"TP0005_CD8_LTBI",366.782269810849,460.267558351235,677.508947055029,9.32812876142725,36.3669602192716,1.77180845170297,0.688563464472283,3.95656012826273,0.135324682244194,6.4286020679183,-1721.86264218134,3421.85638820427,1699.99374602293,0.656575677378124,0.00530922472632912,7.18912969852814e-05,0.223776435514045,0.367901847278794,2.21820649486703e-08,3.82462304464673e-10,0.166101955131799,0.236838623487521,2.74486909465797,0.921015159469945,-0.634210270211075,0.0140195268995825,3.04569351081642,10,0,0,0,0.612935920988346,0,0,0.0261341532350361,0.0133874621028117,0,0.280354554246658,0,0.0509867897681623,0,0.00845908498200922,0,0,0,0,0.00388858205999862,0,0.00313285778522686,0.000720594831751816,0,0.697425031633869,0.727112179822487
"TP0008_CD8_LTBI",422.425195948072,510.726733393548,1536.50199729806,1.91368828608186,18.9737004607876,1.76726654042545,0.0663478751150491,3.00449817937889,0.132023315789685,3.52797512119841,-1646.25061802868,3417.56046238331,1771.30984435463,0.648643967005207,1.31423166158865e-08,2.02498261861388e-09,0.00155842877483559,0.404777481815593,5.46275288228976e-06,6.61248242544845e-06,0.495556851124948,0.0980951478820166,2.80194915930094,0.975391839778046,-0.674018892837887,0.112557303027001,3.2158794092681,10,0.0143917177623781,0,0,0.713919114494069,0,0,0.0999226670583101,0.0187607393413646,0,0.0943566863463112,0,0.0410820508078811,0,0.00271419553364703,0,0.00562869171390403,0,0,0.00125782263034328,0,0.00518347421074142,0.00278284010104969,0,0.617309131070035,0.798511655357618
"TP0015_CD8_LTBI",371.418826159232,439.408997258917,604.239009550544,5.37743675924455,32.5561059319496,2.08990377765711,0.47975263774418,4.59217309911182,0.23860091495176,12.5412478855369,-1882.53566875629,3392.24077410813,1509.70510535184,0.677384941618829,6.25224226581252e-06,2.5147506637892e-06,0.295539692878106,0.377304559368257,1.20018281475441e-08,5.17020544875376e-09,0.107927357869466,0.219219605719208,2.61907953135478,0.93505281989994,-0.618255083852558,0.112373792308928,3.04825105971109,10,0,0,0,0.512612026346685,0,0.0298298558892872,0.0522818811770803,0.0238084476377145,0,0.278272473916538,0,0.0696234879410732,0,0.0107850189844241,0,0,0,0.00186630584594626,0.0165229520924261,0,0.0032709504100969,0.00112659975872783,0,0.688395374965481,0.731376747069341
"TU0084_CD8_HC",361.435536054219,413.733504872131,1021.71437506638,2.30817444638827,27.2892614309878,0.8576219046786,0.26423949620386,1.69521209464183,0.10488927189479,5.68621663198222,-1731.74848514589,3403.27761960501,1671.52913445912,0.659721443159063,1.93783324633751e-09,2.00633428740397e-09,0.309718469578997,0.251977184459234,1.59059291038559e-08,9.34025223224979e-06,0.333906649256033,0.104388336603407,2.72251901152816,0.96102133657075,-0.621548887965735,0.188420121626297,3.25041158175947,10,0,0,0,0.627312096853062,0,0.0788921157742049,0.0419278126202642,0,0,0.186979481019196,0,0.0397326895086259,0,0.00549727506590394,0,0,0,0,0.0159521635885679,0,0.00324919314474296,0.000457172425431869,0,0.68486175758818,0.734602378467867
"XT0101_CD8_HC",375.572554542802,426.695820811592,1111.15261996954,1.21692577125136,16.6198453924698,0.433391029022249,0.432510792804433,2.62529540061959,0.0152870627105271,5.12633681633908,-1812.40946834313,3313.45689032195,1501.04742197882,0.678319266296735,8.34823277139193e-08,5.23644831863074e-06,0.130683343605695,0.343309284258754,9.4365734699413e-10,2.24618003547761e-09,0.340930034005554,0.185072015009513,2.7649251577494,1.01580524805115,-0.605635179291386,0.105131391430702,3.28022661793986,10,0.0192900566905045,0,0.000935566963640338,0.49971891533409,0,0,0.16123498092434,0.0197765367288206,0,0.166086293209932,0,0.071339161334586,0,0,0,0.0121869194024595,0.00747067741853848,0,0,0.0321027558966573,0.00533923070137654,0.00451890539505426,0,0.663033642582739,0.748880033755289
"TU0079_CD8_HC",365.006981009734,442.771752016767,463.915638121594,4.27091107268551,34.0222609491403,0.698723412486357,0.262275546589271,3.25453806813094,0.103744470590668,2.76983109532162,-1820.90751884703,3288.1690203483,1467.26150150127,0.681954900688202,3.64142808196604e-09,1.59855616740477e-09,0.347307622763793,0.406377104734468,2.7201984912585e-07,1.39049728717298e-07,0.100812087809066,0.145502768383111,2.63365872910246,0.978857634562218,-0.464129972040864,0.132626310523119,3.28101270214693,10,0,0,0.00148305715569348,0.397775289184652,0,0.140224871401557,0,0.0122816096619877,0,0.36827695772406,0,0.0549349855969136,0,0.00539898985252985,0,0,0.00157450402050481,0.000963759970310679,0.0126400125502078,0,0.00345656848401239,0.000989394397570346,0,0.754735039732134,0.6577426111559
"TU0119_CD8_HC",343.380012311564,466.871974642464,428.390258826173,5.21838031206372,25.7829758501437,0.590531696262206,0.238638094624795,3.19035861693614,0.246203263666316,3.60516432987193,-1757.38081978902,3356.49458952983,1599.11376974081,0.667672376619042,9.991714819914e-10,9.05096431777761e-08,0.627126955699872,0.311307582300287,5.0105492723878e-05,9.99662716638581e-10,0.0615142224781444,1.04152049624316e-06,2.67525856034094,0.977952930196571,-0.53624239591364,0.0977844578018503,3.21475355242572,10,0,0,0.00215060185797258,0.574777165104134,0,0.0445460529707458,0.0124558260798414,0,0,0.316882213746664,0,0.0465121111133745,0,0.000724263422281931,0,0,8.24715042568146e-06,0,0.000266015523695045,0,0,0.00167750303086513,0,0.769111599497169,0.642730857361019
"TP0001_CD8_LTBI",406.504670479871,451.114729802565,2327.32105388986,1.71391125306094,47.2933824428848,2.98181917138448,0.355617964170345,8.60743963976174,0.0523424659678479,7.32126381490882,-1793.3761237927,3309.79041935362,1516.41429556093,0.676660143036666,7.32703551070742e-08,5.54061665726969e-08,7.44180614679954e-05,0.122009338230479,3.8296140831456e-07,6.27193952088285e-05,0.877853012087601,5.87313408034122e-10,2.8261718728142,0.876761689728829,-0.640288177981141,-0.0028248127099657,3.05982057185192,10,0,0,0,0.603342576343841,0,0,0.046602550557931,0.0204439709720536,0,0,0.183232029253127,0.101750185725314,0,0.0010882407850462,0,0.00527385435947604,0.00370762978192918,0.00288763180204614,0.031671330419236,0,0,0,0,0.657059477603642,0.76696528033691
