"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"NM001",1.22472450216884e-09,0.0193063251379735,0.329647299645301,1.24061745938188e-07,0.346021923835775,0.0144166805072744,2.10385983553114e-09,0.290607643483345
"NM002",0.00389092791909953,0.113333713304599,0.144248812137434,0.0428176681948228,0.251846481241969,0.0327209550632942,0.000310176299261874,0.410831265839519
"NM003",3.85502610844422e-05,0.00947241192380261,0.233416339730151,1.85102438933219e-08,0.164291223126677,0.0295514091753858,3.00777532617319e-10,0.563230046971878
"NM004",0.000177755059146399,0.0162926955068895,0.291420260306726,3.730837282755e-06,0.326007910141414,0.0284930249090256,0.000678182736545476,0.336926440502971
"NM005",0.00206244052883764,0.0553633598878442,0.132421612170799,0.0374180820361376,0.306760259793465,0.00996069931465006,2.72878743449193e-09,0.456013543539479
"TB001",0.0340282877112603,0.329322474563599,0.215663439310514,7.74902802587819e-06,0.384034179966959,0.0369409080748423,6.26768603664311e-09,2.9550771140938e-06
"TB002",3.49694973916936e-09,0.999982018699215,1.32390685767033e-05,1.1661705717772e-07,1.49461362386074e-06,7.66510310095101e-08,1.92525460795587e-06,1.12559893889542e-06
"TB003",0.0128678366237594,0.4093543430845,0.104682135044688,0.0342430139592415,0.131131776370849,0.00459830815193717,9.09114077553155e-08,0.303122495853616
"TB004",2.26683099995958e-06,0.726424464922147,2.45890150385702e-06,1.86637926815169e-08,0.250838337233264,0.0227321878140514,2.51345118151817e-07,1.42891228234158e-08
"TB005",1.15948788942464e-06,0.564474555954146,3.88216773299907e-09,6.70937833916832e-07,0.398120602029397,0.0374015366398063,1.47068958870678e-06,3.79170846967178e-10
"AD001",0.0524173781818264,0.751857948038808,1.08038543125817e-06,1.90148423401892e-06,0.178237884881657,0.0174192450806588,6.45347940001126e-05,2.71533841112222e-08
"AD002",0.00598732171135959,0.135972525575478,0.0897720447373908,3.77428456573677e-06,0.0353714927921151,0.0223460838897487,5.84284788863299e-09,0.710546751166495
"AD003",0.0531048989283855,0.387477655926496,0.182194929964607,5.53325625051157e-07,0.0402425574788564,0.0192602258979475,1.3223928256443e-05,0.317705954549826
"AD004",0.0104316241051982,0.0355051916736565,0.0732350794318786,0.0208519393658921,0.0324958363041703,0.0170109440816599,0.000308635695770681,0.810160749341774
"AD005",0.00468235331319113,0.357891481581418,0.0821539494983285,1.72379307390049e-06,0.0451829651916939,0.0119110499178792,4.6776738402651e-05,0.498129699966013
"SA001",0.0467651458249713,0.225170242397447,0.089464745137548,0.000762871925822974,0.623063218404957,0.0147719992264918,1.77465882282072e-06,2.4239384617597e-09
"SA002",0.0231516462022004,0.133503250747171,0.10189304138975,0.0053449696460388,0.719983449662491,0.0161197391505501,1.72010067080992e-09,3.90148169795308e-06
"SA003",0.0797846253766027,0.119024356235654,0.197037400229549,5.81868668738445e-09,0.0550964678684184,0.128264477564991,1.01282438119741e-07,0.42079256562366
"SA004",0.00161113591513451,0.0752072357270055,0.0942977947202786,0.00802287232737765,0.0687273961254657,0.00981169088296139,4.99818044755124e-09,0.742321869303596
"SA005",0.00523356527769127,0.215158736739831,0.148114789873396,2.26302262999723e-05,0.276043337465214,0.00851209241254509,1.86220281918704e-07,0.34691466178474
