"ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"NM001",656.617510077269,1821.36204910148,2477.97955917875,0.56635009476029
"NM002",1480.08616681269,2597.33764473933,4077.42381155202,0.35908806713415
"NM003",678.475185608687,2543.16753251456,3221.64271812324,0.473190903511543
"NM004",926.772165009741,2571.66527027668,3498.43743528642,0.437016603892924
"NM005",1136.96729187183,1632.69958175614,2769.66687362797,0.530554130163007
"TB001",1572.64167571803,2475.69156178561,4048.33323750364,0.363070136118246
"TB002",1903.53289945955,1337.632470173,3241.16536963255,0.470664398244399
"TB003",1294.72541343487,826.452739458488,2121.17815289336,0.608718831656688
"TB004",1724.25501271272,2724.35901764601,4448.61403035873,0.307727957103
"TB005",2048.13474698516,2472.93396296537,4521.06870995053,0.29759133187915
"AD001",1352.52230260144,2540.44852510848,3892.97082770991,0.384223084898178
"AD002",-94.3395923255674,1636.07549386036,1541.7359015348,0.673918725166301
"AD003",300.063855994974,1679.89030443245,1979.95416042742,0.62503379170384
"AD004",-464.783769931585,1426.71057543241,961.926805500827,0.73428270107831
"AD005",20.5923974096341,1057.92551480681,1078.51791221644,0.722557852753056
"SA001",1587.9735854539,2329.42452261559,3917.39810806949,0.380910213467155
"SA002",1693.11728014088,2131.13237866307,3824.24965880395,0.393516537471636
"SA003",624.667652018365,3710.14437562602,4334.81202764439,0.323578485548973
"SA004",-546.022448586113,362.361579942465,-183.660868643648,0.837541771493369
"SA005",670.763561345463,715.302575141459,1386.06613648692,0.690623408175864
