"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"NM001",1.22472450216884e-09,0.0193063251379735,0.329647299645301,1.24061745938188e-07,0.346021923835775,0.0144166805072744,2.10385983553114e-09,0.290607643483345,65.5333333333333,42,200.285714285714,299.222222222222,43.625,564.428571428571,310.8,764.214285714286,1621.5,6020.375,656.617510077269,1821.36204910148,2477.97955917875,0.56635009476029,0.150762041608989,0.0556173438829073,0.244968133702716,0.11243294568709,0.0424228576364225,0.744545209896895,2.1418023313726,0.930275102398937,-1.22029286666784,-0.508407111982264,1.34337745512144,4
"NM002",0.00389092791909953,0.113333713304599,0.144248812137434,0.0428176681948228,0.251846481241969,0.0327209550632942,0.000310176299261874,0.410831265839519,116.8,115,421.571428571429,2346.22222222222,61.25,1085.42857142857,267.2,904.571428571429,953.833333333333,17150.125,1480.08616681269,2597.33764473933,4077.42381155202,0.35908806713415,0.050311938417636,0.179944967269166,0.176806151536425,0.148087823919888,0.0347824351523245,0.704922918383274,2.29477919452016,1.08872026801532,-1.44115406804766,-0.573330840938585,1.36901455354923,5
"NM003",3.85502610844422e-05,0.00947241192380261,0.233416339730151,1.85102438933219e-08,0.164291223126677,0.0295514091753858,3.00777532617319e-10,0.563230046971878,63.1333333333333,89,166.571428571429,507.888888888889,21.125,542.571428571429,487.6,2271.42857142857,979.733333333333,6664,678.475185608687,2543.16753251456,3221.64271812324,0.473190903511543,0,0.137889650807157,0.0884766796040742,0.195709810599017,0,0.788035704913596,2.35168258417659,1.02020226839914,-1.39290293939653,-0.631080704588355,1.34790120859085,4
"NM004",0.000177755059146399,0.0162926955068895,0.291420260306726,3.730837282755e-06,0.326007910141414,0.0284930249090256,0.000678182736545476,0.336926440502971,152,187,499.285714285714,2105,28.375,542.571428571429,526,836,1690.33333333333,7813.25,926.772165009741,2571.66527027668,3498.43743528642,0.437016603892924,0,0.0581614899912769,0.281037229316213,0.106058795159516,0,0.710167026907113,2.39872770469224,1.05678246875302,-1.39735351312246,-0.557852715042712,1.50030394528008,5
"NM005",0.00206244052883764,0.0553633598878442,0.132421612170799,0.0374180820361376,0.306760259793465,0.00996069931465006,2.72878743449193e-09,0.456013543539479,112.466666666667,226,217.428571428571,1069.66666666667,16,333.285714285714,317.2,637.571428571429,1376.83333333333,11180.875,1136.96729187183,1632.69958175614,2769.66687362797,0.530554130163007,0.0195853415335209,0.144657863298957,0.206148670359039,0.0866746444948361,0.131948311258899,0.375156148548556,2.15669816020365,0.96838506354099,-1.25687939980577,-0.461462624153958,1.40674119978491,5
"TB001",0.0340282877112603,0.329322474563599,0.215663439310514,7.74902802587819e-06,0.384034179966959,0.0369409080748423,6.26768603664311e-09,2.9550771140938e-06,191.533333333333,87,154.714285714286,10369.5555555556,11.625,1797.14285714286,315.8,1077.64285714286,1358.16666666667,23308.25,1572.64167571803,2475.69156178561,4048.33323750364,0.363070136118246,0.206821369515485,0.15949670846105,0.2293474186065,0.131132515701927,0.118662595850777,0.537990419585557,2.29113015686789,1.10566468637146,-1.52026058616737,-0.686266992388716,1.19026726468326,4
"TB002",3.49694973916936e-09,0.999982018699215,1.32390685767033e-05,1.1661705717772e-07,1.49461362386074e-06,7.66510310095101e-08,1.92525460795587e-06,1.12559893889542e-06,145.066666666667,131,315.285714285714,4766.11111111111,46.75,414.571428571429,180.4,705.928571428571,1731.2,139815.75,1903.53289945955,1337.632470173,3241.16536963255,0.470664398244399,0,0.119720412261113,0.22191834327134,0.0670201415778746,0.11899704752571,0.363574719513104,2.05037557477205,1.01502309465441,-1.18158730192107,-0.330352591423948,1.55345877608143,5
"TB003",0.0128678366237594,0.4093543430845,0.104682135044688,0.0342430139592415,0.131131776370849,0.00459830815193717,9.09114077553155e-08,0.303122495853616,62.0666666666667,48,67,481.777777777778,24.875,240,108.8,421.571428571429,689.566666666667,33352.875,1294.72541343487,826.452739458488,2121.17815289336,0.608718831656688,0,0.0972732185619104,0.165932148366305,0.0845170867357634,0.121121730772407,0.187008894989497,1.9284185152177,0.925258835099704,-1.06314544489163,-0.360539188192419,1.42999271723335,5
"TB004",2.26683099995958e-06,0.726424464922147,2.45890150385702e-06,1.86637926815169e-08,0.250838337233264,0.0227321878140514,2.51345118151817e-07,1.42891228234158e-08,323.4,103,257.142857142857,21713,16.875,1704.71428571429,359.2,675.285714285714,1380.7,42104.125,1724.25501271272,2724.35901764601,4448.61403035873,0.307727957103,0.0807958190306507,0.197003026864819,0.281097066228812,0.173866418129488,0.0680214447733958,0.432266995350833,2.49896461762289,1.18721804506306,-1.49759716574603,-0.734379829179366,1.45420566776055,5
"TB005",1.15948788942464e-06,0.564474555954146,3.88216773299907e-09,6.70937833916832e-07,0.398120602029397,0.0374015366398063,1.47068958870678e-06,3.79170846967178e-10,148.733333333333,60,100.142857142857,11496.5555555556,10.625,1506.28571428571,226.4,657.571428571429,2609.4,35899.625,2048.13474698516,2472.93396296537,4521.06870995053,0.29759133187915,0,0.186571212668044,0.1692871609894,0.161763204511878,0.149979301755891,0.417711909437432,2.35569048661127,1.11053280754655,-1.57107117648996,-0.686454694365888,1.20869742330198,4
