"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"H1",6.74102807286511,0.405994921454858,1.60362024066585,420.930635514702,0.268572669480143,6.89313492633246,3.37518703344961,20.4591380439289,5.47117784498561,3.30610764876438,396.503384057942,840.595711078333,1237.09909513628,0.70627131180491,0.0770932002039275,0.0448730739485028,0.240325328664718,9.17220100469797e-08,0.0353142987725708,0.0354165552671121,1.18419850311773e-09,0.56697745023696,1.24902882316424,NA,NA,-0.228471123918685,1.02055769924556,3,0.129167807627526,0.0985948400794647,0.217325793952563,0.130194525591563,0.0203230499121875,0.527894491280605,0.0471095091954811,0.12487461990168,0.0556384051212285,0,0.00788440894252666,0.00452748233843303,0,0,0.0736384698762465,0,0.686327104624404,0.0802142093352562,0,0.0715638141798039,0,0.0392017816796839,0,0.00522342040449821,0.00586505904899627,0.0391842031411822,0.0314372997031829,0,0,0,0.560565687798155,0.00526970281583752,0.107633019008278,0,0.00085955512127298,0.050135020300589,0,0,0.00284722746326321,0,0.552887113412039,0.847220005459364
"L1",1.68808236848886,1.34219248224875,2.86899851423828,368.24763549545,3.62238865281666,1.84837597386453,9.81406677117898,27.851338888623,17.9487257514173,7.7451116144386,467.632733323072,445.973401618825,913.606134941897,0.73907917080152,3.89145582528933e-06,0.261454988837494,0.264124041138824,2.03352899788096e-07,0.149862620476206,0.0223630049278598,8.04593636327055e-09,0.302191241764955,0.737071387597722,NA,NA,0.149046536721389,0.886117924319111,3,0.105478140965102,0.0922844775887127,0.239468348101092,0.132315326222869,0.0429430190050134,0.491333127392889,0,0.034212604662193,0.0895360670116582,0,0.11342446371509,0,0,0,0.295839445319665,0.0140597010910149,0.452927718200379,0,0.0956624695700338,0,0.0379390086370966,0.0127948777238832,0.128062800040601,0,0,0,0.00481925261213166,0.0849815825712338,0,0,0.0806044337027008,0.0037664103702326,0.0674955053806135,0,0.0118672171557264,0.372825332397027,0.0662896400221075,0.00552800905030276,0.0273634607663096,0.08,0.220600859715088,1.00333989271198
"H2",2.94010880100337,0.420039700278268,1.64636503423461,913.16494200893,0.607148721061175,7.11582058882464,6.85366128079639,20.4616781384164,8.20498215770101,718.087436804745,866.382297568225,725.459668247136,1591.84196581536,0.668466639877069,0.0499075210990046,0.429147073798473,0.255240326186711,1.84474831662541e-06,0.048409727799689,0.132999467117155,2.13846276443856e-09,0.0842940371121881,1.31354853709509,NA,NA,-0.357475370261353,0.956073166833737,3,0.0973802917938915,0.117792230016465,0.196176421955328,0.135545857840331,0.0929645158423289,0.487735503483313,0.026477568627036,0.107828149279199,0.079647170657245,0,0,0.00932733421667233,0,0,0.0550960102496981,0,0.72162376697015,0,0.0326244122201344,0.146848368597472,0.00225814344377856,0.0542277275730255,0,0,0.00282060240742812,0.0656603604451547,0.0186104258354872,0.00412428635193464,0,0,0.515232124850241,0,0.0687584283532613,0,0.00934235942794059,0.0607431220870888,0.0106136406900592,0,0.00813599771699456,0,0.50962082298737,0.873448242676499
"L2",2.69395815618155,2.5415879349507,12.4413140351881,49.8517741689629,4.80034266691991,0.99173504837666,4.46716356134875,45.2794280235322,24.8445815714798,36.3275174997054,412.481067292746,805.310351123357,1217.7914184161,0.708274879366495,0.00117743393573909,0.0471381079455656,0.149628392657249,1.19028461565202e-06,0.203879142107562,0.0117146974489772,4.75391023146965e-09,0.586461030866381,1.40668693527786,NA,NA,-0.162345873094993,1.24434106218287,4,0.078394949359917,0.122449305737494,0.248650052696415,0.137541798683133,0.0511497660798338,0.504986026642338,0,0.0594909308758576,0.0610490233209224,0,0.168847388841072,0,0,0,0.436439349643285,0,0.274173307318863,0,0.0538228580064482,0.000464211264092533,0.0655850690472397,0,0.153630522972121,0.011092395952429,0,0.0249338590984346,0.0611368261132217,0.0206884188549652,0,0.233570979720781,0.0765639666300369,0,0,0,0.0465887850847815,0.127445146307607,0.12284712173985,0,0.00162983920799198,0.13,0.166904431772562,1.01421176317149
"H3",19.6147115079825,0.585208551285081,4.81513832667297,92.3137709077251,1.12719245289871,33.6139700854609,35.8314507815788,15.5112053459646,11.7101717403112,94.355095791802,808.350798541539,724.410681533933,1532.76148007547,0.674891398868329,0.000576099764020741,0.0692255913277875,0.469665607423278,1.00340085009364e-08,0.0594652735466841,0.251558971704935,1.24991542205569e-07,0.149508321207744,1.66194179691561,NA,NA,-0.122182210197203,1.5397595867184,5,0.100982048817601,0.115689571840321,0.225967633887447,0.128551449260735,0.0699884992320616,0.482924401417799,0,0.258850139500221,0.0215618857020512,0,0,0,0,0,0.251432925983917,0,0.468155048813811,0,0.0670703244692474,0.0429666111473299,0.0240734718028649,0.0408805649627465,0,0,0.0448497606879294,0.00912926568187002,0.0218290830651791,0,0.0128593670828861,0,0.490063741848751,0,0.09187705952767,0,0.0209993250625557,0.123904780202572,0,0,0.00949664445839855,0,0.798381099185032,0.624491497774915
"L3",5.53881935419867,1.34174950543565,4.86546080137107,119.922434532609,2.87445543874034,5.82287597467246,3.63633996665928,14.9637406715008,10.4571598253563,2.73654278071113,235.552039785801,324.679592924215,560.231632710016,0.773010888669192,0.0118803113783356,0.29992771420874,0.1776525717967,1.08626607469096e-07,0.0700570966095952,0.124649580712077,2.26324829295229e-08,0.315832594035462,1.16039994966062,NA,NA,0.0219281476630965,1.18232809732371,4,0.101267007776734,0.11600859628509,0.221240480748041,0.120954302399245,0.0534487546735132,0.46844435049881,0,0.19448691283247,0,0,0.0894394307197918,0,0,0,0.261305478498065,0,0.454768177949673,0,0.192886206111832,0.0994114999044783,0.0571941205694866,0.127258622062084,0.0832262629752087,0,0,0,0,0.0369489184727058,0,0.0376819058778376,0,0,0.100533798002742,0,0.0235137690618792,0.112147950167493,0.129102650697408,0,9.42960968454094e-05,0.04,0.29127474055437,0.973131956777443
"H4",2.69467155291876,4.00943024822296,3.52380551124796,245.297953700328,2.20485421250887,4.37552163723911,7.913169492185,19.3270731357994,13.803017559352,1.23504492782303,686.94129695368,474.680122833286,1161.62141978697,0.714071260757002,0.0147018718002195,0.132958220349436,0.342570437794657,0.0596807567975274,0.164277027238082,0.0309010924738319,4.11818851404579e-09,0.254910589428057,0.787027430503629,NA,NA,-0.161221256141178,0.625806174362451,2,0.12316153221129,0.105111805819855,0.216009344370354,0.123023789124829,0.0634771697060241,0.453946286496975,0.0085500974016731,0.28568537796128,0,0,0.0343317770199971,0,0,0,0.188951577020036,0,0.482481170597014,0,0.168484218987844,0.089273301902311,0.0122874099006518,0.0850571295402284,0.138374236993684,0,0,0,0.0297103859664482,0,0,0,0.0670894114294276,0,0.113540271285029,0,0.0150706753473973,0.251160438260772,0.0299525203862076,0,0,0,0.536214309327925,0.847727804373888
"L4",0.540388994257952,6.57661531710052,9.41260158532647,16.4834175516345,1.83243277566163,2.39666233945702,6.71787758978629,15.9532800561828,35.8082265012563,11.8910235295708,621.825629694649,240.581336776378,862.406966471027,0.744120793607894,1.86047104342832e-07,0.0735003791955486,0.159567156011064,0.0169232322671787,0.196109906827294,0.0128675179431629,9.91223153059305e-10,0.541031620717425,0.981673286020466,NA,NA,0.0495046624393499,1.03117794845982,3,0.103844668344366,0.0953336848202144,0.238855525225474,0.134817689240357,0.0309111367971507,0.483694844417866,0,0.0368695817596766,0.0404962553577098,0,0.0123714108737283,0,0,0,0.521070339250398,0.0897937226389541,0.299398690119533,0,0.0561063504174846,0,0.0316073968543385,0,0.25316104467409,0,0,0,0,0.112407621485595,0,0.0401293738111455,0.0135965065003748,0,0,0,0.0469122175380459,0.313345369636644,0.0390954641074667,0,0.0936386549748154,0.27,0.0727568104805395,1.05907126470508
"H5",17.7290186548926,0.273385033078975,4.01405181184885,46.7485805013149,0.316898632440963,45.1841030730962,11.4910695428442,11.4262285056187,3.14768405603194,5.01364313683182,678.967236144048,970.817046384552,1649.7842825286,0.662116817900813,0.00533499898746078,0.309275386377973,0.250352627231166,0.0141182998200194,0.035414651398656,0.15717781176081,1.0337605484843e-09,0.228326223390154,0.94345131388581,NA,NA,-0.226885850912991,0.71656546297282,2,0.0625542040346097,0.136163938583554,0.210432541769246,0.130133679649789,0.107736767484536,0.5409854639975,0,1,0,0,0,0,0,0,0,0,0,0,0.0333973121584497,0,0.00508889386902856,0.0108316324247222,0,0,0.0166694508660346,0.0569702152003016,0.0131078068151265,0,0.0198611948059256,0,0.705199620986983,0,0.0868034594892701,0,0.00469276322056811,0.0473776501635898,0,0,0,0,0.841889676906536,0.541002990269913
"L5",4.34181775472187,1.06875101586991,6.8348057032911,13.7111981149591,0.969065946545647,7.12812774780967,3.75631099129205,23.3896223111298,19.4600146654613,1.3185283189147,360.849966966588,615.046550785866,975.896517752454,0.732889126768239,0.00218183625908937,0.127361414578768,0.0738753220107048,0.0138977313860473,0.167603951397294,0.0545404982823339,1.61151003700186e-09,0.560539244474253,1.2115998459754,NA,NA,0.107882404161192,1.31948225013659,4,0.132213540093405,0.0983600166844107,0.236586742752587,0.118117515415708,0.0506616376399915,0.482319227485905,0,0.22313955870373,0,0,0.0691342041743326,0,0,0,0.54041927624776,0,0.167306960874178,0,0.0730800210758519,0.0169630037572777,0.102400931494839,0,0,0.0222725062361289,0,0.0310625077608528,0,0,0,0.0655763259482996,0.149221487449629,0,0.110475418331951,0,0.014219886341119,0.346127053695666,0,0.0686008579083848,0,0.08,0.226146208854174,0.995633809914315
