"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"H1",0.0802142093352562,0,0.0715638141798039,0,0.0392017816796839,0,0.00522342040449821,0.00586505904899627,0.0391842031411822,0.0314372997031829,0,0,0,0.560565687798155,0.00526970281583752,0.107633019008278,0,0.00085955512127298,0.050135020300589,0,0,0.00284722746326321,0,0.552887113412039,0.847220005459364
"L1",0,0.0956624695700338,0,0.0379390086370966,0.0127948777238832,0.128062800040601,0,0,0,0.00481925261213166,0.0849815825712338,0,0,0.0806044337027008,0.0037664103702326,0.0674955053806135,0,0.0118672171557264,0.372825332397027,0.0662896400221075,0.00552800905030276,0.0273634607663096,0.08,0.220600859715088,1.00333989271198
"H2",0,0.0326244122201344,0.146848368597472,0.00225814344377856,0.0542277275730255,0,0,0.00282060240742812,0.0656603604451547,0.0186104258354872,0.00412428635193464,0,0,0.515232124850241,0,0.0687584283532613,0,0.00934235942794059,0.0607431220870888,0.0106136406900592,0,0.00813599771699456,0,0.50962082298737,0.873448242676499
"L2",0,0.0538228580064482,0.000464211264092533,0.0655850690472397,0,0.153630522972121,0.011092395952429,0,0.0249338590984346,0.0611368261132217,0.0206884188549652,0,0.233570979720781,0.0765639666300369,0,0,0,0.0465887850847815,0.127445146307607,0.12284712173985,0,0.00162983920799198,0.13,0.166904431772562,1.01421176317149
"H3",0,0.0670703244692474,0.0429666111473299,0.0240734718028649,0.0408805649627465,0,0,0.0448497606879294,0.00912926568187002,0.0218290830651791,0,0.0128593670828861,0,0.490063741848751,0,0.09187705952767,0,0.0209993250625557,0.123904780202572,0,0,0.00949664445839855,0,0.798381099185032,0.624491497774915
"L3",0,0.192886206111832,0.0994114999044783,0.0571941205694866,0.127258622062084,0.0832262629752087,0,0,0,0,0.0369489184727058,0,0.0376819058778376,0,0,0.100533798002742,0,0.0235137690618792,0.112147950167493,0.129102650697408,0,9.42960968454094e-05,0.04,0.29127474055437,0.973131956777443
"H4",0,0.168484218987844,0.089273301902311,0.0122874099006518,0.0850571295402284,0.138374236993684,0,0,0,0.0297103859664482,0,0,0,0.0670894114294276,0,0.113540271285029,0,0.0150706753473973,0.251160438260772,0.0299525203862076,0,0,0,0.536214309327925,0.847727804373888
"L4",0,0.0561063504174846,0,0.0316073968543385,0,0.25316104467409,0,0,0,0,0.112407621485595,0,0.0401293738111455,0.0135965065003748,0,0,0,0.0469122175380459,0.313345369636644,0.0390954641074667,0,0.0936386549748154,0.27,0.0727568104805395,1.05907126470508
"H5",0,0.0333973121584497,0,0.00508889386902856,0.0108316324247222,0,0,0.0166694508660346,0.0569702152003016,0.0131078068151265,0,0.0198611948059256,0,0.705199620986983,0,0.0868034594892701,0,0.00469276322056811,0.0473776501635898,0,0,0,0,0.841889676906536,0.541002990269913
"L5",0,0.0730800210758519,0.0169630037572777,0.102400931494839,0,0,0.0222725062361289,0,0.0310625077608528,0,0,0,0.0655763259482996,0.149221487449629,0,0.110475418331951,0,0.014219886341119,0.346127053695666,0,0.0686008579083848,0,0.08,0.226146208854174,0.995633809914315
