"","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5"
"A4GALT",3.07166181016744,7.89175849481967,2.73756814472225,1.25282025777495,0,0,1.37912523935469,1.84091104725003,0.660017946906452,0
"AAAS",0,0,25.0475665790652,0,16.383821092352,5.74114614325167,0.429776086083877,7.54244846053087,7.46472169687826,0
"AADAC",2.59748642122153,0,1.75672982254684,4.82217652838876,4.57912174033327,1.73202174367949,3.44007857374841,0.640734467919871,1.65547111230396,3.92673299780238
"AAGAB",6.9101205728565,0,37.0437461144007,1.29492674642813,5.16571906017127,14.4874502729174,31.4983982840589,40.5620028142728,38.0355347944699,0
"AAK1",0,3.18094979993601,0,12.6126731587128,17.4742266093601,11.9316920038799,14.4899944490587,9.19252764651416,0,9.49821379695396
"AAMDC",0.423836026072081,26.9824239689626,20.5043350259799,0,14.0067863202657,20.1825054569496,3.62421975648365,0.520936136623217,0,44.1379873873972
"AAMP",55.2926985401195,41.9260393539114,49.481701867256,26.5409047749235,29.2315967290955,12.1663665156333,12.4222556983614,25.8769701890362,7.69228346012894,10.6805298460519
"AAR2",42.8678788061527,0,18.0862972076457,49.1317150742703,57.8121757944117,22.5494400270337,36.5571598740091,0,10.7753974210477,0
"AARSD1P1",0,0,0,9.1462412583052,0,0,4.6296654620763,8.00825224832024,0,0
"AASDH",5.49237033248554,0,13.5885467627596,4.90379005061142,7.62559850566762,18.1317236480765,14.8400312692286,6.18647921885597,5.54100308772486,28.2072944939693
"AASS",1.07949662075503,2.00731639987187,1.09138806464569,2.43018606257962,0,1.2511113854075,1.44003816233042,2.15599852306851,0,1.30812920425097
"ABAT",1.60992638495171,1.23304878334971,1.40894554668111,2.77315020402894,1.92062987485579,1.51506660701862,0.147267615640858,0.57934069737053,1.08338350449612,0
"ABCA1",9.03893489971021,13.4668301277133,45.7033878678311,15.7720883370719,16.8601131552604,10.3292292534957,4.4044293050265,3.28804234407079,10.1514754779673,2.28572664403208
"ABCA11P",5.87510319830487,13.6446658086009,3.10228012972022,5.41475861341665,11.6452131714018,8.44994629474399,5.69589659848031,2.25678265000315,4.60037498474228,11.6899947398384
"ABCA2",0.293170520640864,0,46.234452906986,49.3575632258672,7.21285649174076,9.54511688734756,0,0,0,46.0677553147566
"ABCA3",19.3470859818897,58.2551516973552,6.98557763219218,46.3078403683377,118.213127272944,301.866553637569,44.6463393820019,10.1409030971954,19.9120392295124,115.304564368075
"ABCA6",6.2217970327974,2.82689979058904,0.00133871581066629,4.73840850285347,0.00014813531231112,0.000257299735129117,0.000325813308939951,4.27202299789688,0.000296111598244219,0.00126576336002428
"ABCA8",0,68.3165670693486,0,0,0,0,0,0,0,0
"ABCA9",0,2.82349289814503,2.24213760668541,0,1.79423341962633,2.15548564775499,2.09074400346767,2.37498909442299,1.27786960222293,1.7368134716239
"ABCB1",0,0,0.0555919355060897,6.19848261189688,0.562377196275129,2.66171429996369,0.757983414554735,0,0,0
"ABCB4",1.37331216594744,0.462680622034553,4.98978134935109,0.955100685890677,2.71528324083476,1.3073742608224,3.26394106577627,0,3.49355424724512,0
"ABCB8",4.99530343392308,3.31295662041713,6.19224759691865,2.82748115712982,15.7560791895196,0,12.0020131930131,4.43062799372401,0,3.65699510294779
"ABCC10",6.31002815709289,6.85739721599074,6.34308211648096,4.92425783208132,7.73577414419901,0,1.56111322109171,2.90220434039366,5.83190312183998,1.4234439691826
"ABCC13",0,0.895007063799895,0.157986080340342,4.1128999867653,0.736047333045879,1.55841303573004,0.174395115059119,0.766599656980403,0.197284352330211,2.66484138452641
"ABCC2",1.53392327928234,4.4107969253263,1.35000682164836,1.33562812422526,6.13046879851148,0,0,0.307481794073679,0,0.57244147957098
"ABCC3",6.6771294704822,10.6516902730906,3.56117781787125,4.91859055162855,12.3116924584036,3.87236101369321,0,6.33365800443393,16.7356649207266,5.54944162535351
"ABCC5",26.099600981343,18.7812950120887,38.190690885189,23.7034004936872,43.5736873287774,38.6550654874938,24.705204958457,29.5572888348192,34.0666177929835,39.8733328008025
"ABCC6",1.61431804147287,8.23858425030946,0.323986840862962,19.2347264381682,20.9034109540503,16.2227482998908,16.977479902243,13.9572573204187,6.2753302402107,34.6568055533024
"ABCC9",3.7828768598431,6.84163520757508,6.63187482326877,25.4392744452604,9.01073774343275,22.9687528287158,15.7041448277215,23.0437299256727,3.37035701679561,11.9549115654246
"ABCD1",3.39649342954056,8.61172106672226,10.8693507310706,2.88900159411087,6.91475269262867,2.25830262191259,0.443134431750415,2.57542533984653,6.8740530862806,3.28070971584646
"ABCD3",1.90751600996699,0.0914114394314186,0.492083748510178,0.0807236186804915,4.07396180843831,5.59628639237398,0.955213792831733,6.3591989449909,0.0460453535269761,0.354674339145627
"ABCF2-H2BK1",1.154923321506,8.26961570437778,1.12557816186284,4.09826341534804,0,0.578341191307555,7.25485661857381,1.18622103771004,3.96083315485441,8.36574648724047
"ABCG1",5.61654442062142,13.538846908352,6.32883183897005,3.1498604245379,5.47371089138013,3.50478261208776,2.28767690002781,1.93127715895748,4.17239008621999,5.02591817681405
"ABHD14A-ACY1",0,0,0,10.2148280643368,0,0,0,0,0,0
"ABHD14B",0.750836025852526,0.0112263263064629,1.04920090192799,2.75251849295917,0.00946214307387281,46.5689706673854,20.8565281637058,54.2184996407643,72.4378246952231,44.9758668892321
"ABHD16A",0,0,0,0,0,0,0,10.0724873367561,0,0
"ABHD17A",6.44883195101488,0.469453360025655,1.88293901706558,5.23923684898083,0.941270291338897,0.31965203760874,0.0176647476629617,0,0.0687719186922199,0.251067885294228
"ABHD17AP6",3.84066831487627,3.8851298399745,4.63963670613498,5.64852222283605,5.29842978308799,1.10671477405303,1.11558476981039,3.6334464210767,3.0394523057577,1.40423414877752
"ABHD17B",20.900263930232,34.6413439410275,21.9205202068477,17.3474049548263,7.2017833771455,2.22207481920641,2.92724842547693,42.9152184337473,12.5347444820158,13.2590201095908
"ABHD18",9.66983753075511,0.508940474858626,0.545949445207777,0,0,0,14.3879723859724,0,0,7.00054624678605
