"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"H1",0.0770932002039275,0.0448730739485028,0.240325328664718,9.17220100469797e-08,0.0353142987725708,0.0354165552671121,1.18419850311773e-09,0.56697745023696
"L1",3.89145582528933e-06,0.261454988837494,0.264124041138824,2.03352899788096e-07,0.149862620476206,0.0223630049278598,8.04593636327055e-09,0.302191241764955
"H2",0.0499075210990046,0.429147073798473,0.255240326186711,1.84474831662541e-06,0.048409727799689,0.132999467117155,2.13846276443856e-09,0.0842940371121881
"L2",0.00117743393573909,0.0471381079455656,0.149628392657249,1.19028461565202e-06,0.203879142107562,0.0117146974489772,4.75391023146965e-09,0.586461030866381
"H3",0.000576099764020741,0.0692255913277875,0.469665607423278,1.00340085009364e-08,0.0594652735466841,0.251558971704935,1.24991542205569e-07,0.149508321207744
"L3",0.0118803113783356,0.29992771420874,0.1776525717967,1.08626607469096e-07,0.0700570966095952,0.124649580712077,2.26324829295229e-08,0.315832594035462
"H4",0.0147018718002195,0.132958220349436,0.342570437794657,0.0596807567975274,0.164277027238082,0.0309010924738319,4.11818851404579e-09,0.254910589428057
"L4",1.86047104342832e-07,0.0735003791955486,0.159567156011064,0.0169232322671787,0.196109906827294,0.0128675179431629,9.91223153059305e-10,0.541031620717425
"H5",0.00533499898746078,0.309275386377973,0.250352627231166,0.0141182998200194,0.035414651398656,0.15717781176081,1.0337605484843e-09,0.228326223390154
"L5",0.00218183625908937,0.127361414578768,0.0738753220107048,0.0138977313860473,0.167603951397294,0.0545404982823339,1.61151003700186e-09,0.560539244474253
