"ID","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"H1",1.24902882316424,NA,NA,-0.228471123918685,1.02055769924556,3
"L1",0.737071387597722,NA,NA,0.149046536721389,0.886117924319111,3
"H2",1.31354853709509,NA,NA,-0.357475370261353,0.956073166833737,3
"L2",1.40668693527786,NA,NA,-0.162345873094993,1.24434106218287,4
"H3",1.66194179691561,NA,NA,-0.122182210197203,1.5397595867184,5
"L3",1.16039994966062,NA,NA,0.0219281476630965,1.18232809732371,4
"H4",0.787027430503629,NA,NA,-0.161221256141178,0.625806174362451,2
"L4",0.981673286020466,NA,NA,0.0495046624393499,1.03117794845982,3
"H5",0.94345131388581,NA,NA,-0.226885850912991,0.71656546297282,2
"L5",1.2115998459754,NA,NA,0.107882404161192,1.31948225013659,4
