"ID","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"H1",0.129167807627526,0.0985948400794647,0.217325793952563,0.130194525591563,0.0203230499121875,0.527894491280605
"L1",0.105478140965102,0.0922844775887127,0.239468348101092,0.132315326222869,0.0429430190050134,0.491333127392889
"H2",0.0973802917938915,0.117792230016465,0.196176421955328,0.135545857840331,0.0929645158423289,0.487735503483313
"L2",0.078394949359917,0.122449305737494,0.248650052696415,0.137541798683133,0.0511497660798338,0.504986026642338
"H3",0.100982048817601,0.115689571840321,0.225967633887447,0.128551449260735,0.0699884992320616,0.482924401417799
"L3",0.101267007776734,0.11600859628509,0.221240480748041,0.120954302399245,0.0534487546735132,0.46844435049881
"H4",0.12316153221129,0.105111805819855,0.216009344370354,0.123023789124829,0.0634771697060241,0.453946286496975
"L4",0.103844668344366,0.0953336848202144,0.238855525225474,0.134817689240357,0.0309111367971507,0.483694844417866
"H5",0.0625542040346097,0.136163938583554,0.210432541769246,0.130133679649789,0.107736767484536,0.5409854639975
"L5",0.132213540093405,0.0983600166844107,0.236586742752587,0.118117515415708,0.0506616376399915,0.482319227485905
