gene	log2FoldChange	pvalue
CROCC	0.255444024	0.283762906
POLR3E	0.585911508	0.160359766
ATP2B4	0.43384382	0.28195142
ZC3H11A	0.114483833	0.803320882
RIOK2	0.717386068	0.019555019
UNKL	0.434506174	0.185014813
ALDH18A1	0.129127857	0.730549745
TARBP1	0.193991179	0.629988897
MXD1	0.364931455	0.53265666
CDK17	0.613843451	0.177153929
DNAJC25	0.387466698	0.250384241
SLC2A3	0.334941207	0.472641288
CTDP1	0.49709453	0.260660509
STYK1	0.197518012	0.635645434
WNK1	0.271047734	0.335718997
CCAR1	0.504304138	0.071334877
CREB3L3	0.082850127	0.901373916
PIGV	0.131414068	0.599148075
PTPRU	0.971975357	0.233403328
SNRNP40	0.067952112	0.783817234
QSER1	0.100794341	0.768362717
MPC1	0.081795666	0.791052338
PRDM6	0.194153392	0.795003032
WNT8A	0	1
GUCY1B1	0.05728041	0.917259824
SFSWAP	0.31813922	0.197145774
TNK2	0.209230784	0.635454646
MON2	0.276581764	0.314087602
CDH3	2.094167526	0.007203536
ARSF	0.680448322	0.786565412
GPBP1	0.1624936	0.636615426
DGAT2	0.823516639	0.221544331
ZNF112	0.322035799	0.622135032
LTK	1.300732687	0.011996513
WAPL	0.266367656	0.305555358
APPBP2	0.135515157	0.604719903
SEZ6	0.679595638	2.27E-01
EIF4B	0.381315142	9.93E-02
SLC6A16	0.860830069	0.10203763
BICRA	0.139063915	0.543331617
CA11	0.431921985	0.271233681
GSC2	0.522354804	0.745293771
MTMR1	0.58005026	0.118415899
RNF4	0.190093451	0.376075889
CASP8	0.753737857	0.077027671
INTS13	0.018797922	9.54E-01
TSPAN32	0.712729693	1.01E-01
DMRT3	0	1
ST3GAL6	0.151470791	0.800942882
ATP2C2	1.04020479	0.19106217
NGFR	0.356972477	0.587105925
TAF2	0.111667506	0.66399295
HIPK2	0.240092807	0.271947675
BORCS8-MEF2B	2.043804734	0.511229769
LPAR2	0.441718105	0.429301817
SUGP2	0.073008899	6.49E-01
EYA2	0.063599164	0.926395541
CNN2	0.286601237	0.439920255
ABCA7	0.27803515	0.506377494
DDX20	0.740557449	0.020576178
BTBD1	0.118440846	0.588737298
POU1F1	0.135285682	0.943702672
CHI3L2	0.815146871	0.051103173
PMS1	0.044271743	0.891744109
GNAI3	0.066022311	8.25E-01
OAT	0.212859968	0.404929739
WDR3	0.050024435	0.845088933
PKN2	0.555574076	0.108446772
DGKA	0.826821373	0.065764272
ROPN1	0	1
ANKRD44	0.757068967	0.122775322
TBC1D22B	0.094448709	0.676731759
NDUFB4	0.271579617	0.443051865
SPEN	0.300825157	0.150840698
ZC3H15	0.084178717	0.779273923
MAP2K4	0.295123631	0.1745489
SNAP91	3.093560476	0.165498062
SLK	0.191200525	0.625328256
CYB5R4	0.522803379	0.305819879
COL17A1	0.316474714	0.488817742
GSTO2	0.152279931	0.756238857
SEC61A2	0.842221372	0.058214406
PRKCQ	1.316216522	0.051032139
TLE2	1.025308653	0.062925151
ASB1	0.168816426	0.432386332
CDK13	0.363245225	0.070356502
SLC9A7	0.182860096	0.579053855
FOXJ2	0.240045158	0.300602219
PDE4A	0.174287629	0.775062986
PPP2R5A	0.593218029	0.021310052
CTNNA2	1.079970244	0.419906416
SMARCD1	0.089113347	0.605926883
NFYC	0.091701177	0.739918378
POLR1H	0.308529559	0.397270658
MPPED2	1.235275152	0.081699269
CLDN18	0.632559591	0.466710991
ZBTB11	0.652480879	0.08443172
ATXN3	0.223170711	0.312814631
GOLGA5	0.228054931	0.516303489
FGFR2	1.217168531	0.174764183
LRRC40	0.113098437	0.793608014
ISOC1	0.060954041	0.864943914
TRMT11	0.177009433	0.556411324
THUMPD1	0.541528753	0.087086823
ATG2B	0.058531911	0.841807444
ARFGEF1	0.260244458	0.389723765
ACSM2B	0	1
ZFAT	0.021258261	0.946399371
MTFR1	0.006409202	0.98216277
STAG3	0.586035107	0.222354316
DDX3Y	0	1
SP100	0.587504966	0.18660219
NEO1	0.183803463	0.564952991
TRAM1	0.147754705	0.546982974
PHKA1	0.028705376	0.933246685
CACNB1	0.567987401	0.017052391
DHX29	0.066095126	0.831526547
DNTTIP2	0.265839748	0.462437713
METTL22	0.52757147	0.220508437
TP53BP1	0.028672718	0.859180234
RRP15	0.161796738	0.673132633
DHX8	0.209302445	0.453615042
PRKCZ	0.532068727	0.104358451
ZFY	0	1
PDZD4	1.61895956	0.021312059
ATP2B3	0.638606548	0.614571811
ROCK1	0.312821193	0.481181602
PDK3	0.023040749	9.09E-01
RASSF1	1.138793854	0.005680453
FGFR3	0.542574809	0.581963938
HEATR6	0.17195647	0.398828539
MEF2A	0.01405613	0.960344103
