gene	log2FoldChange	pvalue
ZNF831	1.253886984	0.055292753
EDN3	0.690386974	0.791367222
PEDS1-UBE2V1	0	1
RAB22A	0.10286813	0.650052896
CDH26	0.659557751	0.387367588
MOCS3	0.227329329	4.58E-01
STX16	0.163326294	0.408253763
RNF114	0.00371559	0.989836338
DDX27	0.350228182	0.263951593
C20orf85	0	1
BCAS4	0.500843203	0.1869753
KCNK15	0.22969838	0.628874829
TP53TG5	0.654400535	0.097588384
ZBP1	1.274867	0.095695226
MAGEA10	0	1
MTRR	0.157509286	0.393838879
FASTKD3	0.336591704	0.216903932
IL9R	0.742283134	0.765467838
XG	0.075397608	0.91834552
STAMBP	0.131197815	0.606906247
MCEE	0.070110793	0.862705005
SNRNP27	0.256368414	0.343302455
MPHOSPH10	0.442883029	0.145677608
IL17C	0.360951047	0.606244411
ATP8A1	0.942600692	0.042278159
POF1B	0.530243473	0.767552076
HIF3A	0.958249281	0.202822509
ZNF576	0.333924538	0.28154833
ZNF45	0.45223068	0.067154912
LYPD3	0.18696991	6.60E-01
PSG8	0.341599079	0.683866362
CEACAM8	2.248366005	0.005383376
NDP	0.970781252	0.152717726
USP9X	0.049463407	0.858355337
GRM4	0	1
TRERF1	0.553628376	0.121780056
SIRT5	0.08882399	0.752259229
SLC17A1	0	1
OARD1	0.460776016	0.090815218
UNC5CL	0.54074487	0.436654371
AARS2	0.054719175	0.828560931
H1-1	0.07793011	0.940907885
ZNF391	0.240699041	0.686050384
RPS10	0.448520611	0.260743532
H2BC11	0.250984534	6.07E-01
OR2B6	0.495355393	0.875464745
TBCC	0.710316171	0.02917399
MAD2L1BP	0.074903792	0.798737954
APOBEC2	0.105762844	0.873530083
GNMT	0.228245627	0.680387182
DNAH8	0.88053096	0.495739943
TREM1	0.690691947	0.305085383
KLHL31	2.403040559	0.102492616
COL21A1	0.002857591	0.997001766
SOX4	0.752061149	1.86E-01
CPNE5	0.386989229	0.424834647
KCNK17	0.492058538	0.787421289
RIOK1	0.327608697	0.369027065
NRN1	0.401358457	0.708622371
SLC35B3	0.171083714	0.589137397
ATXN1	0.237051159	0.452241418
NUP153	0.227262691	0.467854795
DEK	0.037769667	0.917747642
CRISP1	0	1
RUNX2	0.471854173	0.23856378
OPN5	0.495355393	0.875464745
GCM2	1.545942178	0.616315806
LRRFIP1	0.205775361	0.537436831
TRIM51	0	1
MYRF	0.067317218	0.894084565
SCGB1D2	0	1
SCGB2A1	0	1
EMC3	0.002619111	0.990440137
WNT1	0.892184592	0.040604349
BBS2	0.006220942	0.980798295
C16orf70	0.045759897	0.889340997
GPR18	0.830881331	0.224952568
TMTC4	0.237460879	0.466550317
SLC10A2	0	1
SOX21	0	1
KIF25	0.213094247	0.850954347
IRF1	0.116155874	0.824261555
UPF3B	0.425015764	0.332909191
RNF113A	0.698528576	0.063135139
SEPTIN6	0.415427171	0.105084573
TMEM255A	1.521791043	0.012966948
DMAC2L	0.003405278	0.990314725
PTGER2	0.123511869	0.761053379
FAM193A	0.003231593	0.984204299
SOX9	0.432351969	0.501621452
MYH2	0	1
HS3ST3B1	0.393218581	3.42E-01
GGA3	0.184329628	0.50104328
NT5C	0.358335161	0.499848719
MSTO1	0.305681752	0.257510404
TTF1	0.705636366	0.010777685
GTF3C4	0.075716909	0.732408367
DDX31	0.246599901	0.207954977
KIR2DL1	1.457491675	0.344907447
OPRL1	0.028739689	0.967932434
NPBWR2	2.127330519	0.493464846
PPDPF	0.07273472	0.832247195
PLGLB2	1.636859049	0.115749793
INSIG2	0.389600588	0.274871848
POLR1B	0.351111245	0.067214746
CCDC93	0.549534796	0.24260757
PSD4	0.047002566	0.915603983
THOC2	0.027661843	9.44E-01
MED1	0.559831128	0.013199764
RPL23	0.283008524	0.272871197
CD70	0.730514644	0.518223236
SH2D3A	0.541268853	0.433675328
TNFSF14	0.107929014	0.889312349
SNRPD2	0.078481934	0.743015435
GPCPD1	0.619662499	0.241574802
PANK2	0.041072541	0.897108641
GNRH2	0.267168284	0.635855345
DEFB126	0	1
FOXA2	0	1
GZF1	0.413951429	0.337852058
PAX1	0	1
NAPB	0.594484859	0.015429817
CST8	0	1
NKX2-2	0	1
CSTL1	0.495355393	0.875464745
TMX4	0.163525874	0.585138417
CST11	0	1
STK35	0.118249582	0.565034909
AP5S1	0.038289886	0.881886726
OVOL2	0.426115407	0.833041173
PCSK2	0.005303093	0.998468713
BFSP1	1.733228253	0.11431223
LAMP5	0.776732521	0.164477936
SNRPB2	0.11252367	0.636063773
TBC1D20	0.096616795	0.616356775
TCF15	1.071924042	0.734502592
OTOR	1.020967934	0.696848437
BANF2	1.073133602	0.734212551
TMEM74B	0.105111986	0.941308696
SIRPD	0.55315559	0.784097003
DEFB129	0	1
S1PR4	0.836905492	0.14492668
HNRNPR	0.240857039	2.27E-01
ZNF436	0.810831125	0.00475856
MAX	0.269554467	0.408735534
CHURC1-FNTB	0.495355393	0.875464745
ARMCX5	0.535129367	0.053442242
GDF5	0.806981246	0.699844244
MMP24	0.496346326	0.316589581
RALY	0.006912032	0.980466531
C20orf173	0.526343032	0.7980304
CEP250	0.062077692	0.832789876
PLAGL2	0.058219994	8.42E-01
GRPR	1.083343972	0.600383364
AMOT	1.358406984	0.000920013
ST3GAL3	0.093643463	0.758109531
TMEM53	0.007736058	0.98242947
KLC1	0.255409278	0.276199508
XRCC3	0.118392907	0.704551734
TUBGCP3	0.183882582	0.536158145
MCF2L	1.277841125	0.008831753
F10	0.717180177	0.376256499
PROZ	1.482083446	0.308105157
SLURP1	0	1
IGFLR1	0.220772907	0.746648402
PDCD2L	0.475235093	0.299795374
UBA2	0.140195458	0.43409079
FFAR1	1.383179353	0.034487085
KRT36	0.495355393	0.875464745
CCR7	0.49812763	0.482492498
PRRG2	0.70672033	0.343671291
SBDS	0.435201953	0.133980985
HTN1	0	1
WNK4	1.319306815	0.07510299
BECN1	0.053397914	0.830085001
NSRP1	0.330055676	0.306224488
AHDC1	0.255976289	0.297942453
DACH2	0.031945271	0.967717765
ZNF384	0.217702642	0.213749075
SSX1	0	1
UXT	0.16988137	0.483766538
PCNX4	0.087896931	0.752487436
ATG14	0.572646244	0.066510537
KTN1	0.160420181	7.25E-01
SIX1	0	1
HSPA2	0.20091444	0.527403509
ZBTB1	0.668194638	0.143252024
TRMT5	0.182458407	0.642200627
PLEKHG3	0.866411603	0.070361904
PZP	1.22856888	0.028975026
PRDM7	0.494868273	0.867121782
EVI2A	0.661653241	0.23466501
AIF1L	0.165392347	0.817353681
FAM78A	0.412725437	0.35425088
NUP214	0.214988764	0.301082421
CTAG2	0	1
AVPR2	0.750723714	0.26876551
HNRNPH2	0.031173586	0.906203392
TMEM35A	0.276716696	0.74742685
TIMM8A	0.378465112	0.144422079
ZC4H2	0.417238048	0.29044394
RGS13	0.316659815	0.728855218
ZNF484	0.828187773	0.037556876
FGD3	0.915873956	0.123389191
PPCS	0.203163536	0.471301466
EDN2	0.51524007	0.365056342
BCL11B	1.42390289	0.046079517
TRAF2	0.179344984	0.600917794
MASP1	0.771350938	0.431885198
ATP13A4	0.642705351	0.448454789
HELB	0.202845052	0.62581975
RAP1B	0.104224233	6.67E-01
RAB3IP	0.020669634	0.954936734
PTPRB	0.164595972	0.808518215
DYRK2	0.304700663	0.322736197
YEATS4	0.188023717	0.696838622
TAS2R4	0.513351784	0.594372875
CRYGN	0.276974143	0.780229448
TRPV5	0.422839428	0.698232182
UBR4	0.062234098	0.8524372
HP1BP3	0.165120093	0.326299002
ADGRE2	0.284484622	0.632008648
OR7A10	0	1
EPS15L1	0.362109517	0.369813462
KLF2	0.501751257	2.82E-01
OR7C2	0	1
OR7C1	1.197116042	0.199594677
UQCR11	0.079449349	0.820506795
SYNGR3	0.269631796	0.612008498
WFIKKN1	0.071213438	0.88254694
FBXL16	1.062506151	0.057636345
GNG13	0.004705139	0.998666726
MACF1	0.011044883	0.956535335
OR1E2	0	1
METTL16	0.3198778	0.146422299
TUBA4A	1.490654568	0.019994726
RNF6	0.441383433	1.99E-01
SEM1	0.002780674	9.93E-01
GNGT1	2.440674733	0.411681217
PTPN12	0.376728138	0.320939131
FGL2	0.22430358	0.716880466
STEAP4	0.952787857	0.115633059
PEX1	0.213748878	3.14E-01
MTERF1	0.686268049	4.02E-02
SGCE	0.186077445	0.715539304
RBM48	0.886052149	0.012489643
CASD1	0.309755963	0.32017891
ZNF780B	0.189494204	0.616421197
LRFN1	0.485696942	0.290967426
SPINK2	1.614327899	2.59E-01
RASL11B	0.618434862	0.539421365
TUBGCP6	0.058249323	0.792771145
ADM2	1.226694621	0.016819222
DGCR8	0.140140602	0.550351697
VPREB3	0.530351263	0.339003856
GAL3ST1	1.188823992	0.484914797
RFPL1	0	1
ATF4	0.098941187	0.699693787
RFPL3	0	1
APOL3	0.433073028	0.458572154
RAC2	0.62282599	0.287015657
APOBEC3A	0.775309042	0.235105612
RNF112	0.539878394	0.378768724
SPECC1	0.036688154	0.88181342
LSM8	0.228724676	0.534284152
CDHR3	0.689600678	0.137881689
PRKRIP1	0.482393288	0.070238002
VGF	0.133968856	0.783788729
FOXP2	0.321832406	0.70257859
MKLN1	0.044771082	0.887212563
DNAJB9	0.071192498	0.833350095
FLNC	0.474263418	0.176182774
CCDC136	0.777763018	0.07798872
LRRC17	1.363280349	0.038859745
NDUFA5	0.343593361	0.321194161
OPN1SW	0.412796933	0.537849919
HOXD3	1.580511391	0.578040386
MTX2	0.043999973	0.897128905
GAD1	4.200225194	0.015623209
ORMDL1	0.456858375	0.139559429
HOXD11	2.092184807	0.418858143
HOXD13	0	1
SNRPN	0.263742876	0.50863269
PSMG2	0.047209589	0.815151035
CGNL1	0.388705245	0.552598038
TMOD2	0.730261011	0.217717953
TTBK2	0.103261429	0.596429814
ELL3	0.073188334	0.934615899
INO80	0.22702002	0.302093592
ICE2	0.057174052	0.84095188
ALDH1A2	0.408314069	0.36628395
MINDY2	0.357242971	0.316471606
KNSTRN	0.045503846	0.913745876
CHAC1	0.787301145	2.54E-01
ARPP19	0.192076267	0.454287678
VPS13C	0.284151889	0.506048785
LOXL1	1.312288896	0.187697949
ACKR4	0.175801603	0.762514891
MBD4	0.265451049	0.352883701
PSMA1	0.101160367	0.700065476
SPCS3	0.065633865	0.832376128
BBOX1	0	1
MYOD1	0	1
KCNC1	0.214683409	0.733647023
E2F8	0.070949338	0.932228606
RPAIN	0.458580902	1.16E-01
AIPL1	2.202263328	0.476033513
CD68	0.292526115	0.785076591
PHF20L1	0.901345299	1
LRRC6	1.362801234	0.044156678
CCNT1	0.483371772	0.172850992
PUS7L	0.622667325	2.00E-01
ILF3	0.044360179	0.79469139
SLC44A2	0.612655174	0.126162775
CDKN2D	0.431985964	0.335818471
MTUS1	0.721950256	0.168643494
KLK14	1.001132805	0.604177001
NGDN	0.290806241	0.256033673
RIPK3	0.258796634	0.655955524
ADCY4	0.545442734	0.303147257
RAB2B	0.031433456	0.907788825
AJUBA	0.023590878	0.9561563
PARP2	0.112069787	0.689979965
EAPP	0.443880848	0.080779746
MIS18BP1	0.929258726	0.042865006
NRL	0.031763449	0.93834198
EPB41L4A	0.12136954	0.744476988
QRICH2	0.081538224	0.841326049
SEC14L1	0.207821832	0.451524873
AANAT	0.218137009	0.769857535
ARHGEF6	0.189499315	3.39E-01
TTI2	0.181174758	0.512179358
CHRNA10	0.391241349	0.428561257
CDKN1C	0.214434928	0.52336342
SGO1	0.258222282	0.726842893
RPS4Y1	0	1
VCY1B	0	1
VCY	0	1
CDY2B	0	1
MAU2	0.243886258	0.409039013
PLPPR3	0.481406751	0.369072042
INS-IGF2	0	1
ABHD17A	0.511715825	0.14445233
LBP	0.232735035	0.834879089
TNNI3	0.521248765	0.581286735
PRRG3	0	1
GALNT8	0.786748613	0.51101824
KCNA5	0.717443022	0.5661318
CRACR2A	0.268546876	0.248015619
FAM155B	1.071924042	0.734502592
GDPD2	2.025344333	0.246527799
TSPAN16	2.381612739	0.00869162
FAM98C	0.283816733	0.377890756
SAFB2	0.31273432	0.193330395
RPL36	0.197746309	0.487890738
GDF1	0	1
NCAN	0.954166403	0.655493781
KIF1A	0.160312613	0.835206644
USHBP1	0.046472957	0.960329329
LSM7	0.03464821	0.899260845
SNX9	0.057904981	0.896700562
QRSL1	0.056002235	0.792694499
RSPH3	0.070029606	0.836223549
ACSBG2	0.914964062	0.489546195
FUT5	0.028796274	0.983302964
BMP15	0	1
AFDN	0.282315203	0.220310248
ACTN4	0.000504974	0.998523711
STK33	0.262169617	0.628540219
CACNG6	1.911385714	0.121551522
ZSWIM6	0.219760934	0.611235295
FCHO1	0.4561932	0.385439379
KLHDC7B	0.84978519	0.086328046
PXDN	0.234519441	0.632539678
IQCN	0.059689876	0.816970221
OR11H1	0	1
SULT4A1	2.625120452	0.037262037
ZNF557	0.304476133	0.206614071
SAMD10	0.227904638	0.626530075
LSP1	0.257937722	0.679242511
TNNT3	0.470302516	0.564877782
TNNI2	0.406184353	0.496363666
CALY	2.332785446	0.326901892
PNPLA7	0.308607605	0.218437088
MNX1	0.495355393	0.875464745
ZNF337	0.002088749	0.994387487
CEP85	0.256707991	0.210938499
TAF4	0.358140948	0.186798272
GATA5	0.494870239	0.865962761
OSBPL2	0.603565863	0.145259481
ASS1	0.013438563	0.976501874
PRDM12	1.601950321	0.610044149
EXOSC2	0.191627574	0.322643509
EIF2S3	0.412681648	0.074467433
NPAS1	0.025276072	0.960498415
GMFG	0.154174498	0.812301379
ARHGEF16	1.21555622	0.157374897
SESN2	0.098549371	0.829081383
THEMIS2	0.286011504	0.640384499
CLIP1	0.096243518	0.685253816
CCDC62	0.53438393	0.476076168
HIP1R	1.008434069	0.048865019
ZNF317	0.549368306	0.052143572
EIF3G	0.021166613	0.944693047
SHFL	0.376326544	0.332363892
ZNF426	0.109595052	0.525646986
DUSP9	0.419128308	0.563647592
ZNF331	0.503430165	0.332858869
ZNF236	0.289478848	0.205651518
SLC7A10	1.782751833	0.568689414
C12orf65	0.597792652	0.089141276
NOL11	0.485620335	0.043122372
UBE4B	0.020013595	0.899240688
CASZ1	0.554905647	0.179972509
PKDREJ	0.685499829	0.348638828
HSD17B3	1.073133602	0.734212551
NUTM2F	3.159332928	0.075805825
HABP4	0.17611378	0.460605901
POLN	0.652737017	0.40223338
PPIL4	0.461710928	0.136876348
AKAP12	0.681386851	0.147575743
SYNE1	0.837423549	0.073812209
ULBP3	0.583477119	0.248794873
LATS1	0.487845483	0.036406168
LILRB2	0.019495536	0.977187544
BPIFA2	0	1
RBM39	0.287728952	0.363366844
BPIFA3	0	1.00E+00
DEFB118	0	1
EDA2R	0.309684298	0.601249984
ARHGEF9	0.371830481	0.084879588
C1QL1	0.05360968	0.985778041
PYY	0.497159086	0.815067995
HIGD1B	0.359965099	0.620927773
ZNF227	0.744033014	0.009444338
ZNF141	0.721650913	0.026350621
CCL25	0.924815175	0.737668072
GSE1	0.00611223	0.987345727
SH3BGRL	0.207316135	0.569195814
COX7B	0.142354049	0.606283354
SLC34A1	0.789234454	0.750473503
PRR7	0.199200382	0.585568662
NFATC1	0.011109208	0.981694363
GJA9	1.408060143	0.478851126
RAB11FIP4	1.172391399	0.025344549
RLIM	0.266863182	0.465713573
CDX4	0	1
TRAF3	0.101600416	0.796661527
ADGRE3	0.668704304	0.361717026
HACL1	0.022946303	0.914607988
CAPN7	0.36722109	0.201367622
RFTN1	0.530915042	0.329216709
C3orf20	0.247846538	0.668693852
RBSN	0.071140742	0.792353213
NAPSA	0.419165088	0.63859325
LRRC4B	0.295778351	0.729299394
PDLIM4	0.182339892	0.604763918
KIF3A	0.437212654	2.37E-01
GFPT2	0.011357793	0.976736573
RPL27	0.418857687	0.159950023
PSMC3IP	0.728958758	0.115120575
AOC2	0.225852124	0.473592194
ANKHD1	0.86198585	0.135831943
DIAPH1	0.300825904	0.528884059
UBE2D2	0.092565539	0.648627336
ANO1	0.006834398	0.998272917
TMEM204	1.28486012	0.002071274
CA6	1.484694272	0.020288777
MAP1B	0.0429596	0.937402704
CKMT2	0.539921458	0.213535627
ZCCHC9	0.162917092	0.513089774
KRT34	0	1
KRT33B	0	1
TNS4	0.708416684	0.316540532
RARA	0.286177397	0.583546813
PPP1R1B	1.173765299	0.046706508
PIAS3	0.155334078	0.440989174
PRKAB2	0.341742797	0.251799377
FSHB	0	1
RAI2	0.001389175	0.998492539
ZNF304	0.331031626	0.095309146
ZNF132	0.163831726	0.733076162
USP29	0	1
CHSY1	0.042849364	0.878502939
SNRPA1	0.342278337	0.259455827
LIN28A	0.508270523	0.803707976
THAP1	0.714390485	0.048106702
C19orf12	0.102815825	0.69557334
LRRC9	0.077683054	0.962297777
ABHD12B	0.594349547	0.401570322
DNAJB1	0.302425415	0.265184386
RFX1	0.030268655	0.872177005
ZNF20	0.112379123	0.862194155
DCAF15	0.389760138	0.22513424
RTBDN	0.495355393	0.875464745
CCT6B	0.014568808	0.976900684
RAF1	0.177346357	0.409211487
SLC6A11	0	1
PPARG	0.127278673	0.671894103
NUP210	0.482966266	0.328437668
FCRLA	1.107629755	0.139145236
ENOSF1	0.105735614	0.706209211
SLX1A	0.495355393	0.875464745
TRIM22	0.090500452	0.867501406
RRP8	0.339832097	0.186643873
TIMM10B	0.178034396	0.46365167
HHLA1	0	1
PTCD3	0.457930647	0.062869383
MRPL35	0.02128984	0.949466092
ILKAP	0.168413173	5.07E-01
PER2	0.12273226	0.696290503
SCLY	0.487105148	0.302024309
PTPRE	0.370228205	0.531441343
PRKAA1	0.224012842	0.506468798
RAP1GAP2	0.803004862	1.18E-01
INPP5K	0.333878211	0.284977647
SERPINF1	0.010699564	1
UBE2G1	0.330761845	0.146253829
EEFSEC	0.000549205	0.998760106
TMEM128	0.020459123	0.943644534
COQ3	0.038736684	0.908885843
PNISR	0.710240915	0.057607376
FIGNL1	0.567891593	0.09520421
DDC	1.124857723	0.664744566
FTHL17	0	1
ENAM	0.968667241	0.62657327
JCHAIN	2.325256571	0.00088936
ANKRD17	0.210752931	0.152240421
H3-3B	0.213889896	0.479104159
UNK	0.03818396	0.859277997
ZRANB2	0.193610927	0.605836312
GPS2	0.198662598	0.569411103
XAF1	0.019917987	0.971700617
VPS13B	0.477911783	0.188223078
RGS22	0.827787435	0.343585628
MATN2	0.235231607	0.641090432
REEP2	0.614463039	0.214284639
FLOT2	0.101130313	0.825754025
PRMT7	0.115894244	0.617678693
NIP7	0.140644401	0.52068672
TERF2	0.317573476	0.149608463
HSPA12B	1.679156043	0.062616614
ANKEF1	0.370018422	0.315524276
SCP2D1	0	1
NXT1	0.270974263	0.401563679
POLR3F	0.660190505	0.087066159
PTPRA	0.137539602	0.542129908
SSTR4	1.125041417	0.666142416
DAP3	0.077416507	0.714683131
KHDC4	0.402533154	0.026669722
CRP	0	1
RAB25	0.110959386	9.41E-01
APCS	0	1
FCRL2	1.6892484	0.0513962
DCAF8	0.083244526	0.733591343
SYT11	0.254628523	0.356662721
ACY3	0.199970039	0.885902148
ALDH3B2	0.824881648	0.69912764
TESMIN	0.394633272	0.376010934
TOE1	0.677975934	0.080400679
NASP	0.265040979	0.320883464
MUTYH	0.725405977	0.20910205
ZSWIM3	0.589834996	0.233435528
RBM38	1.103657771	0.046032346
VSTM2L	1.302899983	0.056101876
OSER1	0.641457365	0.157009958
PPP1R3D	0.705600875	0.052791101
DMGDH	0.2825523	0.586556558
AP3B1	0.025275124	0.929037913
PATJ	0.922336681	0.025975119
KANK4	1.804083559	0.386763161
ANGPTL3	0.363103605	0.663785835
SLC14A2	1.375575728	0.198960688
FBXO44	0.213854803	0.568005921
NMUR2	0	1
DCTN4	0.029675014	0.886821845
ATP8A2	0.267638678	0.548613747
ZMYM5	0.348619604	0.258035027
USPL1	0.743309509	0.039337368
XPO4	0.151873193	0.56818828
TPTE2	0.679676177	0.790454145
ALOX5AP	0.587082366	0.404207878
GPR12	0.495355393	0.875464745
MYH8	0	1
MYH10	0.179378744	0.423833662
MPRIP	0.394442971	0.031903042
CHI3L1	1.093797214	0.257897209
DSTYK	0.135788809	0.501519538
CHIT1	1.689240015	0.064989019
SLC41A1	0.155028897	0.73964543
LGR6	1.475059101	0.038597024
DCLK1	1.029919771	0.082679557
CCNA1	0.350191413	0.537240712
RXFP2	0.528315666	0.70109112
RFXAP	0.47879185	0.21122378
TPT1	0.454748069	0.089729213
GPALPP1	0.08234356	0.764476151
STOML3	0	1
KL	0.030910721	0.952787296
MORC4	0.270995941	0.370178768
RNF128	0.680817878	0.327249396
GNG5P2	1.369890969	0.48310415
TCEAL4	0.128362451	0.812132682
BEX1	0.009693453	0.988821257
SRRM1	0.425691284	0.0712385
KMT5C	0.042044571	0.906809887
CSNK1G2	0.169119989	4.76E-01
SLF1	0.49836119	0.257175711
WDR74	0.531449035	0.14860485
PLAAT4	0.240355964	0.660030937
PLAAT2	0.487244454	0.513760102
MYH11	1.095176282	0.006483755
CEP20	0.060029191	0.772414346
MED10	0.383572538	0.166701993
PDZD2	0.049023153	0.897289626
C1QTNF6	0.049202529	0.938651812
GGT2	0	1
FAM83F	0.30020563	1
GIMAP4	0.03972328	0.944545318
MKRN1	0.225389999	0.384659467
ACTR3B	0.42625296	0.199523178
BTG1	0.467861394	0.263509552
LRRIQ1	1.071924042	7.35E-01
C12orf29	0.733533312	0.048288105
ATP13A3	0.375933	0.511405097
SFTPD	0.887877849	0.245493169
DYDC2	0.496020871	0.858995289
KRAS	0.125350449	0.667147491
IMPA1	0.209036348	0.392288869
E2F5	0.304962406	0.558202118
CA1	1.397098351	0.309970422
CCDC59	0.433434692	0.256843105
ARNTL	0.681284049	0.111155934
SBF2	0.079696344	0.810172611
TEX15	0.756572274	0.613048489
SARAF	0.456227046	0.170870498
RNF122	0.222267529	0.504939957
DUSP26	1.639743047	0.416344222
DPF2	0.204089857	0.307211339
GSC	1.424629402	0.475617403
UNC79	0.374266209	0.584385432
NUMB	0.523404693	0.189060847
CATSPERB	0.508511525	0.514155458
VRTN	0.495355393	0.875464745
TTC9	0.384834702	0.185767808
MED6	0.58306845	0.058519683
ADAM20	1.049260712	4.69E-01
ELP3	0.170705686	0.539829596
PEBP4	1.501510426	0.559588619
MBD2	0.430502165	0.061048509
MRPS36	0.202674961	0.581489856
CDK7	0.28489487	0.251589049
THUMPD3	0.077214913	0.740658535
DPH6	0.002039381	0.995207161
KATNBL1	0.299335414	0.405267822
TRPM1	1.071924042	0.734502592
GNAT2	0.091575461	0.775394927
PRPF38B	0.479688236	0.202356674
REG4	0.208990456	0.902108862
TSPAN2	1.021468578	0.075462639
TSHB	0.495355393	0.875464745
SYT6	0.173383531	0.885127674
VAV3	0.576682394	0.314581018
CHIA	0.495355393	0.875464745
HMGCS2	0.931912211	0.521622556
PTPN22	1.230188972	0.057983599
ADAM30	1.594553189	0.611760573
CD101	0.351554192	0.289456916
VTCN1	1.073133602	0.734212551
AP4B1	0.585903235	0.052937416
NAPG	0.215151513	0.481644021
PPHLN1	0.06210882	0.779691662
SLC38A2	0.004071757	0.990484012
YWHAQ	0.09705642	0.705241327
KIDINS220	0.127748885	0.551125264
IL6ST	0.370682842	0.506356662
CFHR4	0	1
CDC73	0.354195241	0.304654123
CRB1	0.167281983	0.875126081
ERN2	0.64028974	0.796483295
RPS15A	0.369183526	0.136372961
GRP	0	1.00E+00
RELCH	0.250888788	4.09E-01
CCNH	0.840404736	0.080088549
HRH4	0.633808489	0.52143112
SOX5	0.306619926	0.435717089
RERG	0.481521431	0.756974608
SLCO1B1	0	1
KLRD1	1.23936525	0.071205352
KLRC1	1.45933161	0.062983964
SPX	2.0038026	0.248598583
PRH2	0.267726574	0.723086198
MYBPC3	0.461745466	0.423594426
USP26	0	1
RAB33A	0.518105097	0.405405741
SOX3	1.324817703	0.42592423
RBMX2	0.223483634	0.518300396
STK26	1.043475411	0.060378576
MTNR1B	0.265465862	0.851409333
PUM1	0.076469129	0.649615233
SPOCD1	0.125379817	0.765290648
PHC2	0.00411602	0.989147658
GNL2	0.071190532	0.767757263
AGO4	0.546071149	1.43E-01
HOOK1	0.501117721	0.454934728
TUT4	0.660548677	0.108530648
PRPF38A	0.534590045	0.021587529
DSC2	0.080093309	0.782415974
RNF138	0.931233927	0.056607808
ELP2	0.246272512	0.226300936
DSG1	0	1
DSC1	2.620890617	0.006031472
DHX34	0.026220678	0.952555218
TCN1	1.848680149	0.050928686
CLOCK	0.01223236	0.97591602
DZIP1	0.407498936	0.519779441
BIVM	0.318744945	0.418373789
ERCC5	0.836501667	0.086380003
TPP2	0.273175248	0.395139902
ARHGAP32	0.082413925	0.80999131
ADAMTS8	0.011279983	0.991740247
ACRV1	0.706584631	0.575088442
ETS1	1.347636637	0.031475285
KLB	0.675773946	0.215271856
APC	0.34609802	0.349209216
NREP	0.624837438	0.247985229
UBQLN1	0.215717701	0.216883757
NAA35	0.161676975	0.544139847
C9orf40	0.064316641	0.89809666
CEMIP2	0.466581462	0.392470866
AGTPBP1	0.571386744	0.195987101
GOLM1	0.31552426	0.347305251
PSAT1	1.023506042	0.031132304
ISCA1	0.506402718	0.196346549
ADAM19	0.762929839	0.211392499
CCNJL	0.2517031	0.522387621
TAOK3	0.156064444	0.633136569
USP30	0.211378913	0.442120746
MSI1	0.121196219	0.872099394
HNF1A	0.844119749	0.398500581
TBX3	0.013497269	0.977522721
OASL	0.308160216	0.59847704
HRK	1.456195068	0.079733728
BICDL1	0.979188188	0.141783771
DTX1	0.266644257	0.59640745
DMTF1	0.791817907	0.073052
OCM2	0	1
TMEM243	0.700089842	0.147585844
CCDC146	0.530266748	0.220356341
CSN2	0	1
UGT2B28	1.071924042	7.35E-01
PNPLA8	0.198765471	0.721059678
FAM71F1	0.223702829	0.86537748
RINT1	0.455017275	0.088294984
KCP	0.056280419	0.916218547
TES	0.039574596	0.893766394
MDFIC	0.287241302	0.427161678
ADGRB3	0.544298738	0.441144873
HTR1B	0.143918127	0.901267521
KHDC1	0.134935096	0.823699981
CEP162	0.280888928	0.479250469
SYNCRIP	0.234162861	0.412585176
SNX14	0.115918998	0.730659005
NT5E	0.915920191	0.077289724
AKIRIN2	0.412791237	0.305683281
LCA5	0.023592564	0.971261671
MAP3K7	0.078867788	0.763041378
CGA	0	1
PRR5L	0.728336647	1.56E-01
PHF21A	0.268564906	0.214970571
ELF5	3.259173166	0.147998389
AVIL	0.050837445	0.879004133
LACRT	0	1
GLS2	0.312839495	0.696980383
TESPA1	1.181415407	0.141243929
FAM186B	0.036423668	0.966143561
AGAP2	0.87636801	0.153209498
KRT85	0	1
COQ10A	0.546284532	0.16580534
FAIM2	0.380387847	0.815706108
ZC3H10	0.207656715	0.428423036
HNRNPA1	0.161310503	0.301576783
KCNH3	0.199340086	0.701482817
LTV1	0.252168967	0.451359903
CD164	0.005220225	0.983279433
AFG1L	0.057893466	0.826195441
AHI1	0.072816364	0.838011415
HEY2	0.128630129	0.855267607
TAAR5	0	1
NMBR	0	1
MICAL1	0.323145186	0.40928483
REPS1	0.215729696	0.486787536
TEC	0.071626088	8.79E-01
SEMA4F	0.615569712	0.036814263
DYSF	0.240345266	0.729584118
CCDC142	0.246847563	0.339512878
KCNMB4	0.249396828	0.675304691
USP15	0.613921271	0.249199467
BCO1	0	1.00E+00
DYNC1LI2	0.042213412	0.827174332
FBXL8	0.174130028	0.571375112
CCDC102A	0.421956952	0.337262791
SLC9A5	0.492531151	0.280589941
AGT	0.046270452	0.942950793
ZNF670-ZNF695	0.429700862	0.730221163
PCNX2	0.873095924	0.004192714
CAPN9	1.132331454	0.71777855
COG2	0.04170116	0.824312606
TAF5L	0.085304176	0.684337318
STX6	0.165830542	0.363612685
RGS8	1.019327011	0.507267423
DHX9	0.170355022	0.369266706
KIAA1614	0.028240326	0.941897805
CEP350	0.330039551	0.322149568
