"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"E250042049_L01_250204001325020400131AA039B39J16",0.285363014967203,0.298323576396945,0.0241956773584971,0.102400777859122,0,0,0.0256937558785519,0.0666007815825802,0,0,0.0537938197517646,0.0167556074170923,0.0402337015326287,0.0177105881114611,0.0224413544708289,0.0226456562767917,0,0,0.0238416883965338,0,0,0,0,0.527494299599762,0.854292864007458,51.3603283092857,111.9671936,139.019816374,1379.18765247556,17.3335163544444,252.702023435714,15.6554086566667,103.115467045,33.6733615974333,203.71863531,0.145227875336472,0,0,0.879474396722768,0.035939994027047,0.0341684628151433,0,0,0,0,0.0228057618398479,0.0640443209050868,0.0969812912532218,0.00136850431135261,0.0547288102846388,0,0.234062081347019,0.234511012930832,1.44981140781686e-17,0,0.00689113991091552,0,0.00928955047118684,0,7.41380978903034e-18,1.37326729825414e-17,3.43494887632323e-20,1.13125388018004e-18,2.10238861002004e-17,2.05597663667142e-21,2.98246527384971e-19,0.0252742999156658,0.0452657495935304,0.00444975586792406,0.0381245986018308,0,0.00288527830976237,0.256441347631066,0.0805312952907097,0.00642031019987002,0,7.38678197742213e-18,0.054060188006589,0.00923331655800232,0,0.15807880513445,1.29690528311016e-19,0,2.05368035882098e-18,0.0420479059426696,0.067016396667536,0.10958039894386,0,0,2.38706096890629e-18,1.29672045905985e-18,0.137304235888461,0,7.64274765226427e-19,0.249452174354672,0.0115120491232642,0.401441762359902,0.0640394981273616,0,0.671278410763568,0.00344556995545776,0.674723980719025,0.150930927272757,0.00604518070469725,0.11531061482333,0.0346645197360364,0.0343802594769012,0.00871025224912956,0.00335715459343205,0.646601091143716,0.139305001111271,0,0.109868958791691,0.0544217449605425,0.0262368670596938,0.287656353158541,0.710516457455973,0.0413026754976881,0,0.0110895911155027,0.0693117920216476,0,0,0,0,0,0.167779483909189,1.50748145258166,0.858053519483657,-1.00625925917121,-0.606283483345848,0.752992229548264,3
"E250042049_L01_250204001825020400181AA037B39J16",0.636895870792081,0,0,0.0160126298923626,0,0.023175192823254,0.0386490671886932,0.0698046276714704,0,0,0.0811245031417007,0,0,0.0977006390843886,0,0.0101725985184903,0,0.0264648708875594,0,0,0,0,0,0.5186154567054,0.87034396659799,79.5096559164286,45.30180623,120.745332180429,3512.12239952222,3.561730515,406.014598957143,28.1554468766667,252.143858510786,100.687296695533,1351.64325699875,0.136454200284961,5.9546618550185e-20,0,0.980960348266053,4.19908309886008e-18,0.0483208258340052,0,2.54877432030743e-18,0,0,0.0260366996381784,0,0.0247681199028412,0,0.0476315731355598,2.28390410248795e-17,0.232226365586122,0.192056227583028,5.06782797939637e-19,3.34099328095322e-20,0.0111918998368135,0,0.00240808965689646,8.50144222826701e-19,2.45326742434925e-17,0,0,4.57593818721476e-18,0,7.11120669944189e-22,0.000225697944053002,0.0235590919176643,0.0366355772448964,0.00210114746106348,0.0276512810406453,0.00108125450561121,0.00219151864418944,0.272478489882747,0.0445500741647497,6.90932561864379e-18,6.64215529659216e-18,4.9364237219215e-17,0.0816046221945237,0.00529323723353983,0.00142739895066228,0.215007114248728,0,5.72317830288077e-18,0,0.0192912770302287,0.00087596120859764,6.08254190165503e-19,0.0326487568641168,0.0122468838612827,0,2.37869788208119e-17,0.193644404826271,5.18918527452635e-20,0,0.315585537572812,0,0.254004101315984,0.106694868315315,2.90410364464691e-17,0.688113814149575,0.00559594991840676,0.693709764067982,0.428621073664346,0.0281801073327519,0.130664211490302,0.017873725975148,0.0602095216026286,0.00257030974049454,5.62841755717928e-09,0.331881044565912,0.161086740074884,0,0.175193689660649,0.0723488342304795,0.0250142698111096,0.351928875359616,0.789846118591854,0.0233478962341173,0.00666070611933505,0,0.0317223585576658,0.00656331765661174,0,0,0,0.0369209407618775,0.104938662078538,1.17721650960487,0.841563070400964,-0.875626732951234,-0.28076090995064,0.862391937103961,3
"E250042125_L01_250204001025020400101AA046B39J21",0.148533684163004,0.392752489336534,0,0,0,0.0752613569067907,0.0160628048626562,0.0220404802006066,0.00743961030256231,0,0.105457713714194,0,0,0.172054891525678,0,0.0181467169829983,0,0.0403308062127955,0,0.00191944579217953,0,0,0.003,0.441861293303558,0.90457065854612,42.7603735753571,7.229347449,38.5110176814286,1710.121553,2.60896633666667,276.465904931429,8.92854206,146.169338845,36.2465747795333,1008.55567515913,0.0646669463335535,1.35661219829122e-18,0,0.89356347332295,1.82334952745875e-17,0.0550352220238408,0,0,0.0036865987478076,0,0.0160542320796699,3.52367429411384e-19,0.0334797664913406,4.90566819231636e-19,0.0479333589454931,0,0.215814159674017,0.226521280943503,0,0.0127650425907693,0,6.99004198542466e-18,0.00622395581733166,2.55691301705739e-19,0,5.78139735484936e-17,0,0,0.310367337832216,0.000596570825040851,1.56281465910914e-19,0.0525708198755908,0.0321839985150535,0.0126152229426677,0.0182095646861615,0,0.00862927263556409,0.258786554477094,0.0342518418598543,0,0,2.6987356768591e-18,0.123814755822875,1.37696852543239e-20,0.0059889127365838,0.131618678460542,1.74397338305026e-20,0,4.3708039411892e-18,0,0.00127915154630062,0.00186563786205722,0.0490725684563134,0.0271259874731101,0,0.0151552427942276,0.0953538246246069,1.0104407547552e-20,0,0.422163000228995,0.0169396164393609,0.21121626356321,0.0786300721621409,0.023585961537135,0.651405933650315,6.78306099145609e-19,0.651405933650315,0.341893124720433,0.0341161769947687,0.10103521015737,0.0121499549197247,0.0257161813629723,0.0027462417393848,2.99958389465314e-09,0.482343107105763,0.134023668507703,0,0.0887292931700977,0.036693938155946,0.0546164305350008,0.250149217817744,0.319704291160219,0.0194578512656621,0,0.00791656091031786,0.0320784363050361,0.00376308589889261,0,0,0.012639486583448,0.0629418142857676,0.541498473590657,1.11567080241281,0.723133704502678,-0.842766842924459,-0.135872731630545,0.860164932360482,3
"E250042125_L01_250204002125020400211AA036B39J21",0.0355312549262331,0.0595122026275355,0.0703977633161341,0.0418689353088809,0,0.115241938134854,0,0.0289326798227048,0,0,0.167850583521239,0.0149072139215829,0.321120380914736,0.0845496537303427,0,0,0,0.0276799908567586,0.0324074029189973,0,0,0,0.637,0.00349554525558829,1.08913986035224,29.3292754842857,12.08739043,33.0016125,29.4816999494444,6.70184116011111,134.931078543571,7.07065816583333,229.430836704286,169.000247938333,3629.9724923125,1.52633766254181e-18,0.117696206086196,0,6.68870232463486e-18,2.69674419838308e-18,5.43818257997099e-18,2.18099976692946e-18,0,0.0128118136670739,1.82908368284535e-18,0,0,4.96652713973549e-18,2.01535652158874e-18,0.0159652221213726,0,1.59280946533786e-17,0,0.00192494395921667,0,0.135810117382241,0.0112782782285498,0.0703890502893207,0.00171402857269441,0.35180331701997,4.32405085279091e-18,0.417651384627923,0.384205008930094,7.96792274116875e-18,0.00175682889563494,0.117874910525586,0.0447686408167955,0.0841471804850301,0.0447941517671572,0,0.00956251290753968,0.00368659602739126,0,0.0345764836452276,0.0331971209865959,0.00587885064605858,1.78995316993211e-19,0.149590446532862,0.051211061160801,0,0,0,0,6.12752946703498e-18,0.0140945403791841,6.70590256979474e-18,0,0.087396003287404,0,0,2.99055068352185e-18,4.09779124966246e-18,3.3881317890172e-21,0.00352127018455213,0.0748853790047739,0,3.69263824428628e-19,0,7.31942201513588e-18,0.0412838464609359,0.302654820244203,0.343938666705139,0.0042213210380685,0.214582515938941,0.0388093650688072,9.86042290760547e-06,0.177502061999844,0.0153195209568393,5.82770103386234e-05,0.549497077564254,0.0774978616566657,0,0.021692796229258,0.00257695959847653,0.124443989116625,0.150386930273584,0.0123832701127731,0.00405191084863621,0.0145214001302304,0,0.103729344389321,0.033527906534817,0,0,0.000713145516458901,0,0.831073022467763,1.0139774094325,0.447563905077715,-0.86411489359175,-0.0501676709892429,0.547258749929218,2
"E250042125_L01_250204002425020400241AA035B39J21",0.0846068581278226,0,0,0,0.228043150282678,0.0426957371017388,0,0,0,0,0.0501177443300015,0.0120979339692706,0.250631860458961,0.171662429049172,0.00136787861193486,0,0,0.0777557210610454,0.0810206870073753,0,0,0,0.975,-0.039445660275893,1.09349012153219,5.67648701357143,5,18.4248378428571,7.74146805288889,0.555555555555556,48.811793911,3.337535535,11.6195097710714,20.7950358575,862.0482913575,0.050425394091953,0.0383601302138151,0.219823209373972,0,0.0197312841751546,0,7.94182485001498e-19,0,0.00145990169698227,0.022303128129369,1.31100731136981e-18,0.0259222356990551,0,1.93186420408832e-17,0.0228315832149931,0.12776329314754,0.0031311314461962,0,0,0.00293915638552462,0.184710393582255,0.076660141455828,0.0318412943418977,1.02860447876948e-19,0.346413130182932,0,0.0108793168164994,0.46455837834054,0.0362652082836606,0.00518249021148113,0.126611645603867,6.12307429278336e-19,0.0153774242012886,0.00152095765758136,0,0.017585144367049,0.00640403526325303,0,0.0238387420862353,0.0672351355206142,0,1.26986071885676e-17,0.0188179408903393,0.0489867688659404,0.215717339861778,3.69232442266608e-19,0.0540558540194434,0,0,0.170107962853814,0,0,0,1.43005368670969e-19,0,0.0215419413233218,0.0117952143123964,0.00536212426061447,0.497432717286199,5.84109361556804e-18,0,2.27302761016795e-19,6.88041041816316e-19,0.0331419810624035,0.0703476890269385,0.284741826989501,0.35508951601644,0.0127425478237118,0.445102357656271,0.0714548106477739,0.0193312414184578,0.201911616629413,0.0076941542676936,7.76322229721071e-08,0.241763193924455,0.0937000940221614,0,0,0,0.0949222457138206,0.109352843864157,0.0419185358307997,0.00157426575178793,0.0275708929409539,0,0.125352178681213,0.0387681792943484,0,0.00286386948054681,0.0226104449264272,0.000247732643487931,0.739093900450435,0.49987155829751,0.341977815006282,-0.644166537361465,-0.0704388438206296,0.127243992121697,0
"E250042125_L01_250204002625020400261AA033B39J21",0.028890218065131,0.119779997242121,0,0.0788165819524334,0,0,0,0,0.123871710772487,0,0.0789255661650039,0,0.290615927205797,0.0625537890944636,0,0,0,0.146580609973391,0,0.0289375780606203,0.0410280214685516,0,0.596,0.00868586583039477,1.07778908795309,5.177608917,2.101282351,16.5894868571429,7.15839526111111,1.56944444444444,30.7503607155714,3.16666666666667,7.70744939814286,7.41391312873333,11.219175894375,1.43619808475449e-18,3.67865600044522e-19,0.0921962562991837,0.084284790905865,0.265860812445753,8.13873869689589e-19,0,0,0,0.0367554424150042,0,0.0123082762683568,1.77266802719587e-18,0,0.0287896648669918,0.0176045343215299,0.166817725534299,0,0.0978962324406527,3.600105593239e-19,0.0232797146507979,0.0338185922905215,0.0503530655854347,0.00910389476420884,0.23172697529499,0.0263386956348529,0.020434649559178,0.564510367267514,0.0276953113282375,0.0225969698916005,0.00272973125703383,0,1.78791319043423e-19,0.0160214490506588,0.0112624033878794,0.0454011506068293,0.0282612704442877,0.0136825685235928,0.0514314010399603,0.141140985086654,0.0313170305494817,2.6907593201643e-18,0.100816647225951,1.1354875335685e-18,0.0791276399035582,0,0.115519182829436,0.0220387028084863,2.61693183248872e-19,0.032165111771833,0,0.0571124463841643,0.148564995135538,0.0147524261066012,0.00618709878369677,0.058397684068013,0.0911023895038816,0.00358447935095283,0.0237916467920381,0,2.85511337052084e-17,0,0.170308475223247,0,0.130019864140394,0.127503344972894,0.257523209113288,0.0773294273023567,0.00832698343354706,0.160543895433219,0.101358872571267,0.0645022872521999,0.00405306808301295,1.8969450054787e-10,0.583885465734704,0.0910165898895189,0,0,0,0.0969870395792727,0.103049146370639,0.194887563307921,0.00487618332183273,0.0342194412130504,0,0.194156919148778,0.0702241711375231,0,0,0.00672247418153468,0,0.49491324768936,0.480104747638657,0.402572816645112,-0.606324246899983,-0.365831598613372,-0.0894782812295863,0
"E250042125_L01_250204002725020400271AA032B39J21",0.548223962324902,0.00590470542876253,0,0,0,0.0276114211079674,0.172475918721476,0.00703068180618642,0,0,0.111797977807598,0,0.0500947045080623,0.0340590795748294,0,0.0107397388864503,0,0.00220666959449035,0.029855140239276,0,0,0,0.004,0.424780038713791,0.923882457909179,14.422115135,12.03085016,28.6630884242857,648.414129233333,0.444444444444444,138.445557640286,4.68432479666667,75.5785362144286,42.3123745704,420.2080612075,0.0883404274426342,2.00499041979909e-19,0,0.798486538008965,1.04872356848406e-18,0.0721004257988275,0,0,8.98323574365576e-18,4.74591571979094e-17,0.0456065003313016,0.00110505304339613,0.0360428907963036,7.25243661635637e-18,0.0593574766116799,5.92637987837108e-18,0.201362898105487,0.489603555952776,0,0,0.0289143692010692,6.96251298960002e-18,0.0234746423350113,4.7665765847272e-19,2.79453951374181e-17,0,0,0.0447948163330612,0.0195684665459141,0.00264957290409398,0.00478989454254329,0.0366487444422746,0.0311772752697219,0.0198890989187809,0.0348952434380532,0.000244127478973271,0.00279225189854358,0.297652873592,0.030129715755511,0,0.00514163992397274,0,0.0708794695123261,0.0232496121108775,4.30445492772003e-20,0.148332635651598,0,2.26572113167375e-19,4.29068954165352e-18,0.037103266768167,0.0200979253355103,0.0529989704238711,0,0.0414668841548258,1.63400334146002e-18,0.102778651135692,0.0991487591449288,0,3.38025338838e-19,0.521548956504246,0.0362901861199919,0.414276870374258,0.0325470048493752,1.86155448324123e-17,0.584184812571108,0.0144571846005346,0.598641997171643,0.202987096625557,0.0211717920565018,0.0416862814606316,0.00631076559145912,0.0626478673254332,0.00755542221510461,4.28194461499364e-08,0.657640731905867,0,0,0.0792998772502122,0.00783933202704598,0,0.284667760550761,0.289469686005995,0.00227178315422992,0.0190841308867071,0,0.00925684865730296,0.00984943292412114,0,0,0,0.0319684991397355,0.638099619231908,1.05108035749313,0.777892813688627,-1.05336012559475,-0.511304071612263,0.26430897397474,1
"E250042428_L01_250204003825020400381AA044B39J41",0.442020223589507,0,0,0.0411272889722607,0,0.0354822807625518,0,0.0820240204821917,0.00323890335354646,0,0.0372787513218907,0.023775105952757,0.059734443648212,0.246155616218323,0.0054987298840891,0.015379043856563,0,0.00478124929779252,0.00350434266031553,0,0,0,0.018,0.231397840589031,1.02279088236288,21.5170740866429,4.957957333,22.17850914,327.165836522222,1.29701920866667,139.198145842857,2.36808171833333,47.2087175562857,34.3685506126333,1335.90309022625,0.166342136091361,0.00419925329169021,1.14547793866923e-18,0.639085174998907,0.00842130716267103,8.13652459201745e-22,0.00523735532386503,0,0.00657796372433875,3.59436560951482e-18,0.00176486434116361,0.019970967385801,0,0,0.0452756910114827,0,0.109767909026851,0.0383756677861486,0,0.00379607142280993,0.030033865268661,0.00554781123380981,0.0196989319850354,0,0.0474951281095042,0,1.26286317990178e-19,0.145151118426096,0.0333956392846007,0.00107555965929234,0.00955788167195989,0.0240999887060138,0.0389982371056269,1.43271503700898e-18,0.0248633057177234,0.00384377732770841,0.00440259015517699,0.0939072755275577,0.0893434347451995,0.00944139855430452,0,0,0.286180832958526,0.0168127522556432,0.00697287813930323,0.180591139755547,9.11122277603288e-05,0,5.27529476982388e-18,0.040570536916927,0.0199170556582059,0,0.0749025477922653,0.00519077451211725,1.18778504839874e-18,0,0.08395650855321,0.000544763133293071,1.26121401067118e-18,0.104151015678309,0.00130759755250856,0.0649266023527601,0.0150164635553972,0,0.47824221297671,0.0408641233349277,0.519106336311638,0.147830472733763,0.141295937840169,0.285617532339221,0.0266645098209137,0.0571486949262603,0.00232417714495097,3.09479542402354e-10,0.339118674885242,0.114951255843009,0,0.00239716436993851,0.00294359760079395,0.0893388642296867,0.157371563368599,0.241047768108075,0.0238098692013913,0.00257058918917714,0,0.0738541653534941,0.0264430456405483,0,0,0.0063295423470942,0.11437435902015,0.51157066114007,0.903788221668625,0.672598482458408,-0.760371807362003,-0.257209711147586,0.558805185617444,2
"E250042428_L01_250204003925020400391AA043B39J43",0.412502776066143,0.30855826351808,0.0479359550571956,0.0157446601291949,0.0208578406430106,0,0,0.00732439403575483,0.0148263190336045,0,0.0400437715420141,0,0.0351453664461305,0.00359036621319111,0,0,0,0.0891464687706453,0.00432381854503525,0,0,0,0,0.659782534652157,0.755471669128616,60.02325401,19.54392522,31.2550567371429,1442.22282183778,3.09829575355556,111.18117442,6.56801934166667,90.6818480485714,59.6749169372667,331.2440607325,0.0798916257473237,0,3.38738743996847e-18,0.689292196782581,0,0.0263810548539478,6.77247051849408e-20,1.92772740327576e-18,0,0,0.0249883767697749,0.0279000968056,0.0238451845681363,0,0.0180394093952823,0,0.200685808672275,0.290125565056937,3.79888035530654e-17,0,0.0374219545071774,0,0.0071081872398054,1.17685402939154e-18,1.90289488611118e-17,1.95992176339739e-17,9.01247721823895e-19,2.51846444683653e-18,9.03929404208461e-18,0,0.00770511906979368,0.0050514866316819,0.0215192601182874,1.34417680583997e-19,0.0173440760972531,0.00159962040801108,0.00223723862210862,0.2173939202354,0.0946411920144904,4.96877392399133e-05,0,3.89431149783044e-18,0.0972597758339588,0.0212515148161402,0.000128292080540523,0.135189859682802,6.66484805126616e-05,2.17574717960535e-19,0,0.0281036800376149,0.048415799062767,0.00250644694896582,0,0,5.05097471066738e-19,0.00683826829765941,0.160480427543508,1.36643692076798e-20,1.66808580619292e-19,0.283156702665905,0.00914700242584235,0.262097225473179,0.129737454677531,0,0.493058570878077,0.0187109772535887,0.511769548131666,0.229025731273553,0.0169951699564658,0.144178344842712,0.035341305199303,0.0861648935034781,0.00694246906821886,3.23433922826682e-09,0.481352082921931,0.0859444921489635,0,0.0861747629864316,0.0268406269473096,0,0.29334496393012,0.528405060136151,0.0107449479791922,0.00583645299798401,0.000573633101709455,0.0236456732660366,0.0281178441441774,0,0,0.0117017926602043,0.00827089254381286,0.382703703170732,0.536196883177913,0.733420111080273,-0.815293244826457,-0.364681020391644,0.0896427290400854,0
"E250042449_L01_250204004525020400451AA029B39J29",0.254103678590204,0.383171624682676,0,0.0554633955476242,0,0.0473666217306458,0,0.108653212571005,0.00243914009148247,0,0.0437957032000469,0,0.0399497896089083,0.0202213184614439,0,0.00476401633748419,0,0.0400714991784804,0,0,0,0,0,0.602329576721027,0.798854540180755,45.01678495,18.79542996,24.5205072314286,1271.86910226667,3.44737182677778,83.9519521214286,5.98488501166667,57.6864456719286,8.67871471306667,31.10623531125,0.12753443553576,5.31739533653687e-19,1.60490893073636e-17,0.991443792882598,2.01535081268977e-17,0.1277612084558,0.101559558734305,0.0499804247790634,0.0169086554189294,0,0.0204855458962386,0.11715788645327,0.119614493820363,0,0.0477961225045218,5.77399545434605e-18,0.228132933898511,0.191497074551107,0,0.000223215930926658,2.10391242334017e-19,1.90813415859232e-18,0.00128227398132614,4.10099198911043e-19,7.26616419680685e-18,1.09336752068633e-17,3.31373819500643e-18,0.0766334489755541,0,5.42101086242752e-20,4.80528188707751e-19,0.00198962681847574,0.00203512933965145,3.75486417930257e-21,0.0384237085465176,1.72484614055601e-19,0.00195701329635864,0.240025628400162,1.12065402478135e-18,7.05657249797547e-19,5.81909399110366e-19,1.8587179603406e-17,0.00843000651683426,1.10909140051854e-18,0.00315956163635705,0.229750843751342,0.000964843969175615,0,3.9245995847394e-18,0.0226943330923911,0,0,0,0.0377241491902344,0,5.63755691551535e-19,0.11345483909395,4.47626405139031e-20,1.34521190282558e-18,0.384665857971285,0.0583552238514846,0.0401122356818286,0.0507763435917789,0.0245011183480827,0.799479103607234,4.00414748639728e-18,0.799479103607234,0.407651895710508,0.00256689585291417,0.340872449456866,0.110363045765969,0.027582589042426,0.00220190172839016,1.6989276957394e-09,0.108761220743999,0.102886594246633,0,0.0412760259581457,0.0146363083148854,0.0812768079005632,0.155168788558635,0.693091145820685,0,0.0204674611930872,0,0.12972529010751,0.0310600555556439,0,0,0.0430168217190643,0.0759642909400233,0.00667493466398628,1.05281153234789,0.825617344315632,-0.765991250990218,-0.36064365404779,0.751793971625517,3
