"ID","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq"
"E250042049_L01_250204001325020400131AA039B39J16",0.710516457455973,0.0413026754976881,0,0.0110895911155027,0.0693117920216476,0,0,0,0,0,0.167779483909189
"E250042049_L01_250204001825020400181AA037B39J16",0.789846118591854,0.0233478962341173,0.00666070611933505,0,0.0317223585576658,0.00656331765661174,0,0,0,0.0369209407618775,0.104938662078538
"E250042125_L01_250204001025020400101AA046B39J21",0.319704291160219,0.0194578512656621,0,0.00791656091031786,0.0320784363050361,0.00376308589889261,0,0,0.012639486583448,0.0629418142857676,0.541498473590657
"E250042125_L01_250204002125020400211AA036B39J21",0.0123832701127731,0.00405191084863621,0.0145214001302304,0,0.103729344389321,0.033527906534817,0,0,0.000713145516458901,0,0.831073022467763
"E250042125_L01_250204002425020400241AA035B39J21",0.0419185358307997,0.00157426575178793,0.0275708929409539,0,0.125352178681213,0.0387681792943484,0,0.00286386948054681,0.0226104449264272,0.000247732643487931,0.739093900450435
"E250042125_L01_250204002625020400261AA033B39J21",0.194887563307921,0.00487618332183273,0.0342194412130504,0,0.194156919148778,0.0702241711375231,0,0,0.00672247418153468,0,0.49491324768936
"E250042125_L01_250204002725020400271AA032B39J21",0.289469686005995,0.00227178315422992,0.0190841308867071,0,0.00925684865730296,0.00984943292412114,0,0,0,0.0319684991397355,0.638099619231908
"E250042428_L01_250204003825020400381AA044B39J41",0.241047768108075,0.0238098692013913,0.00257058918917714,0,0.0738541653534941,0.0264430456405483,0,0,0.0063295423470942,0.11437435902015,0.51157066114007
"E250042428_L01_250204003925020400391AA043B39J43",0.528405060136151,0.0107449479791922,0.00583645299798401,0.000573633101709455,0.0236456732660366,0.0281178441441774,0,0,0.0117017926602043,0.00827089254381286,0.382703703170732
"E250042449_L01_250204004525020400451AA029B39J29",0.693091145820685,0,0.0204674611930872,0,0.12972529010751,0.0310600555556439,0,0,0.0430168217190643,0.0759642909400233,0.00667493466398628
"E250042452_L01_250204002925020400291AA039B39J20",0.472199007468833,0.00504985751100609,0.0180568540369458,0,0.003069147488977,0.0211439938360265,0,0,0.0176232804414813,0.0272495495283543,0.435608309688376
"E250042452_L01_250204003125020400311AA038B39J20",0.440310404802624,0.0150996622594285,0.00874276298723177,0,0.019005762764987,0.0282943049162965,0,0,0.0558032511447594,0.0384781969861447,0.394265654138528
"E250042452_L01_250204003425020400341AA037B39J20",0.432010871968944,0.000443509012435565,0,0,0.0339958737003448,0.0106120525837501,0,0,0,0.0337980267184747,0.489139666016051
"E250042452_L01_250204003725020400371AA034B39J20",0.300710657192416,0.00301813818044893,0.0126653367750558,0,0.0826346735078781,0.0304829351094234,0,0,0.0119088154965117,0.0248560143780214,0.533723429360244
"E250042452_L01_250204004025020400401AA033B39J20",0.394178887243019,0.00849894600004668,0.00371294862854496,0,0.0682568980977156,0.0165608252857877,0,0,0,0.026330992919698,0.482460501825188
"E250042452_L01_250204004125020400411AA032B39J20",0.276093542846398,0,0.00215993816000108,0,0.0680776984631263,0.0158124741207087,0,0,0,0.0176649312756022,0.620191415134164
"E250046465_L01_250204001125020400111AA046B39J27",0.662915295234349,0.0116553671969149,0,0,0.0328733469140626,0.0241824104120359,0,0,0,0.0345144022479287,0.233859177994709
"E250046465_L01_250204001525020400151AA045B39J27",0.469074224086734,0.0173797577623234,0.0060568806329821,0.000467134711347633,0.00836940105133531,0.0123106587575429,0,0,0,0.049331668288804,0.437010274708931
"E250046465_L01_250204003025020400301AA036B39J27",0.299940812743138,0.0275783673744903,0.0171097894979151,0,0.0178937262968675,0.00645479911078635,0.480439687668829,0.00753316960164769,0.0986918027515628,0.00629539890828129,0.0380624460464819
"E250046465_L01_250204003325020400331AA034B39J27",0.227618218508318,0.0487147834270705,0.0278193611381562,0.0298914772535421,0.022496882442736,0.0492839436640215,0,0.225916511444143,0.0805580675120081,0.0324336281641403,0.255267126445864
"E250046465_L01_250204004325020400431AA039B39J27",0.547056566015401,0.00533467797237803,0.00208713502202215,0,0.042136160236442,0.0183772396837886,0,0,0,0.0746103206026627,0.310397900467305
"E250046465_L01_250204004425020400441AA030B39J27",0.458575060847034,0.0471363554614717,0,0.024942635594513,0.0331611566836852,0.0595817507835203,0.226927889238948,0.0686763565249079,0.0500736458306776,0.030925149035243,1.11022302462516e-16
"E250046485_L01_250204002825020400281AA037B39J28",0.214177887904092,0.0169856349573326,0.00577493816532935,0,0.0528371584901194,0.0498987849251947,0,0.0558620752326297,0.0258468976993013,0.0202611729035698,0.558355449722432
"E250046485_L01_250204003225020400321AA035B39J28",0.800991937895517,0.0161261824199959,0.0261700168624781,0,0.0290865526380529,0,0,0,0,0.0251887730107775,0.102436537173179
"E250046485_L01_250204003525020400351AA041B39J28",0.155128793285595,0.0346399454774819,0.0104986629134492,0.0334702160686346,0.059573710882531,0.048669076277118,0.0507942562878416,0.08496278222374,0.0839605990300255,0.0060904893195182,0.432211468234065
"E250046485_L01_250204003625020400361AA040B39J28",0.657871222969052,0.0199354275909483,0,0,0.0900879126127865,0.00117199248848751,0,0,0,0.0205490443089798,0.210384400029746
"E250046485_L01_250204004225020400421AA031B39J28",0.661657325153887,0.00297179528936092,0.00615038771343629,0.0498919151970026,0.00744880067671292,0.0452658316533695,0.125260971343637,0.0390066444451466,0.042558112763645,0.0197882157638011,1.11022302462516e-16
"R.C1CR.JSL",0.715592482501172,0.0272624516276735,0.0183167021787555,0,0,0.0527194043978653,0.112997153827101,0,0.0411667347428975,0.0319450707245354,0
"R.C2CR.SY",0.241300262339808,0,0.00943336331462817,0,0.146070222243976,0.0222571148213595,0,0,0,0.0224923063936096,0.558446730886618
"R.C2CR.SYZ",0.412753368107959,0.104087477405316,0.0487556083846908,0,0,0.0464076732926135,0,0,0.0682321253201863,0.155306387596447,0.164457359892787
"R.C2CR.WRN",0.735726277281474,0.00707326496534569,0,0,0.0371147385719942,0,0,0,0,0.196029021191621,0.0240566979895658
"R.C2CR.ZJB",0.809297004242577,0.050629292912286,0.0123567077182278,0.0557545767621767,0,0.0395242893210779,0,0,0,0.0324381290436545,0
"R.C2CR.ZJP",0.540967404625112,0.0407021455315011,0.0450799699397999,0,0,0.0344359449078493,0,0,0.0232922084935706,0.0937958700762112,0.221726456425956
"R.C2PD.WXN",0.604671318092255,0.0129150900282694,0,0,0.091731406577276,0.00611238699571187,0,0,0,0.0622153445146291,0.222354453791859
"R.C2PR.AKX",0.511834508685734,0.0812732556742257,0.0191758276695105,0,0,0.0627214019239228,0,0,0.00733291230999997,0.231040801093855,0.0866212926427527
"R.C2PR.CYF",0.916222585343209,0,0.015995158313168,0,0,0.0426064739869669,0,0,0,0.0251757823566559,0
"R.C2PR.CYP",0.611477190230164,0.0196202526288655,0.00652706589952238,0,0,0.0177416129280825,0.276951382582355,0,0.0676824957310104,0,0
"R.C2PR.WY",0.512477490549338,0.0240274223618061,0.0641808339931084,0,0.0332766937794838,0.169921280708253,0,0,0.111447104381996,0.0582129800828902,0.0264561941431245
"R.C2PR.ZJ",0.397423210109884,0.000474252912083387,0.00259770869812241,0,0,0.0175236913802123,0,0,0,0.0994448139052549,0.482536322994444
"R.C2PR.ZXN",0.748432643782939,0.0059328284377101,0.0855392030849911,0.0658712632758143,0,0.00349245941774245,0,0,0,0.0162333922654471,0.074498209735356
"R.C2PR.ZZL",0.277313100716399,0.169009024829834,0.043552824811143,0,0.0032878426444711,0.0451676290003885,0,0.0600596903407295,0.0672327355368187,0.172837774107459,0.161539378012757
"R.C2PR.ZZS",0.822362896834395,0,0.0242881384047857,0,0,0.0404507580855415,0.0864784894791365,0,0.0201926435158323,0.00622707368030873,0
"R.C2SD.FGD",0.547208023840617,0.0298077618460827,0.0503987359515644,0,0.0135607707494339,0.0230163681799832,0,0,0,0.0617849769644388,0.274223362467881
"R.C2SD.LL",0.400951714092184,0.0136418986208368,0.00940987914609333,0,0.145608944989606,0.0350859781535309,0,0,0,0.0681566709428752,0.327144914054874
"R.C3CR.JTL",0.818918565726547,0.05121965717909,0.0510270004005629,0,0.00370462947183884,0.0301391785140233,0.0212212778072158,0,0,0.0237696909007224,1.11022302462516e-16
"R.C3CR.SW",0.37206789442887,0.10097041794711,0.0261076277230911,0,0,0.0665424539581696,0,0,0.0456980820041488,0.345255821665393,0.0433577022732174
"R.C3CR.WXD",0.601782546796744,0.0504587056096563,0.0251010965006275,0,0.0316137426623271,0.0363254015034471,0,0.0146508794788327,0,0.112147875503301,0.127919751945064
"R.C3PR.SYT",0.753925374095141,0.0293724340890696,0.0530138342307925,0.00629638996960054,5.35298912126646e-05,0.027960590107277,0,0,0,0.0609859661967412,0.0683918814201649
"R.C3PR.YWY",0.0599707310279791,0.000744746708364513,0.0120311119491039,0.115853997972971,0.144638891754273,0.0303494909886764,0,0,0,0,0.636411029598632
"R.C3PR.ZHB",0.443966385419532,0.0723075819782637,0.0178182275086087,0,0,0.0664019255587614,0,0,0.0510745530869992,0.140823550400639,0.207607776047195
"R.C3PR.ZZ",0.0791722347109825,0.0306367469269177,0.162563470029181,0,0.0833149509433047,0.0645699636711327,0.106847622302651,0.0413290734036635,0.216854184987286,0.0435862913322516,0.171125461692629
"R.U.GSG",0.52313462851051,0.03097662250055,0.0670595721656121,0,0,0.0705395499890882,0.136703085435121,0.012553243837118,0.0974143299198635,0.0616189676421378,1.11022302462516e-16
