"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"E250042049_L01_250204001325020400131AA039B39J16",0.285363014967203,0.298323576396945,0.0241956773584971,0.102400777859122,0,0,0.0256937558785519,0.0666007815825802,0,0,0.0537938197517646,0.0167556074170923,0.0402337015326287,0.0177105881114611,0.0224413544708289,0.0226456562767917,0,0,0.0238416883965338,0,0,0,0,0.527494299599762,0.854292864007458
"E250042049_L01_250204001825020400181AA037B39J16",0.636895870792081,0,0,0.0160126298923626,0,0.023175192823254,0.0386490671886932,0.0698046276714704,0,0,0.0811245031417007,0,0,0.0977006390843886,0,0.0101725985184903,0,0.0264648708875594,0,0,0,0,0,0.5186154567054,0.87034396659799
"E250042125_L01_250204001025020400101AA046B39J21",0.148533684163004,0.392752489336534,0,0,0,0.0752613569067907,0.0160628048626562,0.0220404802006066,0.00743961030256231,0,0.105457713714194,0,0,0.172054891525678,0,0.0181467169829983,0,0.0403308062127955,0,0.00191944579217953,0,0,0.003,0.441861293303558,0.90457065854612
"E250042125_L01_250204002125020400211AA036B39J21",0.0355312549262331,0.0595122026275355,0.0703977633161341,0.0418689353088809,0,0.115241938134854,0,0.0289326798227048,0,0,0.167850583521239,0.0149072139215829,0.321120380914736,0.0845496537303427,0,0,0,0.0276799908567586,0.0324074029189973,0,0,0,0.637,0.00349554525558829,1.08913986035224
"E250042125_L01_250204002425020400241AA035B39J21",0.0846068581278226,0,0,0,0.228043150282678,0.0426957371017388,0,0,0,0,0.0501177443300015,0.0120979339692706,0.250631860458961,0.171662429049172,0.00136787861193486,0,0,0.0777557210610454,0.0810206870073753,0,0,0,0.975,-0.039445660275893,1.09349012153219
"E250042125_L01_250204002625020400261AA033B39J21",0.028890218065131,0.119779997242121,0,0.0788165819524334,0,0,0,0,0.123871710772487,0,0.0789255661650039,0,0.290615927205797,0.0625537890944636,0,0,0,0.146580609973391,0,0.0289375780606203,0.0410280214685516,0,0.596,0.00868586583039477,1.07778908795309
"E250042125_L01_250204002725020400271AA032B39J21",0.548223962324902,0.00590470542876253,0,0,0,0.0276114211079674,0.172475918721476,0.00703068180618642,0,0,0.111797977807598,0,0.0500947045080623,0.0340590795748294,0,0.0107397388864503,0,0.00220666959449035,0.029855140239276,0,0,0,0.004,0.424780038713791,0.923882457909179
"E250042428_L01_250204003825020400381AA044B39J41",0.442020223589507,0,0,0.0411272889722607,0,0.0354822807625518,0,0.0820240204821917,0.00323890335354646,0,0.0372787513218907,0.023775105952757,0.059734443648212,0.246155616218323,0.0054987298840891,0.015379043856563,0,0.00478124929779252,0.00350434266031553,0,0,0,0.018,0.231397840589031,1.02279088236288
"E250042428_L01_250204003925020400391AA043B39J43",0.412502776066143,0.30855826351808,0.0479359550571956,0.0157446601291949,0.0208578406430106,0,0,0.00732439403575483,0.0148263190336045,0,0.0400437715420141,0,0.0351453664461305,0.00359036621319111,0,0,0,0.0891464687706453,0.00432381854503525,0,0,0,0,0.659782534652157,0.755471669128616
"E250042449_L01_250204004525020400451AA029B39J29",0.254103678590204,0.383171624682676,0,0.0554633955476242,0,0.0473666217306458,0,0.108653212571005,0.00243914009148247,0,0.0437957032000469,0,0.0399497896089083,0.0202213184614439,0,0.00476401633748419,0,0.0400714991784804,0,0,0,0,0,0.602329576721027,0.798854540180755
"E250042452_L01_250204002925020400291AA039B39J20",0.251859542353978,0.371643927993081,0.065416449464045,0.0230555542991551,0,0,0.00462609312460713,0.0440868061967789,0.0205080851737326,0,0.0420903847730781,0,0.00120802316324917,0.117578984623835,0,0.02373970962828,0,0.0341864392061797,0,0,0,0,0,0.716449957116949,0.69888472373004
