"ID","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell"
"E250042049_L01_250204001325020400131AA039B39J16",0.145227875336472,0,0,0.879474396722768,0.035939994027047,0.0341684628151433,0,0,0,0,0.0228057618398479,0.0640443209050868,0.0969812912532218,0.00136850431135261,0.0547288102846388,0,0.234062081347019,0.234511012930832,1.44981140781686e-17,0,0.00689113991091552,0,0.00928955047118684,0,7.41380978903034e-18,1.37326729825414e-17,3.43494887632323e-20,1.13125388018004e-18,2.10238861002004e-17,2.05597663667142e-21,2.98246527384971e-19,0.0252742999156658,0.0452657495935304,0.00444975586792406,0.0381245986018308,0,0.00288527830976237,0.256441347631066,0.0805312952907097,0.00642031019987002,0,7.38678197742213e-18,0.054060188006589,0.00923331655800232,0,0.15807880513445,1.29690528311016e-19,0,2.05368035882098e-18,0.0420479059426696,0.067016396667536,0.10958039894386,0,0,2.38706096890629e-18,1.29672045905985e-18,0.137304235888461,0,7.64274765226427e-19,0.249452174354672,0.0115120491232642,0.401441762359902,0.0640394981273616,0,0.671278410763568,0.00344556995545776,0.674723980719025
"E250042049_L01_250204001825020400181AA037B39J16",0.136454200284961,5.9546618550185e-20,0,0.980960348266053,4.19908309886008e-18,0.0483208258340052,0,2.54877432030743e-18,0,0,0.0260366996381784,0,0.0247681199028412,0,0.0476315731355598,2.28390410248795e-17,0.232226365586122,0.192056227583028,5.06782797939637e-19,3.34099328095322e-20,0.0111918998368135,0,0.00240808965689646,8.50144222826701e-19,2.45326742434925e-17,0,0,4.57593818721476e-18,0,7.11120669944189e-22,0.000225697944053002,0.0235590919176643,0.0366355772448964,0.00210114746106348,0.0276512810406453,0.00108125450561121,0.00219151864418944,0.272478489882747,0.0445500741647497,6.90932561864379e-18,6.64215529659216e-18,4.9364237219215e-17,0.0816046221945237,0.00529323723353983,0.00142739895066228,0.215007114248728,0,5.72317830288077e-18,0,0.0192912770302287,0.00087596120859764,6.08254190165503e-19,0.0326487568641168,0.0122468838612827,0,2.37869788208119e-17,0.193644404826271,5.18918527452635e-20,0,0.315585537572812,0,0.254004101315984,0.106694868315315,2.90410364464691e-17,0.688113814149575,0.00559594991840676,0.693709764067982
"E250042125_L01_250204001025020400101AA046B39J21",0.0646669463335535,1.35661219829122e-18,0,0.89356347332295,1.82334952745875e-17,0.0550352220238408,0,0,0.0036865987478076,0,0.0160542320796699,3.52367429411384e-19,0.0334797664913406,4.90566819231636e-19,0.0479333589454931,0,0.215814159674017,0.226521280943503,0,0.0127650425907693,0,6.99004198542466e-18,0.00622395581733166,2.55691301705739e-19,0,5.78139735484936e-17,0,0,0.310367337832216,0.000596570825040851,1.56281465910914e-19,0.0525708198755908,0.0321839985150535,0.0126152229426677,0.0182095646861615,0,0.00862927263556409,0.258786554477094,0.0342518418598543,0,0,2.6987356768591e-18,0.123814755822875,1.37696852543239e-20,0.0059889127365838,0.131618678460542,1.74397338305026e-20,0,4.3708039411892e-18,0,0.00127915154630062,0.00186563786205722,0.0490725684563134,0.0271259874731101,0,0.0151552427942276,0.0953538246246069,1.0104407547552e-20,0,0.422163000228995,0.0169396164393609,0.21121626356321,0.0786300721621409,0.023585961537135,0.651405933650315,6.78306099145609e-19,0.651405933650315
"E250042125_L01_250204002125020400211AA036B39J21",1.52633766254181e-18,0.117696206086196,0,6.68870232463486e-18,2.69674419838308e-18,5.43818257997099e-18,2.18099976692946e-18,0,0.0128118136670739,1.82908368284535e-18,0,0,4.96652713973549e-18,2.01535652158874e-18,0.0159652221213726,0,1.59280946533786e-17,0,0.00192494395921667,0,0.135810117382241,0.0112782782285498,0.0703890502893207,0.00171402857269441,0.35180331701997,4.32405085279091e-18,0.417651384627923,0.384205008930094,7.96792274116875e-18,0.00175682889563494,0.117874910525586,0.0447686408167955,0.0841471804850301,0.0447941517671572,0,0.00956251290753968,0.00368659602739126,0,0.0345764836452276,0.0331971209865959,0.00587885064605858,1.78995316993211e-19,0.149590446532862,0.051211061160801,0,0,0,0,6.12752946703498e-18,0.0140945403791841,6.70590256979474e-18,0,0.087396003287404,0,0,2.99055068352185e-18,4.09779124966246e-18,3.3881317890172e-21,0.00352127018455213,0.0748853790047739,0,3.69263824428628e-19,0,7.31942201513588e-18,0.0412838464609359,0.302654820244203,0.343938666705139
"E250042125_L01_250204002425020400241AA035B39J21",0.050425394091953,0.0383601302138151,0.219823209373972,0,0.0197312841751546,0,7.94182485001498e-19,0,0.00145990169698227,0.022303128129369,1.31100731136981e-18,0.0259222356990551,0,1.93186420408832e-17,0.0228315832149931,0.12776329314754,0.0031311314461962,0,0,0.00293915638552462,0.184710393582255,0.076660141455828,0.0318412943418977,1.02860447876948e-19,0.346413130182932,0,0.0108793168164994,0.46455837834054,0.0362652082836606,0.00518249021148113,0.126611645603867,6.12307429278336e-19,0.0153774242012886,0.00152095765758136,0,0.017585144367049,0.00640403526325303,0,0.0238387420862353,0.0672351355206142,0,1.26986071885676e-17,0.0188179408903393,0.0489867688659404,0.215717339861778,3.69232442266608e-19,0.0540558540194434,0,0,0.170107962853814,0,0,0,1.43005368670969e-19,0,0.0215419413233218,0.0117952143123964,0.00536212426061447,0.497432717286199,5.84109361556804e-18,0,2.27302761016795e-19,6.88041041816316e-19,0.0331419810624035,0.0703476890269385,0.284741826989501,0.35508951601644
"E250042125_L01_250204002625020400261AA033B39J21",1.43619808475449e-18,3.67865600044522e-19,0.0921962562991837,0.084284790905865,0.265860812445753,8.13873869689589e-19,0,0,0,0.0367554424150042,0,0.0123082762683568,1.77266802719587e-18,0,0.0287896648669918,0.0176045343215299,0.166817725534299,0,0.0978962324406527,3.600105593239e-19,0.0232797146507979,0.0338185922905215,0.0503530655854347,0.00910389476420884,0.23172697529499,0.0263386956348529,0.020434649559178,0.564510367267514,0.0276953113282375,0.0225969698916005,0.00272973125703383,0,1.78791319043423e-19,0.0160214490506588,0.0112624033878794,0.0454011506068293,0.0282612704442877,0.0136825685235928,0.0514314010399603,0.141140985086654,0.0313170305494817,2.6907593201643e-18,0.100816647225951,1.1354875335685e-18,0.0791276399035582,0,0.115519182829436,0.0220387028084863,2.61693183248872e-19,0.032165111771833,0,0.0571124463841643,0.148564995135538,0.0147524261066012,0.00618709878369677,0.058397684068013,0.0911023895038816,0.00358447935095283,0.0237916467920381,0,2.85511337052084e-17,0,0.170308475223247,0,0.130019864140394,0.127503344972894,0.257523209113288
"E250042125_L01_250204002725020400271AA032B39J21",0.0883404274426342,2.00499041979909e-19,0,0.798486538008965,1.04872356848406e-18,0.0721004257988275,0,0,8.98323574365576e-18,4.74591571979094e-17,0.0456065003313016,0.00110505304339613,0.0360428907963036,7.25243661635637e-18,0.0593574766116799,5.92637987837108e-18,0.201362898105487,0.489603555952776,0,0,0.0289143692010692,6.96251298960002e-18,0.0234746423350113,4.7665765847272e-19,2.79453951374181e-17,0,0,0.0447948163330612,0.0195684665459141,0.00264957290409398,0.00478989454254329,0.0366487444422746,0.0311772752697219,0.0198890989187809,0.0348952434380532,0.000244127478973271,0.00279225189854358,0.297652873592,0.030129715755511,0,0.00514163992397274,0,0.0708794695123261,0.0232496121108775,4.30445492772003e-20,0.148332635651598,0,2.26572113167375e-19,4.29068954165352e-18,0.037103266768167,0.0200979253355103,0.0529989704238711,0,0.0414668841548258,1.63400334146002e-18,0.102778651135692,0.0991487591449288,0,3.38025338838e-19,0.521548956504246,0.0362901861199919,0.414276870374258,0.0325470048493752,1.86155448324123e-17,0.584184812571108,0.0144571846005346,0.598641997171643
"E250042428_L01_250204003825020400381AA044B39J41",0.166342136091361,0.00419925329169021,1.14547793866923e-18,0.639085174998907,0.00842130716267103,8.13652459201745e-22,0.00523735532386503,0,0.00657796372433875,3.59436560951482e-18,0.00176486434116361,0.019970967385801,0,0,0.0452756910114827,0,0.109767909026851,0.0383756677861486,0,0.00379607142280993,0.030033865268661,0.00554781123380981,0.0196989319850354,0,0.0474951281095042,0,1.26286317990178e-19,0.145151118426096,0.0333956392846007,0.00107555965929234,0.00955788167195989,0.0240999887060138,0.0389982371056269,1.43271503700898e-18,0.0248633057177234,0.00384377732770841,0.00440259015517699,0.0939072755275577,0.0893434347451995,0.00944139855430452,0,0,0.286180832958526,0.0168127522556432,0.00697287813930323,0.180591139755547,9.11122277603288e-05,0,5.27529476982388e-18,0.040570536916927,0.0199170556582059,0,0.0749025477922653,0.00519077451211725,1.18778504839874e-18,0,0.08395650855321,0.000544763133293071,1.26121401067118e-18,0.104151015678309,0.00130759755250856,0.0649266023527601,0.0150164635553972,0,0.47824221297671,0.0408641233349277,0.519106336311638
"E250042428_L01_250204003925020400391AA043B39J43",0.0798916257473237,0,3.38738743996847e-18,0.689292196782581,0,0.0263810548539478,6.77247051849408e-20,1.92772740327576e-18,0,0,0.0249883767697749,0.0279000968056,0.0238451845681363,0,0.0180394093952823,0,0.200685808672275,0.290125565056937,3.79888035530654e-17,0,0.0374219545071774,0,0.0071081872398054,1.17685402939154e-18,1.90289488611118e-17,1.95992176339739e-17,9.01247721823895e-19,2.51846444683653e-18,9.03929404208461e-18,0,0.00770511906979368,0.0050514866316819,0.0215192601182874,1.34417680583997e-19,0.0173440760972531,0.00159962040801108,0.00223723862210862,0.2173939202354,0.0946411920144904,4.96877392399133e-05,0,3.89431149783044e-18,0.0972597758339588,0.0212515148161402,0.000128292080540523,0.135189859682802,6.66484805126616e-05,2.17574717960535e-19,0,0.0281036800376149,0.048415799062767,0.00250644694896582,0,0,5.05097471066738e-19,0.00683826829765941,0.160480427543508,1.36643692076798e-20,1.66808580619292e-19,0.283156702665905,0.00914700242584235,0.262097225473179,0.129737454677531,0,0.493058570878077,0.0187109772535887,0.511769548131666
"E250042449_L01_250204004525020400451AA029B39J29",0.12753443553576,5.31739533653687e-19,1.60490893073636e-17,0.991443792882598,2.01535081268977e-17,0.1277612084558,0.101559558734305,0.0499804247790634,0.0169086554189294,0,0.0204855458962386,0.11715788645327,0.119614493820363,0,0.0477961225045218,5.77399545434605e-18,0.228132933898511,0.191497074551107,0,0.000223215930926658,2.10391242334017e-19,1.90813415859232e-18,0.00128227398132614,4.10099198911043e-19,7.26616419680685e-18,1.09336752068633e-17,3.31373819500643e-18,0.0766334489755541,0,5.42101086242752e-20,4.80528188707751e-19,0.00198962681847574,0.00203512933965145,3.75486417930257e-21,0.0384237085465176,1.72484614055601e-19,0.00195701329635864,0.240025628400162,1.12065402478135e-18,7.05657249797547e-19,5.81909399110366e-19,1.8587179603406e-17,0.00843000651683426,1.10909140051854e-18,0.00315956163635705,0.229750843751342,0.000964843969175615,0,3.9245995847394e-18,0.0226943330923911,0,0,0,0.0377241491902344,0,5.63755691551535e-19,0.11345483909395,4.47626405139031e-20,1.34521190282558e-18,0.384665857971285,0.0583552238514846,0.0401122356818286,0.0507763435917789,0.0245011183480827,0.799479103607234,4.00414748639728e-18,0.799479103607234
