"ID","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"E250042049_L01_250204001325020400131AA039B39J16",0.139305001111271,0,0.109868958791691,0.0544217449605425,0.0262368670596938,0.287656353158541
"E250042049_L01_250204001825020400181AA037B39J16",0.161086740074884,0,0.175193689660649,0.0723488342304795,0.0250142698111096,0.351928875359616
"E250042125_L01_250204001025020400101AA046B39J21",0.134023668507703,0,0.0887292931700977,0.036693938155946,0.0546164305350008,0.250149217817744
"E250042125_L01_250204002125020400211AA036B39J21",0.0774978616566657,0,0.021692796229258,0.00257695959847653,0.124443989116625,0.150386930273584
"E250042125_L01_250204002425020400241AA035B39J21",0.0937000940221614,0,0,0,0.0949222457138206,0.109352843864157
"E250042125_L01_250204002625020400261AA033B39J21",0.0910165898895189,0,0,0,0.0969870395792727,0.103049146370639
"E250042125_L01_250204002725020400271AA032B39J21",0,0,0.0792998772502122,0.00783933202704598,0,0.284667760550761
"E250042428_L01_250204003825020400381AA044B39J41",0.114951255843009,0,0.00239716436993851,0.00294359760079395,0.0893388642296867,0.157371563368599
"E250042428_L01_250204003925020400391AA043B39J43",0.0859444921489635,0,0.0861747629864316,0.0268406269473096,0,0.29334496393012
"E250042449_L01_250204004525020400451AA029B39J29",0.102886594246633,0,0.0412760259581457,0.0146363083148854,0.0812768079005632,0.155168788558635
"E250042452_L01_250204002925020400291AA039B39J20",0.0318280479730047,0,0.0907592974772971,0.011960915770649,0,0.315715904159204
"E250042452_L01_250204003125020400311AA038B39J20",0.117770595886046,0,0.0158229381652938,0.00661227531593363,0.0854583714981508,0.160433101953507
"E250042452_L01_250204003425020400341AA037B39J20",0.159089760679922,0,0.0479178253565421,0.0184269007986956,0.129203061874251,0.168828944739554
"E250042452_L01_250204003725020400371AA034B39J20",0.00477760815398559,0.0933915148725475,0.183324399061968,0.134944369608234,0.173429126147738,0.246257554704551
"E250042452_L01_250204004025020400401AA033B39J20",0.124748157407916,0,0.0245508328368896,0.00631325797720224,0.0975585252405425,0.147379525277457
"E250042452_L01_250204004125020400411AA032B39J20",0.113081441926281,0,0.0345107313775751,0.0270663714457648,0.102439876583788,0.170381354410087
"E250046465_L01_250204001125020400111AA046B39J27",0.0870276659298138,0,0.0249677313179391,0.012477488600451,0.0639971944776929,0.194686925803642
"E250046465_L01_250204001525020400151AA045B39J27",0.0561296487702231,0,0.0639718255670134,0.0137732943166712,0.0681891890282722,0.252598031032739
"E250046465_L01_250204003025020400301AA036B39J27",0,0.422903272972939,0.364927220572919,0.29993732467194,0.047281727609864,0.430503183434113
"E250046465_L01_250204003325020400331AA034B39J27",0.0418899778789932,0.00853677699526431,0.137465240276493,0.0541259551878965,0.133587986768961,0.218852530239681
"E250046465_L01_250204004325020400431AA039B39J27",0.208494845683656,0,0.0316408238988643,0,0.0807331814051625,0.201754701560164
"E250046465_L01_250204004425020400441AA030B39J27",0.0767256399834794,0.160359510034248,0.145184580279773,0.124693498379016,0.103985191997245,0.18651461646398
"E250046485_L01_250204002825020400281AA037B39J28",0.0896870279632854,0,0.0850854973583855,0.0283732443967361,0.115229548368131,0.132636110665476
"E250046485_L01_250204003225020400321AA035B39J28",0.140689924606948,0,0.0921384435312654,0.050612116840192,0.0558678992363999,0.251678424790473
"E250046485_L01_250204003525020400351AA041B39J28",0.0119698437413208,0.344050682572811,0,0.0963425282948789,0.231967603127994,0.224867911487344
"E250046485_L01_250204003625020400361AA040B39J28",0.127588706939988,0,0.0357211385149863,0.0443732071544364,0.130226171141553,0.130909969067677
"E250046485_L01_250204004225020400421AA031B39J28",0.0260873057719695,0.365523957765496,0.0236845546196788,0.101901219854326,0.106541084926119,0.230900621438912
"R.C1CR.JSL",0,0.430955885634151,0.202273594325909,0.186363735202477,0,0.850870769149931
"R.C2CR.SY",0.208236853819948,0.0265638417213755,0.253292028574543,0.154171960249004,0.211227084971422,0.241770670943197
"R.C2CR.SYZ",0.139568492052647,0.307107279629755,0.514420182601355,0.355240122096896,0,0.851052130462207
"R.C2CR.WRN",0.374556623821576,0,0.300019687150269,0.208429332855629,0.123877101303537,0.381011725261076
"R.C2CR.ZJB",0,0.403900461746554,0.353750476086878,0,0,0.706605140061437
"R.C2CR.ZJP",0.279946504967357,0.344357228949438,0.159497058472353,0.310566076994615,0.163762940698963,0.82266243188203
"R.C2PD.WXN",0.568276262207543,0.0460304501549213,0.226379083036305,0.0856609759561714,0.0782160501431291,0.463231424833665
"R.C2PR.AKX",0.564080660250721,0.119950573632656,0.189495716330305,0.197881783703147,0,0.679379054308358
"R.C2PR.CYF",0.246322880404308,0.057452447483211,0.42751606288786,0.227523512003454,0.240018273666886,0.386410474105672
"R.C2PR.CYP",0,0.286452475529187,0.234976572013915,0.165767169996649,0,0.675289090498085
"R.C2PR.WY",0,0.339957776470227,0.544842311185968,0.138640988738515,0,0.930600003525216
"R.C2PR.ZJ",0.474237387512214,0,0.20414078105795,0.00240136730974357,0.108480368956777,0.359965535481238
"R.C2PR.ZXN",0,0.545907967111979,0.259787997410852,0,0,0.859593634162494
"R.C2PR.ZZL",0,0.315996952619541,0.284231987009186,0.328107042932579,0.0276378440591395,1.24010691794677
"R.C2PR.ZZS",0.151643561644079,0.0686233818550607,0.277387495410442,0.12944476714603,0.137254635844476,0.452982948831157
"R.C2SD.FGD",0,0.324643192094615,0.231004272025023,0.160275656961577,0,0.795102580063725
"R.C2SD.LL",0.316554193636917,0.142895540074229,0.0828944215416619,0.159147338670911,0.226434201224299,0.318400483277384
"R.C3CR.JTL",0,0.480063834083921,0.216310219631012,0.257526774443385,0,0.703655041429402
"R.C3CR.SW",0.285777827075882,0.180107139900627,0.298244542872665,0.126182911011606,0,0.710158783032326
"R.C3CR.WXD",0.196160634241499,0.0426785984615736,0.256444674274495,0.15110094733232,0.144496482627187,0.349832369456534
"R.C3PR.SYT",0,0.698270914922207,0.282760869033266,0,0,1.05310490106082
"R.C3PR.YWY",0,0.295147548383804,0.0440879200960114,0.139823541608473,0.380124208762878,0.252608975763644
"R.C3PR.ZHB",0.242642614235531,0.201214460590488,0.139348381504216,0.358456795194287,0.0943433980469024,0.742510724608817
"R.C3PR.ZZ",0,1.06053506831672,0,0.32678676630324,0.408855559502874,0.912904864761674
"R.U.GSG",0,0.400035402082185,0.726186752057748,0.290210874330991,0,0.738912604539925
"R.U.LJS",0.325610173127908,0.254983510264655,0.222038956330041,0.229828280234195,0.240042910567903,0.25465085504295
"R.U.WYF",0.264014142695029,0.672677701572572,0.0898529752367942,0.248052299753075,0.260784748222529,0.501918030990876
"R.U.XHB",0,0.171199658629577,0.333827196001457,0.0167929996919795,0,0.762478178695206
"R.U.ZCF",0.210281627219317,0.0253587443092695,0.169054897796893,0.0720518920978129,0.189359529619712,0.329672173147599
"R.U.ZYL",0,0.822004891340268,0.462250878322229,0.588341286928646,0.108459360889564,0.721719462514327
