"ID","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"E250042049_L01_250204001325020400131AA039B39J16",1.50748145258166,0.858053519483657,-1.00625925917121,-0.606283483345848,0.752992229548264,3
"E250042049_L01_250204001825020400181AA037B39J16",1.17721650960487,0.841563070400964,-0.875626732951234,-0.28076090995064,0.862391937103961,3
"E250042125_L01_250204001025020400101AA046B39J21",1.11567080241281,0.723133704502678,-0.842766842924459,-0.135872731630545,0.860164932360482,3
"E250042125_L01_250204002125020400211AA036B39J21",1.0139774094325,0.447563905077715,-0.86411489359175,-0.0501676709892429,0.547258749929218,2
"E250042125_L01_250204002425020400241AA035B39J21",0.49987155829751,0.341977815006282,-0.644166537361465,-0.0704388438206296,0.127243992121697,0
"E250042125_L01_250204002625020400261AA033B39J21",0.480104747638657,0.402572816645112,-0.606324246899983,-0.365831598613372,-0.0894782812295863,0
"E250042125_L01_250204002725020400271AA032B39J21",1.05108035749313,0.777892813688627,-1.05336012559475,-0.511304071612263,0.26430897397474,1
"E250042428_L01_250204003825020400381AA044B39J41",0.903788221668625,0.672598482458408,-0.760371807362003,-0.257209711147586,0.558805185617444,2
"E250042428_L01_250204003925020400391AA043B39J43",0.536196883177913,0.733420111080273,-0.815293244826457,-0.364681020391644,0.0896427290400854,0
"E250042449_L01_250204004525020400451AA029B39J29",1.05281153234789,0.825617344315632,-0.765991250990218,-0.36064365404779,0.751793971625517,3
"E250042452_L01_250204002925020400291AA039B39J20",1.0357151179153,0.69088371244733,-0.751492363845144,-0.406910423686395,0.568196042831096,2
"E250042452_L01_250204003125020400311AA038B39J20",1.13538390173008,0.788402343448369,-0.835293027493533,-0.379848695441121,0.708644522243794,2
"E250042452_L01_250204003425020400341AA037B39J20",0.79932857292266,0.636582801524322,-0.659878182680424,0.0719319613445909,0.847965153111149,3
"E250042452_L01_250204003725020400371AA034B39J20",0.953110758252999,0.604565954984589,-0.80878427948366,-0.0862758022184786,0.662616631535449,2
"E250042452_L01_250204004025020400401AA033B39J20",1.18285087769365,0.637577626850577,-0.562137938377265,0.0570994673688853,1.31539003353585,4
"E250042452_L01_250204004125020400411AA032B39J20",1.1095812132399,0.548122464715816,-0.569406077507612,0.0816391288355036,1.16993672928361,4
"E250046465_L01_250204001125020400111AA046B39J27",0.881363592091962,0.656189114200198,-0.806090249435441,-0.225661141813336,0.505801315043383,2
"E250046465_L01_250204001525020400151AA045B39J27",0.840887035341173,0.691226783145156,-0.695755591166505,-0.461092601292252,0.375265626027572,1
"E250046465_L01_250204003025020400301AA036B39J27",1.43751748577278,0.853329158695482,-0.862463533144606,-0.341892800607198,1.08649031071646,4
"E250046465_L01_250204003325020400331AA034B39J27",1.35850410538994,0.88438461200422,-1.24048774711811,-0.770689062978261,0.231711907297788,1
"E250046465_L01_250204004325020400431AA039B39J27",0.496470606682457,0.604477512224278,-0.60297826182348,0.14336514716357,0.641335004246825,2
"E250046465_L01_250204004425020400441AA030B39J27",1.23892852881225,0.943480114761463,-1.13410542520805,-0.730759584027343,0.317543634338321,1
"E250046485_L01_250204002825020400281AA037B39J28",1.38959442161463,0.829382123005144,-0.705092742710286,-0.359612615214825,1.15427118669466,4
"E250046485_L01_250204003225020400321AA035B39J28",0.682588004980633,0.750047720635586,-0.873697449246234,-0.398745471542818,0.160192804827167,1
"E250046485_L01_250204003525020400351AA041B39J28",1.51582829694679,0.914597079337459,-1.17361238712901,-0.755942429458965,0.50087055969627,2
"E250046485_L01_250204003625020400361AA040B39J28",0.516549542680172,0.593048652899181,-0.510099525066027,0.0791167631126748,0.678615433626002,2
"E250046485_L01_250204004225020400421AA031B39J28",1.19911387812893,0.853231372527821,-0.954509850495488,-0.37140636929753,0.72642903086373,2
"R.C1CR.JSL",0.738833293396751,0.858833637097975,-0.944088753629767,-0.491527442011619,0.16205073485334,1
"R.C2CR.SY",0.472187195899718,0.630795471282024,-0.568204607794657,-0.0711462289382016,0.463631830448884,2
"R.C2CR.SYZ",0.727714927900556,0.897813227359683,-0.998913709580879,-0.573728277586888,0.0528861680924716,0
"R.C2CR.WRN",0.88815393672302,0.803528890617554,-0.729176291944195,-0.355458422485085,0.607048112911295,2
"R.C2CR.ZJB",0.575755491966434,0.856316292619678,-0.749725316011934,-0.423160823512028,0.25918564506215,1
"R.C2CR.ZJP",0.528636215178951,0.892889504438542,-0.923885639679682,-0.485867647560496,0.0117724323773145,0
"R.C2PD.WXN",1.02290797985868,0.778976160036847,-0.580640549200471,-0.164889308623254,1.0563542820718,4
"R.C2PR.AKX",0.600106596124224,0.84176012368744,-0.7597739993155,-0.500264658228353,0.18182806226781,1
"R.C2PR.CYF",0.849746124199491,0.793541136414297,-0.831130913276271,-0.427283311319736,0.384873036017782,1
"R.C2PR.CYP",1.06760816476197,0.860229113427707,-0.930503120142605,-0.460722750427684,0.536611407619383,2
"R.C2PR.WY",0.712450972343767,0.835968592314049,-0.924425393264724,-0.525553958572326,0.0984402128207666,0
"R.C2PR.ZJ",0.636244454488042,0.743033829876929,-0.626139012826902,-0.0824894992512926,0.670649772286777,2
"R.C2PR.ZXN",0.684729192965098,0.788131955422667,-0.822954054903148,-0.417897904008869,0.232009189475749,1
"R.C2PR.ZZL",1.14340374311407,0.922358901894898,-1.02300585816493,-0.593074485930503,0.449682300913536,1
"R.C2PR.ZZS",0.927616814427714,0.788146913557923,-0.721762630467634,-0.200912631512606,0.793088466005397,3
