"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"E250042049_L01_250204001325020400131AA039B39J16",51.3603283092857,111.9671936,139.019816374,1379.18765247556,17.3335163544444,252.702023435714,15.6554086566667,103.115467045,33.6733615974333,203.71863531
"E250042049_L01_250204001825020400181AA037B39J16",79.5096559164286,45.30180623,120.745332180429,3512.12239952222,3.561730515,406.014598957143,28.1554468766667,252.143858510786,100.687296695533,1351.64325699875
"E250042125_L01_250204001025020400101AA046B39J21",42.7603735753571,7.229347449,38.5110176814286,1710.121553,2.60896633666667,276.465904931429,8.92854206,146.169338845,36.2465747795333,1008.55567515913
"E250042125_L01_250204002125020400211AA036B39J21",29.3292754842857,12.08739043,33.0016125,29.4816999494444,6.70184116011111,134.931078543571,7.07065816583333,229.430836704286,169.000247938333,3629.9724923125
"E250042125_L01_250204002425020400241AA035B39J21",5.67648701357143,5,18.4248378428571,7.74146805288889,0.555555555555556,48.811793911,3.337535535,11.6195097710714,20.7950358575,862.0482913575
"E250042125_L01_250204002625020400261AA033B39J21",5.177608917,2.101282351,16.5894868571429,7.15839526111111,1.56944444444444,30.7503607155714,3.16666666666667,7.70744939814286,7.41391312873333,11.219175894375
"E250042125_L01_250204002725020400271AA032B39J21",14.422115135,12.03085016,28.6630884242857,648.414129233333,0.444444444444444,138.445557640286,4.68432479666667,75.5785362144286,42.3123745704,420.2080612075
"E250042428_L01_250204003825020400381AA044B39J41",21.5170740866429,4.957957333,22.17850914,327.165836522222,1.29701920866667,139.198145842857,2.36808171833333,47.2087175562857,34.3685506126333,1335.90309022625
"E250042428_L01_250204003925020400391AA043B39J43",60.02325401,19.54392522,31.2550567371429,1442.22282183778,3.09829575355556,111.18117442,6.56801934166667,90.6818480485714,59.6749169372667,331.2440607325
"E250042449_L01_250204004525020400451AA029B39J29",45.01678495,18.79542996,24.5205072314286,1271.86910226667,3.44737182677778,83.9519521214286,5.98488501166667,57.6864456719286,8.67871471306667,31.10623531125
"E250042452_L01_250204002925020400291AA039B39J20",40.2368462231429,18.93722817,52.2857354,5526.21783566667,4.60359033033333,175.583534331429,5.815472005,53.8960611507143,39.2661619126667,2114.16974216325
"E250042452_L01_250204003125020400311AA038B39J20",22.3610851237143,1.512822166,20.1629402257143,407.815986896667,1.18975056555556,86.6784970042857,3.88678939416667,36.8377444872143,17.9584235111333,473.521009919625
"E250042452_L01_250204003425020400341AA037B39J20",42.1224075025714,39.97815542,53.0862216342857,2593.50108256667,2.82848807633333,154.673620471429,19.2688008456667,149.740431312429,65.7792606295333,1378.40011363887
"E250042452_L01_250204003725020400371AA034B39J20",108.024473246429,46.69190713,95.9732157242857,1297.41446817778,16.0433700238889,345.919874585714,23.5696782416667,265.674300187143,341.7538816403,3039.4810054425
"E250042452_L01_250204004025020400401AA033B39J20",18.8789870373571,24.86669557,20.3923217718571,514.549012211111,1.04828385688889,69.8198026457143,2.53198292166667,50.5577757337143,24.6444646952667,320.11188315075
