"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"NM001",5.57349459888453,1.27146532736178,15.1824003052035,123.413095850119,2.92406483537694,19.4316252345551,20.2439347677845,20.0897729851742,53.0202250075735,167.186197358379
"NM002",8.14804049578543,3.24829806254282,38.2304917905323,1049.2862537235,3.86307400540083,37.3094578246138,17.4674314860287,25.6862591264709,26.9752550628951,438.7375304235
"NM003",4.67388068634632,2.02220183295088,10.2428724236359,164.011322038802,1.15301289316845,12.9248214152904,23.1929120743453,71.7787393939358,27.6702315806246,127.068562804854
"NM004",10.4440775237631,4.0579658493904,39.468719467168,733.746087662696,1.42758766222179,13.3511884190313,25.6553608509879,22.7052805456261,46.7103841702954,142.470481494417
"NM005",11.0144237561656,6.73883255908667,13.1788625456363,496.437978522342,1.11150487020447,11.8372964603618,20.9353782442382,17.0021735649901,47.3344983063627,311.226025802575
"TB001",12.5348757230648,2.39822304547932,8.08982761255665,4454.84456131348,0.756705103109717,59.1488792414059,19.152179761729,21.2705329424652,35.0205162713798,608.457350712048
"TB002",13.0435644915214,4.53241161103997,32.9568683571922,2657.00612113342,3.25362210146979,17.3942719469053,13.8656606425008,21.953757588614,64.496934931748,4578.75797978212
"TB003",4.34674093422273,1.42855008613185,3.95892531740789,154.761314583164,1.53592158570857,8.76325059417531,7.16257559351877,11.0359314958965,24.4714711970483,921.993660554137
"TB004",20.709271529679,2.80664605908592,15.2479260118942,9597.31458840762,1.07413855567629,52.0315526562508,21.8322536800433,14.3366600992311,37.8606581827074,1098.81219498803
"TB005",11.3706525052945,1.71080316363181,6.20094161572298,5361.36684971053,0.643292478647799,50.717435948016,14.9623154187909,20.7217882248502,70.6532657404904,974.895227798469
"AD001",16.1226359154502,5.55455297330741,10.664238697727,15594.8605936636,0.700654967412589,25.5439970816497,12.1808405782776,13.8870652317689,21.5232415042958,788.385363893822
"AD002",9.19295688595225,1.4632017895566,2.80947775568295,1198.18406012593,0.128076093509149,34.4946643139069,68.6797335369554,15.6677593426261,12.2195385651511,186.307230900542
"AD003",11.2486199759815,3.13676974896377,6.56858062269005,15131.2225948304,0.436917811344385,16.2818875690594,4.48496820160544,7.51248474761824,4.20032468575659,392.147789779374
"AD004",4.95861899152036,1.17930875912924,7.29325471895261,5636.03459011695,0.125022645278025,8.30009435665047,2.71041787737539,2.76302498443605,4.2015233507684,123.774891992836
"AD005",6.56210778984168,0.743171169871236,7.74263770767467,4339.71340457436,0.840993605162321,13.1794216590131,3.48291052168497,12.1117782902904,9.72878883821475,532.121587388829
"SA001",18.7178023511592,4.14180001682478,11.1561691658747,5802.95454549098,1.42362703503037,22.3533707227174,18.2908792558586,19.2077456690261,53.0653072441861,496.853987405541
"SA002",16.2379401014315,1.07815306284783,6.26223521501384,7576.57996692935,0.790716438342631,24.8365998602121,25.4478758397951,19.1721913417637,66.2869567654591,317.008371032329
"SA003",12.9408706056027,2.38745482600683,13.9337007335766,11019.6241947991,2.05325679134897,17.2484426534275,8.14962999344208,217.403982497168,5.61504281964344,130.283581002471
"SA004",1.56516318229482,0,0.761261004115379,54.3944371449086,0.50287709104907,30.4873160250026,17.8757581518039,34.5072520376351,15.8515478015052,161.190816248346
"SA005",9.65536398524314,1.00079637533552,3.30708896037893,1224.05733853089,0.707879223862027,31.4786582671504,29.3610133270545,27.4280378938485,37.6907807903772,449.484622350817
