"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"NM001",0.0160953225947029,0.00770139800713605,0.0117289459949691,0.0773719633422494,0,0.243817957823491,0,0,0,0,0.105493146013799,0.014077175186617,0.0244751201835698,0.203711309518811,0.00693303536724124,0.103513187487591,0.00591559062461075,0.0309428268000029,0.0903765451057908,0,0,0.0578464759494184,0.01,0.277261228579749,0.972602348969496
"NM002",0.049721943290041,0,0.0574232195357163,0.127275258024716,0,0.106073508462897,0,0,0.0716981892387395,0,0.144290778471075,0.0117306532532405,0.0359645567472996,0.0919496420434252,0.0180172968504809,0.149219765264325,0.0130468956779825,0,0.0428603002363716,0,0.00617595032989132,0.0745520425737985,0.02,0.212336886200987,0.999537306496472
"NM003",0.00883521875615206,0,0.0080325270921943,0.0592874946928089,0,0.0828396307411888,0.00201187812692016,0,0,0,0.065988328040848,0,0.0303826465388841,0.0854301349339362,0,0.0687881912515689,0,0.121821007230989,0,0.0749601280037315,0,0.391622814590778,0,0.395575959292835,0.939238115705545
"NM004",0.0230910236056698,0,0.036954716522223,0.126445348066037,0,0.253668712465436,0.0218407429356636,0.00284785131919564,0,0,0.0518491187008064,0.0202619245929928,0.030328665026866,0.018554233378106,0.0180389559978422,0.184752282069445,0.0185842761445004,0.0506471732972971,0.0537016530655942,0,0.0147537929723518,0.0736795298399728,0.02,0.156714035223,1.01909216815822
"NM005",0.0335885362592187,0,0.00366462227769054,0.190149960581382,0,0.163495004575639,0,0.0488202253867738,0.00292205022481627,0,0,0.0741081425833405,0.00652970349582555,0.118910909259289,0.000640929483436497,0.15812769522191,0.0158384593597033,0.0278804909644027,0,0.0991659768238282,0,0.0561572935027443,0.03,0.111961959098862,1.05198469986804
"TB001",0.078192432113285,0.0026524512747898,0.101551057345921,0.0785670859815574,0,0.138376426355895,0.0046843088481217,0.0244549118465065,0.043351862245887,0,0,0.0275291976104621,0,0.233358255414878,0.0550907215933748,0.117752777879673,0.0115948820686257,0,0.0537041941011731,0,0,0.0291394353198508,0.01,0.27182332969467,0.974027098132174
"TB002",0.0899939223742372,0,0.0971672924293716,0.204305832097722,0,0.109504256928211,0,0.0463060522002567,0.0260623430683802,0,0,0.144208539700831,0.0260736195854949,0,0.0210855321206904,0.105113596978414,0.00834631406789487,0,0,0.0652793090242838,0,0.0565533894242122,0.01,0.24031457635663,1.00202422799878
"TB003",0.154377152540287,0,0.0463660898228172,0.0969060490720449,0,0.160582550003027,0,0.0534127192733883,0.00369836214070303,0,0,0.0621095162003898,0.113182218147314,0,0.0104661741352083,0.0634118701068107,0,0.00557268507245242,0,0.141180133315748,0.00549499081988325,0.0832394893499262,0.01,0.26602571794139,0.980546266075098
"TB004",0.0112654051569211,0.0442210155246505,0.113421380931319,0.0655967867951345,0,0.222545586747776,0.00780064198470597,0.0377715804025271,0.00779886866497268,0,0,0.0379688767423009,0.00638154405280632,0.191462098104269,0.0964202694734437,0.0699488905279545,0.00890522552901272,0,0,0.0660552760273479,0,0.0124365533348585,0.01,0.246023222481251,0.987731820642497
"TB005",0.0456278296949393,0,0.146936234084815,0.0669414644857874,0,0.105632452717079,0,0.0315602508270449,0.0404026587555575,0,0,0.0368610490261889,0,0.24215492983754,0.0460934950987342,0.0986205667059638,0.0114714419368729,0,0,0.0759570599261278,0.00493456486525337,0.0468060020380958,0.01,0.283678188681281,0.971782948466244
"AD001",0.070031658332689,0.0585544179683516,0.235705150595666,0.103543796658888,0,0.233721278910311,0.0273905953368086,0.00996037406096632,0.0391287058762373,0,0.00879597251192078,0.026327409591004,0.0141845890926772,0.0276061031378749,0.0216415019703427,0.0816537763937036,0.00783276869399317,0.00218107263923197,0.00236056385190941,0.00713727350917816,0,0.0222429908682462,0,0.447165409663171,0.895800315870986
"AD002",0.00751774552355164,0.0238658143869594,0.0334736328702977,0.053474285050639,0,0.188337576848106,0,0.038919457524831,0.0854466830371442,0,0,0.0533025065449919,0.00875850949260851,0.00126217835127571,0.0145913745922929,0.130175575021371,0.214807925237058,0.0510007695960026,0,0.0763301882280522,0.00353032261438891,0.0152054550804291,0.03,0.13559121988866,1.02699730032768
"AD003",0.0168138999591916,0.0378396599748128,0.192200734970451,0.116066325251838,0,0.0679934873066909,0.0243261043009714,0.0332264752046795,0.0666434400771816,0,0.0160291934427927,0.000344247460559115,0,0.229852237465811,0.0454928182249382,0.0910418786237891,0.00119463015202489,0,0,0.0390642341625436,0,0.0218706334217249,0,0.355831410382614,0.939105488637975
"AD004",0.0338296234882242,0,0.0791868628737889,0.0760046926493412,0,0.049088118647492,0.0409897174817171,0.0327742462638057,0.0333478856906623,0,0.0268682702450103,0.0276515532387011,0.021703689226176,0.177046747837933,0.026432863018545,0.0856094373409223,0.0338851007750279,0,0,0.187349503660584,0.0484078330211247,0.019823854540944,0.03,0.155919291319296,1.02711445091718
"AD005",0.00971010762962641,0.00841816886994851,0.0744314129605385,0.0784993954103931,0,0.297622681936051,0.00524433018494296,0.053295723779455,0.0268759904433749,0,0.0365094281799847,0.0690152014678595,0.0201543217271979,0.0440696312674122,0.0459488906749746,0.0825844073454673,0.00805669857760483,0.0135882915593024,0,0.0602459250644328,0,0.0657293929214339,0.03,0.122985023489596,1.04628001351487
"SA001",0.0714680917506488,0.0379999911627194,0.153679386320692,0.0863020472903987,0,0.261726057320216,0,0.0425102964195372,0.0112470089797399,0,0,0.0603194888364242,0.0127028222809874,0.0568943902248515,0.0545981164399019,0.0684321705070195,0.00425819753828261,0,0,0.0517577666646048,0,0.0261041682639762,0,0.354263397288342,0.940750616521313
"SA002",0.0121568123921339,0.0322549959199846,0.118146680760373,0.0634454625693076,0,0.258874091376163,0,0.0367412248555526,0.025084499021885,0,0.00974712115965136,0,0.013935233733541,0.0376726016750729,0.0560456352025505,0.0902233718226192,0.0324240403450016,0.00264489112814268,0,0.175459684804473,0.00202921456368718,0.0331144386698607,0.02,0.234911347775306,0.99121702491229
"SA003",0.0207843603598542,0.00445042187406396,0.11657351878032,0.0348980051496512,0,0.0414460243211196,0,0.0143225400438399,0.0292408412022332,0,0.0290414095396452,0,0,0.0328108896985336,9.40860432351891e-06,0.0250308876829961,0.00783664108416176,0.0105543944880083,0,0.194876679209271,0,0.438123977961978,0.02,0.162215735083391,1.09421029198952
"SA004",0,0.0519382542680509,0.0183083250269217,0.0373939548001599,0,0.189467441281076,0,0.033315571394611,0.0011526837193444,0,0.0372699698735181,0.0394624091269107,0.0902872210411743,0.124944028221353,0,0.226069777794348,0.0823505140709017,0.0405440656827332,0,0,0.00584190883294307,0.0216538748659536,0.02,0.20977818869824,0.998208660529203
"SA005",0.0844975868661658,0,0.0346542350222712,0.049981046567676,0,0.370930444120221,0.0113507249976479,0,0,0,0.022667729039135,0.00866764636533534,0.0189030010255509,0.110452656055139,0.0191365575403355,0.220560489892358,0.0114740288270233,0.00519325024844638,0.00621562310174928,0.0150223270536612,0,0.0102926532772843,0.02,0.176090804779822,1.01743542949716
