"ID","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq"
"NM001",0.00585757435311064,0.110080910147977,0.0553937699972705,0,0.10921858557972,0.0144384472826508,0,0.00776490105945518,0.0419444207134135,0,0.655301390866402
"NM002",0.0025381324257133,0.450361650860198,0.0306102298258461,0,0.00779342570589838,0.0295174445892612,0,0.0242217587734518,0.0396154853446476,0,0.415341872474983
"NM003",0,0.647852702695353,0,0,0.136732921848873,0,0,0.00302783591757358,0.0444888241406336,0,0.167897715397567
"NM004",0.000235727472733183,0.0910535006141183,0.0976861166474783,0,0.0315433012330977,0.0087463633630074,0,0.0269436999483221,0.044579811839813,0.00111510233501811,0.698096376546412
"NM005",0,0.255945527585722,0.0187709414511311,0,0.00865146604649949,0.00859203179543105,0,0.0518503606109392,0.0609309546682247,0,0.595258717842052
"TB001",0.052909942141667,0.177805331807176,0.099763928535855,0,0.0430685355460795,0.00691921356187082,0.0329609999221992,0.027404655738366,0.0511976025491531,0,0.507969790197634
"TB002",0.0142427066038877,0.0107675414944765,0.0728906898282247,0,0.0604551117096033,0.0277039409619994,0.00546531953945402,0.0308725400917356,0.0255974661442187,0.0256603589003856,0.726344324726015
"TB003",0.0317902853151456,0.0342365523527815,0.00718661060446335,0.101143931017605,0.0334354312748999,0.00963396577482206,0,0.0146491731191384,0.0178118326583276,0,0.750112217882817
"TB004",0.0384042740337177,0.425347469490155,0.0081496673627305,0,0,0.0025145751660521,0,0.0399629314354283,0.120483766762872,0,0.365137315749044
"TB005",0.006454648667146,0.376973938697423,0.0405761588105921,0,0.016879974964864,0.0060910747960119,0,0.0127407457400949,0.0647742509815687,0,0.475509207342299
"AD001",0.0722653502161654,0.0459996979602385,0.0594670338528973,0,0.0163617268934647,0.00412788356725125,0.0924981077379534,0.0354983270351719,0.022980116503217,0,0.650801756233641
"AD002",0.00429369162901965,0.18181545395888,0.0952201281584328,0,0.0438296536290457,0.00570846346219795,0,0.0110890474559242,0.0702758123476883,0,0.587767749358812
"AD003",0.0282521493656516,0.0444869895364777,0.0259771816828721,0,0.00384802200450868,0.00603486989886323,0,0.0239965679718239,0.0287982964740528,0.000800960305370806,0.837804962760379
"AD004",0.00233912352997682,0.0641014234356574,0,0,0.0496176627691338,0.00560730658727325,0.0194672721136363,0.00483882267297806,0.0076271222152725,0,0.846401266676072
"AD005",0.0150195633236845,0.0505773514910813,0.0200781124448673,0,0.0495272805206199,0.0144240174449167,0,0.00649097893391376,0.018368665539448,0.00618043343109345,0.819333596870375
"SA001",0.080300179068112,0.235319900382617,0.0146867366423885,0,0,0.00543727898562208,0.0338055204564576,0.0414438188965631,0.0634445314992929,0,0.525562034068947
"SA002",0.0138252833034278,0.703282358222752,0,0,0,0,0,0,0.140529488093476,0,0.142362870380344
"SA003",0.0182697897214034,0.111747080432882,0,0,0.393327869317533,0.00127667527977345,0,0.00942122372148782,0.0239213763256725,0,0.442035985201247
"SA004",0.00820580058006311,0.0444860825081692,0.117598950957173,0,0.0227597879894236,0.0139060779455247,0,0,0.00772882391133156,0,0.785314476108315
"SA005",0.0192601740506841,0.0593364930813223,0.116645636945282,0,0.0193422169650014,0.0100190656148936,0.0360979990769771,0.00798012054009376,0.0379009012702442,0,0.693417392455501
