"ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"NM001",659.353034614615,2358.2324777389,3017.58551235352,0.49936229680938
"NM002",1406.31786142683,2974.72859753448,4381.04645896131,0.317149519060182
"NM003",661.87851185057,2807.94743100789,3469.82594285846,0.440790294816625
"NM004",902.134019453234,2819.96795062379,3722.10197007703,0.407256121254526
"NM005",1135.45878276619,2180.2182240355,3315.67700680169,0.460986197128748
"TB001",1531.25621240453,2965.0287376479,4496.28495005243,0.301062499247531
"TB002",1736.52278441964,2122.86682112916,3859.3896055488,0.388769358087887
"TB003",1194.66285103932,1522.50031334791,2717.16316438723,0.537071100949546
"TB004",1666.13111678677,3212.01477815974,4878.14589494652,0.247165496709815
"TB005",1895.07788323296,2897.83944780458,4792.91733103754,0.259268241032096
"AD001",1328.62965976047,3069.58511837064,4398.21477813111,0.314758503687383
"AD002",-9.34891583026782,2117.98319615468,2108.63428032442,0.610178656648898
"AD003",346.330595475521,2309.54539574919,2655.87599122471,0.544637931732083
"AD004",-351.087158948919,1911.90955151567,1560.82239256675,0.671846189726377
"AD005",61.364454916366,1690.6013114365,1751.96576635287,0.650802459420952
"SA001",1576.82843962701,2838.98192207892,4415.81036170593,0.312305909482073
"SA002",1639.39831181451,2696.45277752608,4335.85108934059,0.323434165073105
"SA003",603.468455705763,3766.24295935132,4369.71141505708,0.318727036796431
"SA004",-500.8159272742,949.26233460012,448.44640732592,0.783315965675813
"SA005",663.444465593674,1366.87939834948,2030.32386394316,0.619245264175991
