"Transcript_id","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5","hgnc_symbol","ensembl_gene_id","transcript_biotype"
"ENST00000534769.5",0.028087,0.094172,0.077645,0.093249,0.025358,0.03296,0,0.803935,0.102865,0.0636,"CFL1","ENSG00000172757","protein_coding"
"ENST00000534775.1",0.775004,0.526946,1.205789,0.57445,3.03367,0.748808,1.054105,0.559774,0.901336,2.975055,"PTPMT1","ENSG00000110536","protein_coding"
"ENST00000534779.5",0,0,0,0,0,0,0,0.004568,0,0,"GANAB","ENSG00000089597","protein_coding"
"ENST00000534797.5",2.900818,2.076583,2.060565,1.628785,2.705549,0.588797,0.162466,0.372338,1.626241,0.701037,"RNH1","ENSG00000023191","protein_coding"
"ENST00000534812.5",0.543797,0.155249,0.591603,0,0.292916,0.300579,0.281493,0.458713,0.353072,0.241063,"IMMP1L","ENSG00000148950","protein_coding"
"ENST00000534815.1",0.082617,0.000541,0.01463,0.103463,0.00298,0.143994,0,0.122738,0,0.114828,"KBTBD3","ENSG00000182359","protein_coding"
"ENST00000534816.1",1.02799,0.372074,0.698224,0.649268,0.97006,0.873467,0.805895,0.402291,0.690009,1.105062,"TMED10P1","ENSG00000254618","processed_pseudogene"
"ENST00000534834.1",0.293719,0.160342,0.170348,0.375191,0.303413,0.113262,0.803394,0.208669,0.126435,0.308283,"ZNF26","ENSG00000198393","retained_intron"
"ENST00000534842.1",0,0.072097,0.058539,0.285184,0.509901,0.385508,0,0.016029,0.027105,0.012165,"MFSD5","ENSG00000182544","protein_coding"
"ENST00000534855.5",0.206379,0.797683,0,0.249482,0.106735,0,0,0.819529,0,0.376288,"DNAJC27","ENSG00000115137","protein_coding"
"ENST00000534871.5",0.208598,0,0,0,0,0,0,0,0,0,"AURKB","ENSG00000178999","protein_coding"
"ENST00000534877.5",0,0,0,0,0,0,0,0,0,0,"COPS7A","ENSG00000111652","protein_coding"
"ENST00000534879.1",0,0,0,0,0,0,0,0,0,0,"","ENSG00000255995","processed_pseudogene"
"ENST00000534894.5",0,0,0,0,0,0,0,0,0,0,"TCF7L2","ENSG00000148737","protein_coding"
"ENST00000534895.1",0.405617,0.512755,0.189791,0.423476,0.886096,0.428953,0.019728,0.928006,0.12552,0.675712,"","ENSG00000257094","processed_pseudogene"
"ENST00000534905.5",0,0,0,1.143827,0,0,1.259892,0.630584,0,0,"ATG16L2","ENSG00000168010","protein_coding"
"ENST00000534928.5",0.67687,0,0,0,0,0,0,0,0,0,"ZCCHC7","ENSG00000147905","protein_coding"
"ENST00000534932.5",0,0,0,0,0,0,0,0,0,0,"PLCZ1","ENSG00000139151","protein_coding"
"ENST00000534938.6",0.100185,0.864553,0.283139,0.202466,0.212114,0.400933,0,1.772886,2.319041,2.355919,"FCF1","ENSG00000119616","protein_coding"
"ENST00000534939.2",0.427789,0.307348,0.422046,0.334061,0.410765,0.200365,0.184124,0.281774,0.609612,0.223164,"FBXL22","ENSG00000197361","protein_coding"
"ENST00000534940.6",0.013813,0.053475,0.020174,0.000875,0.042239,0.002954,0.028121,0.286941,0.007643,0.001218,"ASMTL","ENSG00000169093","protein_coding"
"ENST00000534941.2",0,0.290605,0.164703,0.514642,0.453087,0.673012,0,0.355849,0,0.280704,"C3orf33","ENSG00000174928","protein_coding"
"ENST00000534946.5",0,0.014891,0,0,0.000559,0.015059,0.088888,0,0.025001,0.063975,"LMO3","ENSG00000048540","protein_coding"
"ENST00000534947.5",2.646963,1.520967,1.78615,1.78419,3.395753,1.905063,1.92065,0.216388,3.488755,2.493334,"COPS7A","ENSG00000111652","protein_coding"
"ENST00000534951.5",0.111284,0.17805,0.076299,0.113464,0.364777,0.598144,0.465525,0.788567,0.894271,0.184735,"RAB35","ENSG00000111737","protein_coding"
