"ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"H1",402.255982555103,504.435873853899,906.691856409002,0.739762469682584
"L1",444.29076279118,373.321094274776,817.611857065955,0.748497340964057
"H2",474.743216561413,470.149498564141,944.892715125554,0.735977789651312
"L2",392.823164187214,423.864447503325,816.687611690539,0.748587300984763
"H3",537.598348032784,506.379325742151,1043.97767377494,0.726053568261959
"L3",422.636238036017,431.51099839642,854.147236432436,0.744930206102016
"H4",457.352805929984,444.081385580759,901.434191510743,0.740281544850343
"L4",449.687738844252,366.759493774156,816.447232618408,0.748610695659182
"H5",468.92174429532,498.663377485941,967.585121781262,0.733718617042081
"L5",409.735985481436,438.431815225715,848.167800707151,0.745515477850751
