"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"H1",0.334765549532936,0.283923810289073,0.173854064380011,2.74656717613136e-06,0.129816986813869,0.0776192793059442,1.70729964995829e-05,4.90114491102348e-07
"L1",0.0858669222519584,0.211081562906238,0.408845418861218,0.000679339155038481,0.261732761611262,0.0114703164647338,0.0203236526962112,2.60533398896112e-08
"H2",0.00245284746567328,0.840197162774484,0.000911329156921848,8.82405226341188e-05,0.0599564660263714,0.0960841644534433,0.000300314557911022,9.47504256110215e-06
"L2",0.135646168751631,0.200423838529914,0.392997450492513,0.0458209978918704,0.224985893084424,0.000104035172312026,2.16151270029585e-05,9.50332415576462e-10
"H3",0.284750546951561,0.374677723494396,0.24948965414405,0.00157817489032432,0.089501747698904,1.33771732245437e-06,8.07445212678397e-07,7.6582291558211e-09
"L3",0.321692338910671,0.228306816457378,0.279490117312504,0.0326500098582302,0.1378489495875,1.86580708967308e-07,1.15684728962209e-05,1.28201113606382e-08
"H4",0.136031644635079,0.690082591600219,0.00160127611836964,0.00041724278480236,0.15613317810787,2.18804398365984e-08,0.015734022736987,2.21362326263119e-08
"L4",0.21081926260962,0.289015849397107,0.189259310898233,7.5375233682202e-05,0.310379455994805,1.18981179940804e-07,0.000450616517341993,1.0368031518767e-08
"H5",0.183901112158501,0.629467081599719,0.136703369517717,4.38027252539472e-06,0.00211607895707809,0.0476974669183738,0.000110445136083451,6.5440001353558e-08
"L5",0.282277899671279,0.13469231733766,0.401818508653349,1.41438956083158e-05,0.1810821497178,1.5475394715267e-09,0.000114937154012885,4.20227499861144e-08
